part_id,part_name_cn,supplier_candidate,candidate_source_url,access_status,login_required,direct_download_possible,manual_download_required,recommended_action,note
SP-001,X轴同步带直线模组,MISUMI; THK; HIWIN-equivalent,https://us.misumi-ec.com/maker/misumi/mech/cad/,reachable,likely,unknown,true,manual_download_required,Requires stroke/model/motor mount configuration before CAD export
SP-002,Y轴同步带直线模组或双导轨同步带组件,MISUMI; HIWIN-equivalent; THK,https://us.misumi-ec.com/maker/misumi/mech/cad/,reachable,likely,unknown,true,manual_download_required,Requires gantry architecture and model configuration
SP-003,Z轴丝杆升降模组,MISUMI; THK; HIWIN-equivalent,https://us.misumi-ec.com/maker/misumi/mech/cad/,reachable,likely,unknown,true,manual_download_required,Requires lead/stroke/carriage/motor orientation selection
SP-004,X轴电机,Oriental Motor; Leadshine; Delta; MISUMI; 3D ContentCentral,https://www.3dcontentcentral.com/parts/browse/Motors-Stepper.aspx,timeout,possible,unknown,true,manual_download_required,3DContentCentral timed out; motor CAD also requires exact model choice
SP-005,Y轴电机,Oriental Motor; Leadshine; Delta; MISUMI; 3D ContentCentral,https://www.3dcontentcentral.com/parts/browse/Motors-Stepper.aspx,timeout,possible,unknown,true,manual_download_required,3DContentCentral timed out; torque-speed selection needed before CAD
SP-006,Z轴电机,Oriental Motor; Leadshine; Delta; MISUMI; 3D ContentCentral,https://www.3dcontentcentral.com/parts/browse/Motors-Stepper.aspx,timeout,possible,unknown,true,manual_download_required,3DContentCentral timed out; brake/holding option may change model
SP-007,X/Y/Z直线导轨与滑块,THK; HIWIN; MISUMI,https://tech.thk.com/,reachable,likely,unknown,true,manual_download_required,Rail length/block type must be configured; no direct CAD file verified
SP-008,同步带,MISUMI; Gates; McMaster-Carr,https://www.mcmaster.com/timing-belts/,reachable,possible,unknown,true,manual_download_required,Belt length/pitch/width must be selected; catalog data may precede CAD
SP-009,同步带轮,MISUMI; McMaster-Carr; Gates,https://www.mcmaster.com/timing-belt-pulleys/,reachable,possible,unknown,true,manual_download_required,Tooth count/bore/hub style must be selected
SP-010,丝杆,MISUMI; THK; McMaster-Carr,https://www.mcmaster.com/lead-screws/,reachable,possible,unknown,true,manual_download_required,Lead/diameter/nut style must be selected
SP-011,联轴器,MISUMI; McMaster-Carr; Ruland-equivalent,https://www.mcmaster.com/shaft-couplings/,reachable,possible,unknown,true,manual_download_required,Bore sizes and coupling style must be selected
SP-012,轴承座,MISUMI; McMaster-Carr; TraceParts,https://www.traceparts.com/en/search/bearing-block,reachable,possible,unknown,true,manual_download_required,Bore/support style must be selected; TraceParts may need account/session
SP-013,电动两指平行夹爪,SMC; Festo,https://www.smcworld.com/,access_limited,likely,unknown,true,manual_download_required,SMCWorld access limited; gripper model and stroke must be selected manually
SP-016,限位开关,Omron; Panasonic; MISUMI; TraceParts,https://www.traceparts.com/en/search/limit-switch,reachable,possible,unknown,true,manual_download_required,Switch model and actuator direction must be selected
SP-019,急停按钮,Schneider; Siemens; IDEC; TraceParts,https://www.traceparts.com/en/search/rs-group-electrical-automation-cables-switches-push-button-switches-components-emergency-stop-push-buttons,reachable,possible,unknown,true,manual_download_required,Panel cutout/contact block configuration must be selected
