part_id,subsystem,part_name_cn,part_name_en,recommended_spec,candidate_model_or_series,quantity,supplier_candidate,cad_source,cad_format_preference,cad_download_status,fallback_allowed,fallback_model_strategy,material,function,selection_reason,risk_note,next_action
SP-001,X axis on gantry,X轴龙门横梁同步带直线模组,X-axis belt module on gantry,"MISUMI MSA-628-B-AB-B1; nominal length 750 mm; mounted on gantry beam as X axis","MSA-628-B-AB-B1-0750",1,MISUMI,"https://us.misumi-ec.com/maker/misumi/mech/cad/","STEP",downloaded,false,"Not allowed for design freeze; real MISUMI CAD file registered locally","Aluminum body; steel rails; belt and pulley set","Provides X horizontal motion on the gantry beam","X-on-gantry uses the same MISUMI MSA-628 series as left/right Y modules and will be a separate SolidWorks instance","Remaining physical parameters must be confirmed from supplier data before final motor sizing","Use normalized CAD file at 03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step"
SP-002,Y axis left,left_y_axis_module,Left Y-axis module or guide assembly,"MISUMI MSA-628-B-AB-B1; nominal length 750 mm; used as left Y module in dual-side gantry","MSA-628-B-AB-B1-0750",1,MISUMI,"https://us.misumi-ec.com/maker/misumi/mech/cad/","STEP",downloaded,false,"Not allowed for design freeze; real MISUMI CAD file registered locally","Aluminum body; steel rails; belt/pulley if integrated","Left Y support and possible drive side for gantry beam","Left side uses MISUMI MSA-628 CAD; same standard CAD will be instantiated twice in SolidWorks for left and right Y modules","Remaining physical parameters must be confirmed from supplier data before final motor sizing","Use normalized CAD file at 03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step"
SP-003,Z axis,z_axis_module,Z-axis lead screw lifting module,"MISUMI LS10 Ball Screw Drive; 140 mm stroke; 4 mm lead; T42 stepping motor adapter","LS10; LS1004-140-T42",1,MISUMI,"https://us.misumi-ec.com/maker/misumi/mech/cad/","STEP",downloaded,false,"Not allowed for design freeze; real MISUMI CAD file registered locally","Aluminum body; steel guide; rolled ball screw","Provides vertical pick/place motion","LS10 ball screw module supports vertical Z motion with specified 140 mm stroke and T42 motor adapter","Other dimensions and load ratings must still be verified from supplier data","Use normalized CAD file at 03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step"
SP-004,X drive,x_axis_motor,X-axis motor,"Oriental Motor AZ Series AZM46AK; 42 mm / NEMA17; mechanical absolute encoder; DC input; no gearbox; no brake","AZ Series; AZM46AK",1,"Oriental Motor","https://www.orientalmotor.com/","STEP",downloaded,false,"No fallback for final motor envelope; real Oriental Motor CAD file registered locally","Motor housing aluminum/steel; shaft steel","Drives X belt module on gantry","Common AZM46AK CAD is used to verify X motor interface; same CAD can be instantiated for X/Y/Z motor envelope checks","Torque-speed and driver selection must still be verified from Oriental Motor data","Use normalized CAD file at 03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step"
SP-005,Y drive,y_axis_motor,Y-axis motor for synchronized gantry,"Oriental Motor AZ Series AZM46AK; 42 mm / NEMA17; mechanical absolute encoder; DC input; no gearbox; no brake","AZ Series; AZM46AK",1,"Oriental Motor","https://www.orientalmotor.com/","STEP",downloaded,false,"No fallback for final motor envelope; real Oriental Motor CAD file registered locally","Motor housing aluminum/steel; shaft steel","Drives mechanically synchronized Y gantry system","Common AZM46AK CAD is used to verify Y motor interface; same CAD can be instantiated for X/Y/Z motor envelope checks","Y torque margin and synchronization drive sizing still require calculation","Use normalized CAD file at 03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step"
SP-006,Z drive,z_axis_motor,Z-axis motor,"Oriental Motor AZ Series AZM46AK; 42 mm / NEMA17; mechanical absolute encoder; DC input; no gearbox; no brake","AZ Series; AZM46AK",1,"Oriental Motor","https://www.orientalmotor.com/","STEP",downloaded,false,"No fallback for final motor envelope; real Oriental Motor CAD file registered locally","Motor housing aluminum/steel; shaft steel","Drives Z lead screw module","Common AZM46AK CAD is used to verify Z motor interface; same CAD can be instantiated for X/Y/Z motor envelope checks","Z holding torque and LS10 motor adapter compatibility still require verification","Use normalized CAD file at 03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step"
SP-007,Linear guidance,X/Y/Z直线导轨与滑块,X/Y/Z linear guide rails and carriage blocks,"Compact guide rails and sliders if not integrated into selected modules","THK LM Guide miniature/compact series; HIWIN MGN/MGW class; MISUMI equivalent",1 set,"THK; HIWIN; MISUMI","https://www.thk.com/opm/jp/en/linear/thklinearguide/","STEP; X_T; SolidWorks",manual_download_required,false,"Not allowed for rail hole and slider height freeze","Bearing steel rail and carriage","Guides X/Y/Z axes if modules are not fully integrated","Real rail CAD defines hole spacing, block height, and assembly datums","Counterfeit or generic guide geometry can cause wrong mounting interfaces","Download real configured guide CAD after module choice"
SP-008,Belt drive,同步带,Timing belt,"GT/HTD class belt sized for X and Y synchronized gantry drives","GT2/GT3/HTD timing belt series; exact width and pitch TBD",2,"MISUMI; Gates; McMaster-Carr; equivalent","https://www.mcmaster.com/timing-belts/","STEP if available; supplier catalog data",manual_download_required,false,"Belt path may be represented only after pulley and module selected","Rubber or polyurethane with tensile cord","Transmits motor torque to X and Y carriages","Timing belt suits fast horizontal axes and mechanical synchronization","Belt stretch affects repeatability, synchronization, and control stiffness","Choose pitch, width, reinforcement, and length after load estimate"
SP-009,Belt drive,同步带轮,Timing belt pulley,"Pulley bore matching motor/sync shaft; tooth count selected for speed/torque tradeoff","GT/HTD timing pulley series; exact tooth count TBD",4,"MISUMI; McMaster-Carr; Gates; equivalent","https://www.mcmaster.com/timing-belt-pulleys/","SLDPRT; STEP",manual_download_required,false,"No final fallback because bore and tooth geometry affect layout","Aluminum or steel","Converts motor/sync shaft torque to belt force","Pulley radius directly affects torque, synchronization, and resolution","Incorrect bore/key/set-screw details can break Y sync interface","Select pulley tooth count after motor speed and belt pitch choice"
SP-010,Z drive,丝杆,Lead screw,"Lead selected for 120 mm Z travel; low backlash nut; efficiency TBD","T8/trapezoidal or ball screw class; exact lead TBD",1,"MISUMI; THK; McMaster-Carr; equivalent","https://www.mcmaster.com/lead-screws/","STEP; X_T",manual_download_required,false,"Not allowed for final thread/nut interface; envelope fallback only","Steel screw; bronze/POM/steel nut depending type","Converts rotary motion to Z linear motion","Lead screw supports controlled vertical motion and holding behavior","Backlash and efficiency strongly affect control and holding torque","Choose trapezoidal vs ball screw after safety and precision review"
