part_id,part_name_cn,model_or_series,supplier,overall_length_mm,overall_width_mm,overall_height_mm,travel_mm,mounting_hole_pattern,mounting_hole_diameter,moving_mass_kg,rated_load_N,max_speed_mm_s,lead_or_pitch_mm,motor_interface,cad_file_path,data_source,verified,note
SP-001,X轴同步带直线模组,TBD,TBD,TBD,TBD,TBD,420,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting real supplier CAD/specification
SP-002,Y轴同步带直线模组或双导轨同步带组件,TBD,TBD,TBD,TBD,TBD,260,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting real supplier CAD/specification
SP-003,Z轴丝杆升降模组,TBD,TBD,TBD,TBD,TBD,120,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting real supplier CAD/specification
SP-004,X轴电机,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting torque-speed and CAD data
SP-005,Y轴电机,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting torque-speed and CAD data
SP-006,Z轴电机,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting torque-speed and CAD data
SP-007,X/Y/Z直线导轨与滑块,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting rail/block CAD or integrated module CAD
SP-008,同步带,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting belt pitch width and length
SP-009,同步带轮,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting pulley tooth count bore and pitch diameter
SP-010,丝杆,TBD,TBD,TBD,TBD,TBD,120,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting screw lead diameter nut style
SP-011,联轴器,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting motor and shaft bore sizes
SP-012,轴承座,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting shaft layout and bearing support style
SP-013,电动两指平行夹爪,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting gripper stroke force mass and flange CAD
SP-014,夹爪软垫,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,May become custom pad after gripper selection
SP-015,拖链,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting cable bundle and bend radius
SP-016,限位开关,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting switch CAD and actuation direction
SP-017,光电传感器,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting sensor CAD and sensing distance
SP-018,扫码模块外形件,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting scanner envelope and interface
SP-019,急停按钮,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting panel cutout and contact block CAD
SP-020,控制盒,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting electronics volume and enclosure choice
SP-021,铝型材或支撑框架件,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting profile family and slot standard
SP-022,角码,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting matching extrusion family
SP-023,紧固件,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting drawing hole standards
SP-024,透明PC防护罩相关标准件,TBD,TBD,TBD,TBD,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,no,Awaiting guard concept and hardware choices
