component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
rear_tray_bottom_channel,rear_fixed_cable_tray,rear_fixed_cable_tray_dark_gray,cable_tray_dark,0.08,0.09,0.1,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_front_lip,rear_fixed_cable_tray,rear_fixed_cable_tray_dark_gray,cable_tray_dark,0.08,0.09,0.1,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_rear_lip,rear_fixed_cable_tray,rear_fixed_cable_tray_dark_gray,cable_tray_dark,0.08,0.09,0.1,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_partial_cover_left,rear_fixed_cable_tray,cable_tray_cover_graphite,cable_tray_cover,0.13,0.14,0.15,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_partial_cover_right,rear_fixed_cable_tray,cable_tray_cover_graphite,cable_tray_cover,0.13,0.14,0.15,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_mount_foot_-390,rear_fixed_cable_tray,cable_anchor_gray,anchor_gray,0.32,0.33,0.34,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_mount_foot_-210,rear_fixed_cable_tray,cable_anchor_gray,anchor_gray,0.32,0.33,0.34,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_mount_foot_-30,rear_fixed_cable_tray,cable_anchor_gray,anchor_gray,0.32,0.33,0.34,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_mount_foot_150,rear_fixed_cable_tray,cable_anchor_gray,anchor_gray,0.32,0.33,0.34,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
rear_tray_mount_foot_330,rear_fixed_cable_tray,cable_anchor_gray,anchor_gray,0.32,0.33,0.34,1.0,generated:rear_fixed_cable_tray,fixed_wiring; rear fixed service cable tray; U-channel with partial covers
