pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,xz_adapter_plate_simplified,no,,197.500000,5.0,ok,
base_plate_1200x900x15,label_plate_INPUT_1,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,label_plate_INPUT_2,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,label_plate_INPUT_3,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,label_plate_INPUT_4,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,scan_tube_holder,no,,3.000000,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,barcode_scanner_mount_bracket,no,,19.000000,5.0,ok,
base_plate_1200x900x15,photoelectric_sensor_mount_bracket,no,,14.000000,5.0,ok,
base_plate_1200x900x15,label_plate_SCAN,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,label_plate_A,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,label_plate_B,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,label_plate_C,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,label_plate_D,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,label_plate_REVIEW,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,control_box_placeholder,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,emergency_stop_placeholder,no,,7.000000,5.0,ok,
base_plate_1200x900x15,cable_chain_path_placeholder,no,,50.000000,5.0,ok,
base_plate_1200x900x15,transparent_guard_frame_placeholder,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,limit_switch_placeholder_1,no,,76.000000,5.0,ok,
base_plate_1200x900x15,limit_switch_placeholder_2,no,,76.000000,5.0,ok,
base_plate_1200x900x15,limit_switch_placeholder_3,no,,76.000000,5.0,ok,
base_plate_1200x900x15,limit_switch_placeholder_4,no,,76.000000,5.0,ok,
base_plate_1200x900x15,left_y_axis_module,no,,2.059842,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,right_y_axis_module,no,,2.059842,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,x_axis_module_on_gantry,no,,194.820176,5.0,ok,
base_plate_1200x900x15,z_axis_module,no,,151.500000,5.0,ok,
base_plate_1200x900x15,electric_parallel_gripper,no,,69.000000,5.0,ok,
base_plate_1200x900x15,input_box_1,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,input_box_2,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,input_box_3,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,input_box_4,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
base_plate_1200x900x15,barcode_scanner,no,,72.400000,5.0,ok,
base_plate_1200x900x15,photoelectric_sensor,no,,55.000000,5.0,ok,
base_plate_1200x900x15,category_A_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact pair
