pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate,left_y_axis_module,no,,9.559842,5.0,ok,
base_plate,right_y_axis_module,no,,9.559842,5.0,ok,
base_plate,x_axis_module_on_gantry,no,,197.320176,5.0,ok,
base_plate,z_axis_module,no,,159.000000,5.0,ok,
base_plate,electric_parallel_gripper,no,,76.500000,5.0,ok,
base_plate,input_mixed_tube_rack_4x6,no,,7.500000,5.0,ok,
base_plate,category_A_output_bin_2x3,no,,7.500000,5.0,ok,
base_plate,category_B_output_bin_2x3,no,,7.500000,5.0,ok,
base_plate,category_C_output_bin_2x3,no,,7.500000,5.0,ok,
base_plate,category_D_output_bin_2x3,no,,7.500000,5.0,ok,
base_plate,manual_review_bin_2x3,no,,7.500000,5.0,ok,
base_plate,barcode_scanner,no,,75.900000,5.0,ok,
base_plate,photoelectric_sensor,no,,62.500000,5.0,ok,
base_plate,input_demo_tube_01_purple75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_02_yellow100,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_03_blue75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_04_red75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_05_yellow100,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_06_purple75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_07_blue75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_08_red75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_09_yellow100,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_10_purple75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_11_blue75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_12_red75,no,,32.500000,5.0,ok,
base_plate,scan_station_demo_tube_yellow100,no,,42.500000,5.0,ok,
base_plate,category_A_classified_tube_01_purple75,no,,32.500000,5.0,ok,
base_plate,category_A_classified_tube_02_purple75,no,,32.500000,5.0,ok,
base_plate,category_B_classified_tube_01_yellow100,no,,32.500000,5.0,ok,
base_plate,xz_adapter_plate_simplified,no,,150.500000,5.0,ok,
base_plate,barcode_scanner_mount_bracket,no,,15.500000,5.0,ok,
base_plate,photoelectric_sensor_mount_bracket,no,,17.500000,5.0,ok,
base_plate,label_plate_INPUT,no,,14.500000,5.0,ok,
base_plate,label_plate_A,no,,14.500000,5.0,ok,
base_plate,label_plate_B,no,,14.500000,5.0,ok,
base_plate,label_plate_C,no,,14.500000,5.0,ok,
base_plate,label_plate_D,no,,14.500000,5.0,ok,
base_plate,label_plate_REVIEW,no,,14.500000,5.0,ok,
left_y_axis_module,right_y_axis_module,no,,643.571400,5.0,ok,
left_y_axis_module,x_axis_module_on_gantry,no,,112.573186,5.0,ok,
