instance_name,subpart_name,color_name,r,g,b,a,source_path,notes
base_plate,imported_shape,base_light_gray,0.7,0.72,0.74,1.0,03_cad/custom_parts/base_plate/base_plate_1100x900x15.step,
left_y_axis_module,imported_shape,dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,v3/v4 gantry position retained; auto-align long axis to Y
right_y_axis_module,imported_shape,dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,v3/v4 gantry position retained; auto-align long axis to Y
x_axis_module_on_gantry,imported_shape,dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,v3/v4 gantry position retained; auto-align long axis to X
z_axis_module,imported_shape,dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,v3/v4 Z height retained; auto-align long axis to Z
electric_parallel_gripper,imported_shape,dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/gripper/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,v3/v4 gripper height retained
input_mixed_tube_rack_4x6,imported_shape,rack_light_gray,0.83,0.85,0.84,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,v5 moved inward from left Y axis for clearance after audit
category_A_output_bin_2x3,imported_shape,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/category_A_output_bin_2x3.step,v5 moved away from right Y axis
category_B_output_bin_2x3,imported_shape,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/category_B_output_bin_2x3.step,v5 moved away from right Y axis
category_C_output_bin_2x3,imported_shape,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/category_C_output_bin_2x3.step,v5 moved away from right Y axis
category_D_output_bin_2x3,imported_shape,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/category_D_output_bin_2x3.step,v5 moved away from right Y axis
manual_review_bin_2x3,imported_shape,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/manual_review_bin_2x3.step,v5 moved inward from left Y axis for clearance
barcode_scanner,imported_shape,scanner_black,0.06,0.06,0.06,1.0,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,v5 scan station moved away from gantry center
photoelectric_sensor,imported_shape,sensor_dark_gray,0.14,0.14,0.14,1.0,03_cad/standard_parts/downloaded/sensors/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,v5 scan station moved away from gantry center
input_demo_tube_01_purple75,tube_body_13mm_od,light_gray_body,0.78,0.84,0.88,0.55,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 1, col 1; v5 input rack origin"
input_demo_tube_01_purple75,tube_cap,purple_cap,0.45,0.16,0.75,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 1, col 1; v5 input rack origin"
input_demo_tube_01_purple75,curved_white_label_220deg,white_label,1.0,1.0,1.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 1, col 1; v5 input rack origin"
input_demo_tube_01_purple75,curved_barcode_stripe_1,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 1, col 1; v5 input rack origin"
input_demo_tube_01_purple75,curved_barcode_stripe_2,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 1, col 1; v5 input rack origin"
input_demo_tube_01_purple75,curved_barcode_stripe_3,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,"input rack row 1, col 1; v5 input rack origin"
