component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
imported_shape,base_plate,base_light_gray,base_plate,0.7,0.72,0.74,1.0,03_cad/custom_parts/base_plate/base_plate_1100x900x15.step,base layout datum; base_top_z=0
imported_shape,left_y_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,dual-side gantry Y axis; auto-align long axis to Y
imported_shape,right_y_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,dual-side gantry Y axis; auto-align long axis to Y
imported_shape,x_axis_module_on_gantry,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,gantry X axis; tool chain uses its central carriage anchor
imported_shape,z_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,aligned to X carriage anchor under the X-Z adapter plate
imported_shape,electric_parallel_gripper,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/gripper/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,aligned below the vertical Z module as the tool-chain end effector
imported_shape,input_mixed_tube_rack_4x6,rack_light_gray,rack_light_gray,0.83,0.85,0.84,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,input rack module origin; tube instances are placed by rack_slot_center
imported_shape,barcode_scanner,scanner_black,scanner_black,0.06,0.06,0.06,1.0,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,anchored to scanner bracket and aimed at scan_tube_holder center
imported_shape,photoelectric_sensor,sensor_dark_gray,sensor_dark_gray,0.14,0.14,0.14,1.0,03_cad/standard_parts/downloaded/sensors/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,anchored to sensor bracket for scan-tube presence detection
imported_shape,category_A_output_bin_2x3,bin_mid_gray,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/category_A_output_bin_2x3.step,A bin module origin; demo tubes use local 2x3 bin_slot_center
imported_shape,category_B_output_bin_2x3,bin_mid_gray,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/category_B_output_bin_2x3.step,B bin module origin; demo tubes use local 2x3 bin_slot_center
imported_shape,category_C_output_bin_2x3,bin_mid_gray,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/category_C_output_bin_2x3.step,C bin module origin; demo tubes use local 2x3 bin_slot_center
imported_shape,category_D_output_bin_2x3,bin_mid_gray,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/category_D_output_bin_2x3.step,D bin module origin; demo tubes use local 2x3 bin_slot_center
imported_shape,manual_review_bin_2x3,bin_mid_gray,bin_mid_gray,0.72,0.74,0.73,1.0,03_cad/custom_parts/tube_bins/manual_review_bin_2x3.step,REVIEW bin module origin; demo tubes use local 2x3 bin_slot_center
tube_body_13mm_od,input_demo_tube_01_A1_purple75,light_gray_body,tube_body,0.78,0.84,0.88,0.55,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
tube_cap,input_demo_tube_01_A1_purple75,purple_cap,purple,0.45,0.16,0.75,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_white_label_220deg,input_demo_tube_01_A1_purple75,white_label,tube_label,1.0,1.0,1.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_1,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_2,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_3,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_4,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_5,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_6,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_7,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_8,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
curved_barcode_stripe_9,input_demo_tube_01_A1_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,slot A1; placed from local 4x6 rack_slot_center
