pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate,left_y_axis_module,no,,9.559842,5.0,ok,
base_plate,right_y_axis_module,no,,9.559842,5.0,ok,
base_plate,x_axis_module_on_gantry,no,,197.320176,5.0,ok,
base_plate,z_axis_module,no,,159.000000,5.0,ok,
base_plate,electric_parallel_gripper,no,,76.500000,5.0,ok,
base_plate,input_mixed_tube_rack_4x6,no,,7.500000,5.0,ok,
base_plate,barcode_scanner,no,,79.900000,5.0,ok,
base_plate,photoelectric_sensor,no,,62.500000,5.0,ok,
base_plate,category_A_output_bin_2x3,no,,7.500000,5.0,ok,
base_plate,category_B_output_bin_2x3,no,,7.500000,5.0,ok,
base_plate,category_C_output_bin_2x3,no,,7.500000,5.0,ok,
base_plate,category_D_output_bin_2x3,no,,7.500000,5.0,ok,
base_plate,manual_review_bin_2x3,no,,7.500000,5.0,ok,
base_plate,input_demo_tube_01_A1_purple75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_02_A3_yellow100,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_03_A5_blue75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_04_B2_red75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_05_B4_yellow100,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_06_B6_purple75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_07_C1_blue75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_08_C3_red75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_09_C5_yellow100,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_10_D2_purple75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_11_D4_blue75,no,,32.500000,5.0,ok,
base_plate,input_demo_tube_12_D6_red75,no,,32.500000,5.0,ok,
base_plate,scan_station_demo_tube_yellow100,no,,31.500000,5.0,ok,
base_plate,category_A_classified_tube_01_purple75,no,,32.500000,5.0,ok,
base_plate,category_A_classified_tube_02_purple75,no,,32.500000,5.0,ok,
base_plate,category_B_classified_tube_01_yellow100,no,,32.500000,5.0,ok,
base_plate,xz_adapter_plate_simplified,no,,205.000000,5.0,ok,
base_plate,label_plate_INPUT,no,,7.500000,5.0,ok,
base_plate,scan_tube_holder,no,,10.500000,5.0,ok,
base_plate,barcode_scanner_mount_bracket,no,,26.500000,5.0,ok,
base_plate,photoelectric_sensor_mount_bracket,no,,21.500000,5.0,ok,
base_plate,label_plate_SCAN,no,,7.500000,5.0,ok,
base_plate,label_plate_A,no,,7.500000,5.0,ok,
base_plate,label_plate_B,no,,7.500000,5.0,ok,
base_plate,label_plate_C,no,,7.500000,5.0,ok,
base_plate,label_plate_D,no,,7.500000,5.0,ok,
