component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
rear_box_shell,closed_control_box_housing,control_box_powder_coated_dark_gray,control_box_housing,0.16,0.17,0.18,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
service_lid_panel,closed_control_box_housing,control_box_service_lid_graphite,control_box_lid,0.1,0.11,0.12,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
lid_seam_top,closed_control_box_housing,control_box_lid_seam_black,control_box_seam,0.01,0.01,0.01,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
lid_seam_bottom,closed_control_box_housing,control_box_lid_seam_black,control_box_seam,0.01,0.01,0.01,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
lid_seam_left,closed_control_box_housing,control_box_lid_seam_black,control_box_seam,0.01,0.01,0.01,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
lid_seam_right,closed_control_box_housing,control_box_lid_seam_black,control_box_seam,0.01,0.01,0.01,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
service_lid_screw_marker_1,closed_control_box_housing,control_box_lid_seam_black,control_box_seam,0.01,0.01,0.01,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
service_lid_screw_marker_2,closed_control_box_housing,control_box_lid_seam_black,control_box_seam,0.01,0.01,0.01,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
service_lid_screw_marker_3,closed_control_box_housing,control_box_lid_seam_black,control_box_seam,0.01,0.01,0.01,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
service_lid_screw_marker_4,closed_control_box_housing,control_box_lid_seam_black,control_box_seam,0.01,0.01,0.01,1.0,generated:closed_control_box_housing,"closed rear service cabinet housing with rear service door, seams, and screw markers"
rear_cable_gland_01,closed_control_box_cable_glands,cable_gland_black,cable_gland_black,0.02,0.02,0.02,1.0,generated:closed_control_box_cable_glands,four short rear-service cable glands; no top-facing connectors and no wire harness
short_rear_cable_stub_01,closed_control_box_cable_glands,cable_gland_black,cable_gland_black,0.02,0.02,0.02,1.0,generated:closed_control_box_cable_glands,four short rear-service cable glands; no top-facing connectors and no wire harness
rear_cable_gland_02,closed_control_box_cable_glands,cable_gland_black,cable_gland_black,0.02,0.02,0.02,1.0,generated:closed_control_box_cable_glands,four short rear-service cable glands; no top-facing connectors and no wire harness
short_rear_cable_stub_02,closed_control_box_cable_glands,cable_gland_black,cable_gland_black,0.02,0.02,0.02,1.0,generated:closed_control_box_cable_glands,four short rear-service cable glands; no top-facing connectors and no wire harness
rear_cable_gland_03,closed_control_box_cable_glands,cable_gland_black,cable_gland_black,0.02,0.02,0.02,1.0,generated:closed_control_box_cable_glands,four short rear-service cable glands; no top-facing connectors and no wire harness
short_rear_cable_stub_03,closed_control_box_cable_glands,cable_gland_black,cable_gland_black,0.02,0.02,0.02,1.0,generated:closed_control_box_cable_glands,four short rear-service cable glands; no top-facing connectors and no wire harness
rear_cable_gland_04,closed_control_box_cable_glands,cable_gland_black,cable_gland_black,0.02,0.02,0.02,1.0,generated:closed_control_box_cable_glands,four short rear-service cable glands; no top-facing connectors and no wire harness
short_rear_cable_stub_04,closed_control_box_cable_glands,cable_gland_black,cable_gland_black,0.02,0.02,0.02,1.0,generated:closed_control_box_cable_glands,four short rear-service cable glands; no top-facing connectors and no wire harness
right_side_vent_slot_1,closed_control_box_ventilation,vent_slot_dark,vent_dark,0.03,0.03,0.03,1.0,generated:closed_control_box_ventilation,side and rear simplified ventilation slots on the closed cabinet
