component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
enclosure_bottom_rear_rail,enclosure_bottom_rear_rail,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_bottom_rear_rail,bottom rear rail mounted to base perimeter
enclosure_bottom_left_rail,enclosure_bottom_left_rail,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_bottom_left_rail,bottom left rail mounted to base perimeter
enclosure_bottom_right_rail,enclosure_bottom_right_rail,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_bottom_right_rail,bottom right rail mounted to base perimeter
enclosure_bottom_front_left_stub,enclosure_bottom_front_left_stub,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_bottom_front_left_stub,front rail kept segmented for operator openings
enclosure_bottom_front_center_stub,enclosure_bottom_front_center_stub,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_bottom_front_center_stub,front rail kept segmented for operator openings
enclosure_bottom_front_right_stub,enclosure_bottom_front_right_stub,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_bottom_front_right_stub,front rail kept segmented for operator openings
enclosure_corner_post_front_left,enclosure_corner_post_front_left,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_corner_post_front_left,front-left vertical aluminum post
enclosure_corner_post_front_right,enclosure_corner_post_front_right,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_corner_post_front_right,front-right vertical aluminum post
enclosure_corner_post_rear_left,enclosure_corner_post_rear_left,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_corner_post_rear_left,rear-left vertical aluminum post
enclosure_corner_post_rear_right,enclosure_corner_post_rear_right,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_corner_post_rear_right,rear-right vertical aluminum post
enclosure_top_rear_crossbeam,enclosure_top_rear_crossbeam,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_top_rear_crossbeam,top rear crossbeam
enclosure_top_left_crossbeam,enclosure_top_left_crossbeam,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_top_left_crossbeam,top left side crossbeam
enclosure_top_right_crossbeam,enclosure_top_right_crossbeam,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_top_right_crossbeam,top right side crossbeam
enclosure_front_upper_left_beam,enclosure_front_upper_left_beam,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_front_upper_left_beam,front top beam segment over input-side opening
enclosure_front_upper_center_beam,enclosure_front_upper_center_beam,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_front_upper_center_beam,front top beam segment between access openings
enclosure_front_upper_right_beam,enclosure_front_upper_right_beam,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_front_upper_right_beam,front top beam segment over output-side opening
enclosure_front_divider_post_left,enclosure_front_divider_post_left,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_front_divider_post_left,front divider post between input/manual access zones
enclosure_front_divider_post_right,enclosure_front_divider_post_right,anodized_aluminum_dark_gray,aluminum_frame,0.36,0.38,0.39,1.0,generated:enclosure_front_divider_post_right,front divider post between manual/output access zones
enclosure_rear_transparent_panel,enclosure_rear_transparent_panel,transparent_pc_light_blue,transparent_panel_clean,0.62,0.86,1.0,0.2,generated:enclosure_rear_transparent_panel,rear transparent PC/acrylic panel
enclosure_left_transparent_panel,enclosure_left_transparent_panel,transparent_pc_light_blue,transparent_panel_clean,0.62,0.86,1.0,0.2,generated:enclosure_left_transparent_panel,"left transparent side panel, front access left open"
enclosure_right_transparent_panel,enclosure_right_transparent_panel,transparent_pc_light_blue,transparent_panel_clean,0.62,0.86,1.0,0.2,generated:enclosure_right_transparent_panel,"right transparent side panel, front access right open"
enclosure_front_left_low_panel,enclosure_front_left_low_panel,transparent_pc_light_blue,transparent_panel_clean,0.62,0.86,1.0,0.2,generated:enclosure_front_left_low_panel,"small front low panel, does not cover input access"
enclosure_front_center_low_panel,enclosure_front_center_low_panel,transparent_pc_light_blue,transparent_panel_clean,0.62,0.86,1.0,0.2,generated:enclosure_front_center_low_panel,"small front low divider panel, manual review remains accessible"
enclosure_front_right_low_panel,enclosure_front_right_low_panel,transparent_pc_light_blue,transparent_panel_clean,0.62,0.86,1.0,0.2,generated:enclosure_front_right_low_panel,"small front low panel, does not cover output access"
enclosure_input_box_replace_opening_left_jamb,enclosure_input_box_replace_opening_left_jamb,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_input_box_replace_opening_left_jamb,input-box replacement door/opening frame
enclosure_input_box_replace_opening_right_jamb,enclosure_input_box_replace_opening_right_jamb,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_input_box_replace_opening_right_jamb,input-box replacement door/opening frame
enclosure_input_box_replace_opening_top_rail,enclosure_input_box_replace_opening_top_rail,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_input_box_replace_opening_top_rail,input-box replacement door/opening frame
enclosure_input_box_replace_opening_bottom_sill,enclosure_input_box_replace_opening_bottom_sill,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_input_box_replace_opening_bottom_sill,input-box replacement door/opening frame
enclosure_output_box_replace_opening_left_jamb,enclosure_output_box_replace_opening_left_jamb,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_output_box_replace_opening_left_jamb,output-box replacement door/opening frame
enclosure_output_box_replace_opening_right_jamb,enclosure_output_box_replace_opening_right_jamb,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_output_box_replace_opening_right_jamb,output-box replacement door/opening frame
enclosure_output_box_replace_opening_top_rail,enclosure_output_box_replace_opening_top_rail,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_output_box_replace_opening_top_rail,output-box replacement door/opening frame
enclosure_output_box_replace_opening_bottom_sill,enclosure_output_box_replace_opening_bottom_sill,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_output_box_replace_opening_bottom_sill,output-box replacement door/opening frame
enclosure_input_door_simple_pull_handle,enclosure_input_door_simple_pull_handle,door_handle_dark_gray,door_handle,0.08,0.08,0.08,1.0,generated:enclosure_input_door_simple_pull_handle,"simple pull handle geometry, no text label"
enclosure_output_door_simple_pull_handle,enclosure_output_door_simple_pull_handle,door_handle_dark_gray,door_handle,0.08,0.08,0.08,1.0,generated:enclosure_output_door_simple_pull_handle,"simple pull handle geometry, no text label"
enclosure_manual_review_access_opening_left_jamb,enclosure_manual_review_access_opening_left_jamb,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_manual_review_access_opening_left_jamb,manual_review front access opening
enclosure_manual_review_access_opening_right_jamb,enclosure_manual_review_access_opening_right_jamb,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_manual_review_access_opening_right_jamb,manual_review front access opening
enclosure_manual_review_access_opening_top_rail,enclosure_manual_review_access_opening_top_rail,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_manual_review_access_opening_top_rail,manual_review front access opening
enclosure_manual_review_access_opening_bottom_sill,enclosure_manual_review_access_opening_bottom_sill,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_manual_review_access_opening_bottom_sill,manual_review front access opening
enclosure_manual_review_access_simple_pull_handle,enclosure_manual_review_access_simple_pull_handle,door_handle_dark_gray,door_handle,0.08,0.08,0.08,1.0,generated:enclosure_manual_review_access_simple_pull_handle,"simple pull handle geometry, no text label"
enclosure_top_open_front_light_rail,enclosure_top_open_front_light_rail,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_top_open_front_light_rail,top is open; front rail is only a thin frame
enclosure_top_open_rear_light_rail,enclosure_top_open_rear_light_rail,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_top_open_rear_light_rail,top open rear light rail
enclosure_top_open_left_light_rail,enclosure_top_open_left_light_rail,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_top_open_left_light_rail,top open left light rail
enclosure_top_open_right_light_rail,enclosure_top_open_right_light_rail,access_door_frame_gray,access_door_frame,0.28,0.32,0.34,1.0,generated:enclosure_top_open_right_light_rail,top open right light rail
