component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
z_gripper_adapter_plate_main,z_gripper_adapter_plate_v1,machined_aluminum_gripper_adapter,gripper_metal,0.55,0.57,0.58,1.0,generated:z_gripper_adapter_plate_v1,adapter; new adapter plate between Z axis end and gripper body
z_gripper_adapter_lower_flange,z_gripper_adapter_plate_v1,machined_aluminum_gripper_adapter,gripper_metal,0.55,0.57,0.58,1.0,generated:z_gripper_adapter_plate_v1,adapter; new adapter plate between Z axis end and gripper body
z_gripper_adapter_upper_flange,z_gripper_adapter_plate_v1,machined_aluminum_gripper_adapter,gripper_metal,0.55,0.57,0.58,1.0,generated:z_gripper_adapter_plate_v1,adapter; new adapter plate between Z axis end and gripper body
z_adapter_socket_head_1_127,z_gripper_adapter_plate_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:z_gripper_adapter_plate_v1,adapter; new adapter plate between Z axis end and gripper body
z_adapter_socket_head_1_165,z_gripper_adapter_plate_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:z_gripper_adapter_plate_v1,adapter; new adapter plate between Z axis end and gripper body
z_adapter_socket_head_2_127,z_gripper_adapter_plate_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:z_gripper_adapter_plate_v1,adapter; new adapter plate between Z axis end and gripper body
z_adapter_socket_head_2_165,z_gripper_adapter_plate_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:z_gripper_adapter_plate_v1,adapter; new adapter plate between Z axis end and gripper body
electric_parallel_gripper_body_housing,electric_parallel_gripper_body_v1,dark_gray_electric_parallel_gripper_body,gripper_body_dark,0.08,0.085,0.09,1.0,generated:electric_parallel_gripper_body_v1,"gripper_body; closed electric parallel gripper body, not a scanner/sensor block"
electric_parallel_gripper_front_motor_cover,electric_parallel_gripper_body_v1,black_gripper_motor_cover,gripper_body_black,0.015,0.015,0.018,1.0,generated:electric_parallel_gripper_body_v1,"gripper_body; closed electric parallel gripper body, not a scanner/sensor block"
parallel_jaw_linear_slide_rail,electric_parallel_gripper_body_v1,brushed_steel_gripper_jaws,jaw_metal,0.62,0.64,0.65,1.0,generated:electric_parallel_gripper_body_v1,"gripper_body; closed electric parallel gripper body, not a scanner/sensor block"
gripper_body_socket_head_-20_104,electric_parallel_gripper_body_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:electric_parallel_gripper_body_v1,"gripper_body; closed electric parallel gripper body, not a scanner/sensor block"
gripper_body_socket_head_-20_122,electric_parallel_gripper_body_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:electric_parallel_gripper_body_v1,"gripper_body; closed electric parallel gripper body, not a scanner/sensor block"
gripper_body_socket_head_20_104,electric_parallel_gripper_body_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:electric_parallel_gripper_body_v1,"gripper_body; closed electric parallel gripper body, not a scanner/sensor block"
gripper_body_socket_head_20_122,electric_parallel_gripper_body_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:electric_parallel_gripper_body_v1,"gripper_body; closed electric parallel gripper body, not a scanner/sensor block"
left_gripper_jaw_vertical_finger,two_finger_gripper_jaws_v1,brushed_steel_gripper_jaws,jaw_metal,0.62,0.64,0.65,1.0,generated:two_finger_gripper_jaws_v1,two_finger_jaws; left/right open-pose gripper jaws aligned to tube centerline
right_gripper_jaw_vertical_finger,two_finger_gripper_jaws_v1,brushed_steel_gripper_jaws,jaw_metal,0.62,0.64,0.65,1.0,generated:two_finger_gripper_jaws_v1,two_finger_jaws; left/right open-pose gripper jaws aligned to tube centerline
left_jaw_root_block,two_finger_gripper_jaws_v1,brushed_steel_gripper_jaws,jaw_metal,0.62,0.64,0.65,1.0,generated:two_finger_gripper_jaws_v1,two_finger_jaws; left/right open-pose gripper jaws aligned to tube centerline
right_jaw_root_block,two_finger_gripper_jaws_v1,brushed_steel_gripper_jaws,jaw_metal,0.62,0.64,0.65,1.0,generated:two_finger_gripper_jaws_v1,two_finger_jaws; left/right open-pose gripper jaws aligned to tube centerline
left_soft_tube_contact_pad,soft_tube_contact_pads_v1,black_rubber_soft_tube_contact_pad,soft_pad,0.01,0.01,0.01,1.0,generated:soft_tube_contact_pads_v1,soft_contact_pads; black rubber tube-contact pads on jaw inner faces
right_soft_tube_contact_pad,soft_tube_contact_pads_v1,black_rubber_soft_tube_contact_pad,soft_pad,0.01,0.01,0.01,1.0,generated:soft_tube_contact_pads_v1,soft_contact_pads; black rubber tube-contact pads on jaw inner faces
left_pad_shallow_v_groove_marker,soft_tube_contact_pads_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:soft_tube_contact_pads_v1,soft_contact_pads; black rubber tube-contact pads on jaw inner faces
right_pad_shallow_v_groove_marker,soft_tube_contact_pads_v1,dark_socket_head_fasteners,fastener_dark,0.03,0.03,0.032,1.0,generated:soft_tube_contact_pads_v1,soft_contact_pads; black rubber tube-contact pads on jaw inner faces
gripper_top_strain_relief_clamp,gripper_cable_strain_relief_v1,black_gripper_strain_relief,strain_relief,0.008,0.008,0.009,1.0,generated:gripper_cable_strain_relief_v1,strain_relief; short local strain relief at gripper body; no long tool cable added
short_hose_to_gripper_body,gripper_cable_strain_relief_v1,black_gripper_strain_relief,strain_relief,0.008,0.008,0.009,1.0,generated:gripper_cable_strain_relief_v1,strain_relief; short local strain relief at gripper body; no long tool cable added
tcp_centerline_reference_transparent,tcp_centerline_reference_v1,transparent_tcp_centerline_reference,tcp_reference,0.85,0.92,1.0,0.35,generated:tcp_centerline_reference_v1,pick_geometry_reference; transparent centerline reference only; not a physical tube instance
