component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
left_y_slider_top_adapter_plate,left_y_slider_top_adapter_plate_v1_3,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
left_y_slider_low_locating_pad,left_y_slider_top_adapter_plate_v1_3,dark_compact_end_mount_or_spacer,slider_dark,0.16,0.16,0.17,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
left_y_slider_top_clamp_cap,left_y_slider_top_adapter_plate_v1_3,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_fastener_-28_-22,left_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_fastener_-28_22,left_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_fastener_28_-22,left_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_fastener_28_22,left_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_dowel_marker_-16,left_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_dowel_marker_16,left_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original left Y slider/carriage interface
right_y_slider_top_adapter_plate,right_y_slider_top_adapter_plate_v1_3,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
right_y_slider_low_locating_pad,right_y_slider_top_adapter_plate_v1_3,dark_compact_end_mount_or_spacer,slider_dark,0.16,0.16,0.17,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
right_y_slider_top_clamp_cap,right_y_slider_top_adapter_plate_v1_3,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_fastener_-28_-22,right_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_fastener_-28_22,right_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_fastener_28_-22,right_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_fastener_28_22,right_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_dowel_marker_-16,right_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_dowel_marker_16,right_y_slider_top_adapter_plate_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_3,low_slider_adapter; low horizontal adapter plate sitting on original right Y slider/carriage interface
left_x_beam_end_low_saddle_base,left_x_beam_end_saddle_v1_3,dark_compact_end_mount_or_spacer,slider_dark,0.16,0.16,0.17,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_x_beam_end_low_saddle_cap,left_x_beam_end_saddle_v1_3,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_front_small_side_gusset,left_x_beam_end_saddle_v1_3,brushed_compact_gantry_rib,slider_rib,0.45,0.46,0.47,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_rear_small_side_gusset,left_x_beam_end_saddle_v1_3,brushed_compact_gantry_rib,slider_rib,0.45,0.46,0.47,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_low_saddle_fastener_-509_-22,left_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_low_saddle_fastener_-509_22,left_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_low_saddle_fastener_-441_-22,left_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_low_saddle_fastener_-441_22,left_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_low_saddle_fastener_-380_-22,left_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
left_low_saddle_fastener_-380_22,left_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_x_beam_end_low_saddle_base,right_x_beam_end_saddle_v1_3,dark_compact_end_mount_or_spacer,slider_dark,0.16,0.16,0.17,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_x_beam_end_low_saddle_cap,right_x_beam_end_saddle_v1_3,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_front_small_side_gusset,right_x_beam_end_saddle_v1_3,brushed_compact_gantry_rib,slider_rib,0.45,0.46,0.47,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_rear_small_side_gusset,right_x_beam_end_saddle_v1_3,brushed_compact_gantry_rib,slider_rib,0.45,0.46,0.47,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_low_saddle_fastener_474_-22,right_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_low_saddle_fastener_474_22,right_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_low_saddle_fastener_424_-22,right_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_low_saddle_fastener_424_22,right_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_low_saddle_fastener_380_-22,right_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
right_low_saddle_fastener_380_22,right_x_beam_end_saddle_v1_3,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_saddle_v1_3,low_x_beam_saddle; low X beam end saddle; no vertical motor-like box
