component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
left_y_slider_top_base_plate,left_compact_carriage_binding_assembly_v1_4,machined_aluminum_load_path_plate,load_path_plate,0.58,0.59,0.6,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_front_vertical_cheek_plate,left_compact_carriage_binding_assembly_v1_4,dark_open_cheek_plate,load_path_dark,0.16,0.16,0.17,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_rear_vertical_cheek_plate,left_compact_carriage_binding_assembly_v1_4,dark_open_cheek_plate,load_path_dark,0.16,0.16,0.17,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_x_beam_end_saddle,left_compact_carriage_binding_assembly_v1_4,machined_aluminum_load_path_plate,load_path_plate,0.58,0.59,0.6,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_front_lower_triangular_gusset,left_compact_carriage_binding_assembly_v1_4,brushed_small_triangular_gusset,load_path_rib,0.45,0.46,0.47,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_rear_lower_triangular_gusset,left_compact_carriage_binding_assembly_v1_4,brushed_small_triangular_gusset,load_path_rib,0.45,0.46,0.47,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_front_upper_triangular_gusset,left_compact_carriage_binding_assembly_v1_4,brushed_small_triangular_gusset,load_path_rib,0.45,0.46,0.47,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_rear_upper_triangular_gusset,left_compact_carriage_binding_assembly_v1_4,brushed_small_triangular_gusset,load_path_rib,0.45,0.46,0.47,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_base_plate_bolt_marker_-24_-22,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_base_plate_bolt_marker_-24_22,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_base_plate_bolt_marker_24_-22,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_base_plate_bolt_marker_24_22,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_base_plate_dowel_marker_-16,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_base_plate_dowel_marker_16,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_front_cheek_fastener_-559,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_rear_cheek_fastener_-559,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_front_cheek_fastener_-472,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_rear_cheek_fastener_-472,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_front_cheek_fastener_-386,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_rear_cheek_fastener_-386,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_saddle_end_fastener_-24,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
left_saddle_end_fastener_24,left_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:left_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; left Y slider to X beam end physical load path
right_y_slider_top_base_plate,right_compact_carriage_binding_assembly_v1_4,machined_aluminum_load_path_plate,load_path_plate,0.58,0.59,0.6,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_front_vertical_cheek_plate,right_compact_carriage_binding_assembly_v1_4,dark_open_cheek_plate,load_path_dark,0.16,0.16,0.17,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_rear_vertical_cheek_plate,right_compact_carriage_binding_assembly_v1_4,dark_open_cheek_plate,load_path_dark,0.16,0.16,0.17,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_x_beam_end_saddle,right_compact_carriage_binding_assembly_v1_4,machined_aluminum_load_path_plate,load_path_plate,0.58,0.59,0.6,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_front_lower_triangular_gusset,right_compact_carriage_binding_assembly_v1_4,brushed_small_triangular_gusset,load_path_rib,0.45,0.46,0.47,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_rear_lower_triangular_gusset,right_compact_carriage_binding_assembly_v1_4,brushed_small_triangular_gusset,load_path_rib,0.45,0.46,0.47,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_front_upper_triangular_gusset,right_compact_carriage_binding_assembly_v1_4,brushed_small_triangular_gusset,load_path_rib,0.45,0.46,0.47,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_rear_upper_triangular_gusset,right_compact_carriage_binding_assembly_v1_4,brushed_small_triangular_gusset,load_path_rib,0.45,0.46,0.47,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_base_plate_bolt_marker_-24_-22,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_base_plate_bolt_marker_-24_22,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_base_plate_bolt_marker_24_-22,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_base_plate_bolt_marker_24_22,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_base_plate_dowel_marker_-16,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_base_plate_dowel_marker_16,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_front_cheek_fastener_524,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_rear_cheek_fastener_524,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_front_cheek_fastener_455,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_rear_cheek_fastener_455,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_front_cheek_fastener_386,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_rear_cheek_fastener_386,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_saddle_end_fastener_-24,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
right_saddle_end_fastener_24,right_compact_carriage_binding_assembly_v1_4,dark_fastener_or_dowel_marker,load_path_fastener,0.03,0.03,0.032,1.0,generated:right_compact_carriage_binding_assembly_v1_4,physical_load_path_binding; right Y slider to X beam end physical load path
