component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
left_y_carriage_adapter_plate_main,left_y_carriage_adapter_plate_v1,machined_aluminum_gantry_joint_plate,joint_plate,0.58,0.59,0.6,1.0,generated:left_y_carriage_adapter_plate_v1,custom_adapter; custom plate from left Y carriage area toward gantry side support
left_y_carriage_adapter_upper_pad,left_y_carriage_adapter_plate_v1,dark_gray_gantry_side_bracket,joint_dark,0.18,0.18,0.19,1.0,generated:left_y_carriage_adapter_plate_v1,custom_adapter; custom plate from left Y carriage area toward gantry side support
left_y_adapter_top_fastener_-30_-20,left_y_carriage_adapter_plate_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:left_y_carriage_adapter_plate_v1,custom_adapter; custom plate from left Y carriage area toward gantry side support
left_y_adapter_top_fastener_-30_20,left_y_carriage_adapter_plate_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:left_y_carriage_adapter_plate_v1,custom_adapter; custom plate from left Y carriage area toward gantry side support
left_y_adapter_top_fastener_30_-20,left_y_carriage_adapter_plate_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:left_y_carriage_adapter_plate_v1,custom_adapter; custom plate from left Y carriage area toward gantry side support
left_y_adapter_top_fastener_30_20,left_y_carriage_adapter_plate_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:left_y_carriage_adapter_plate_v1,custom_adapter; custom plate from left Y carriage area toward gantry side support
right_y_carriage_adapter_plate_main,right_y_carriage_adapter_plate_v1,machined_aluminum_gantry_joint_plate,joint_plate,0.58,0.59,0.6,1.0,generated:right_y_carriage_adapter_plate_v1,custom_adapter; custom plate from right Y carriage area toward gantry side support
right_y_carriage_adapter_upper_pad,right_y_carriage_adapter_plate_v1,dark_gray_gantry_side_bracket,joint_dark,0.18,0.18,0.19,1.0,generated:right_y_carriage_adapter_plate_v1,custom_adapter; custom plate from right Y carriage area toward gantry side support
right_y_adapter_top_fastener_-30_-20,right_y_carriage_adapter_plate_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:right_y_carriage_adapter_plate_v1,custom_adapter; custom plate from right Y carriage area toward gantry side support
right_y_adapter_top_fastener_-30_20,right_y_carriage_adapter_plate_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:right_y_carriage_adapter_plate_v1,custom_adapter; custom plate from right Y carriage area toward gantry side support
right_y_adapter_top_fastener_30_-20,right_y_carriage_adapter_plate_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:right_y_carriage_adapter_plate_v1,custom_adapter; custom plate from right Y carriage area toward gantry side support
right_y_adapter_top_fastener_30_20,right_y_carriage_adapter_plate_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:right_y_carriage_adapter_plate_v1,custom_adapter; custom plate from right Y carriage area toward gantry side support
left_x_beam_end_mount_vertical_plate,left_x_beam_end_mount_v1,machined_aluminum_gantry_joint_plate,joint_plate,0.58,0.59,0.6,1.0,generated:left_x_beam_end_mount_v1,custom_end_mount; left X beam end mounting plate and cap/lug features
left_x_beam_end_mount_cap_plate,left_x_beam_end_mount_v1,machined_aluminum_gantry_joint_plate,joint_plate,0.58,0.59,0.6,1.0,generated:left_x_beam_end_mount_v1,custom_end_mount; left X beam end mounting plate and cap/lug features
left_x_beam_end_mount_lower_lug,left_x_beam_end_mount_v1,dark_gray_gantry_side_bracket,joint_dark,0.18,0.18,0.19,1.0,generated:left_x_beam_end_mount_v1,custom_end_mount; left X beam end mounting plate and cap/lug features
left_x_end_mount_side_fastener_-30_237,left_x_beam_end_mount_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_mount_v1,custom_end_mount; left X beam end mounting plate and cap/lug features
left_x_end_mount_side_fastener_-30_293,left_x_beam_end_mount_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_mount_v1,custom_end_mount; left X beam end mounting plate and cap/lug features
left_x_end_mount_side_fastener_30_237,left_x_beam_end_mount_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_mount_v1,custom_end_mount; left X beam end mounting plate and cap/lug features
left_x_end_mount_side_fastener_30_293,left_x_beam_end_mount_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:left_x_beam_end_mount_v1,custom_end_mount; left X beam end mounting plate and cap/lug features
right_x_beam_end_mount_vertical_plate,right_x_beam_end_mount_v1,machined_aluminum_gantry_joint_plate,joint_plate,0.58,0.59,0.6,1.0,generated:right_x_beam_end_mount_v1,custom_end_mount; right X beam end mounting plate and cap/lug features
right_x_beam_end_mount_cap_plate,right_x_beam_end_mount_v1,machined_aluminum_gantry_joint_plate,joint_plate,0.58,0.59,0.6,1.0,generated:right_x_beam_end_mount_v1,custom_end_mount; right X beam end mounting plate and cap/lug features
right_x_beam_end_mount_lower_lug,right_x_beam_end_mount_v1,dark_gray_gantry_side_bracket,joint_dark,0.18,0.18,0.19,1.0,generated:right_x_beam_end_mount_v1,custom_end_mount; right X beam end mounting plate and cap/lug features
right_x_end_mount_side_fastener_-30_237,right_x_beam_end_mount_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_mount_v1,custom_end_mount; right X beam end mounting plate and cap/lug features
right_x_end_mount_side_fastener_-30_293,right_x_beam_end_mount_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_mount_v1,custom_end_mount; right X beam end mounting plate and cap/lug features
right_x_end_mount_side_fastener_30_237,right_x_beam_end_mount_v1,dark_socket_head_joint_fasteners,joint_fastener,0.03,0.03,0.032,1.0,generated:right_x_beam_end_mount_v1,custom_end_mount; right X beam end mounting plate and cap/lug features
