component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
left_y_slider_binding_plate,left_y_slider_binding_plate_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
left_y_carriage_riser_block_0mm_shim,left_y_slider_binding_plate_v1,dark_slider_binding_spacer_or_saddle,binding_dark,0.16,0.16,0.17,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
left_y_slider_binding_top_clamp,left_y_slider_binding_plate_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
left_y_slider_binding_fastener_-34_-24,left_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
left_y_slider_binding_fastener_-34_24,left_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
left_y_slider_binding_fastener_0_-24,left_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
left_y_slider_binding_fastener_0_24,left_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
left_y_slider_binding_fastener_34_-24,left_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
left_y_slider_binding_fastener_34_24,left_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_binding_plate_v1,"slider_binding; left Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_slider_binding_plate,right_y_slider_binding_plate_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_carriage_riser_block_0mm_shim,right_y_slider_binding_plate_v1,dark_slider_binding_spacer_or_saddle,binding_dark,0.16,0.16,0.17,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_slider_binding_top_clamp,right_y_slider_binding_plate_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_slider_binding_fastener_-34_-24,right_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_slider_binding_fastener_-34_24,right_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_slider_binding_fastener_0_-24,right_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_slider_binding_fastener_0_24,right_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_slider_binding_fastener_34_-24,right_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
right_y_slider_binding_fastener_34_24,right_y_slider_binding_plate_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_binding_plate_v1,"slider_binding; right Y slider/carriage binding plate and zero-height shim, not a new rail"
left_x_beam_end_adapter_load_plate,x_beam_end_adapter_left_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_seat_block,x_beam_end_adapter_left_v1,dark_slider_binding_spacer_or_saddle,binding_dark,0.16,0.16,0.17,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_upper_cap,x_beam_end_adapter_left_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_front_gusset,x_beam_end_adapter_left_v1,brushed_binding_gusset_rib,binding_rib,0.44,0.45,0.46,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_rear_gusset,x_beam_end_adapter_left_v1,brushed_binding_gusset_rib,binding_rib,0.44,0.45,0.46,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_fastener_-32_227,x_beam_end_adapter_left_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_fastener_-32_285,x_beam_end_adapter_left_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_fastener_-32_323,x_beam_end_adapter_left_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_fastener_32_227,x_beam_end_adapter_left_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_fastener_32_285,x_beam_end_adapter_left_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
left_x_beam_end_adapter_fastener_32_323,x_beam_end_adapter_left_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_left_v1,x_beam_end_adapter; left X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_load_plate,x_beam_end_adapter_right_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_seat_block,x_beam_end_adapter_right_v1,dark_slider_binding_spacer_or_saddle,binding_dark,0.16,0.16,0.17,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_upper_cap,x_beam_end_adapter_right_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_front_gusset,x_beam_end_adapter_right_v1,brushed_binding_gusset_rib,binding_rib,0.44,0.45,0.46,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_rear_gusset,x_beam_end_adapter_right_v1,brushed_binding_gusset_rib,binding_rib,0.44,0.45,0.46,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_fastener_-32_227,x_beam_end_adapter_right_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_fastener_-32_285,x_beam_end_adapter_right_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_fastener_-32_323,x_beam_end_adapter_right_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_fastener_32_227,x_beam_end_adapter_right_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_fastener_32_285,x_beam_end_adapter_right_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
right_x_beam_end_adapter_fastener_32_323,x_beam_end_adapter_right_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_beam_end_adapter_right_v1,x_beam_end_adapter; right X beam end adapter tied to original Y slider binding
x_axis_to_x_beam_saddle_back_plate,x_axis_to_x_beam_mounting_saddle_v1,machined_carriage_binding_plate,binding_plate,0.56,0.57,0.58,1.0,generated:x_axis_to_x_beam_mounting_saddle_v1,x_axis_saddle; mounting saddle showing original X linear module fixed to X beam
x_axis_to_x_beam_saddle_lower_lip,x_axis_to_x_beam_mounting_saddle_v1,dark_slider_binding_spacer_or_saddle,binding_dark,0.16,0.16,0.17,1.0,generated:x_axis_to_x_beam_mounting_saddle_v1,x_axis_saddle; mounting saddle showing original X linear module fixed to X beam
x_axis_to_x_beam_saddle_upper_lip,x_axis_to_x_beam_mounting_saddle_v1,dark_slider_binding_spacer_or_saddle,binding_dark,0.16,0.16,0.17,1.0,generated:x_axis_to_x_beam_mounting_saddle_v1,x_axis_saddle; mounting saddle showing original X linear module fixed to X beam
x_axis_saddle_fastener_-330_upper,x_axis_to_x_beam_mounting_saddle_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_axis_to_x_beam_mounting_saddle_v1,x_axis_saddle; mounting saddle showing original X linear module fixed to X beam
x_axis_saddle_fastener_-330_lower,x_axis_to_x_beam_mounting_saddle_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_axis_to_x_beam_mounting_saddle_v1,x_axis_saddle; mounting saddle showing original X linear module fixed to X beam
x_axis_saddle_fastener_-220_upper,x_axis_to_x_beam_mounting_saddle_v1,dark_binding_fastener_marker,binding_fastener,0.03,0.03,0.032,1.0,generated:x_axis_to_x_beam_mounting_saddle_v1,x_axis_saddle; mounting saddle showing original X linear module fixed to X beam
