pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,xz_adapter_plate_simplified,no,,197.500000,5.0,ok,
base_plate_1200x900x15,scan_tube_holder,no,,3.000000,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,barcode_scanner_mount_bracket,no,,19.000000,5.0,ok,
base_plate_1200x900x15,photoelectric_sensor_mount_bracket,no,,14.000000,5.0,ok,
base_plate_1200x900x15,left_y_axis_module,no,,2.059842,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,right_y_axis_module,no,,2.059842,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,x_axis_module_on_gantry,no,,194.820176,5.0,ok,
base_plate_1200x900x15,z_axis_module,no,,151.500000,5.0,ok,
base_plate_1200x900x15,electric_parallel_gripper,no,,69.000000,5.0,ok,
base_plate_1200x900x15,input_box_1,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,input_box_2,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,input_box_3,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,input_box_4,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,barcode_scanner,no,,72.400000,5.0,ok,
base_plate_1200x900x15,photoelectric_sensor,no,,55.000000,5.0,ok,
base_plate_1200x900x15,category_A_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,category_B_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,category_C_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,category_D_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,manual_review_bin_2x3,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,input_box_1_demo_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_1_demo_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_1_demo_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_1_demo_tube_04_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_1_demo_tube_05_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_04_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_05_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_04_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_05_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_04_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_05_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,scan_station_demo_tube_yellow100,no,,24.000000,5.0,ok,
base_plate_1200x900x15,category_A_classified_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_A_classified_tube_02_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_A_classified_tube_03_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_B_classified_tube_01_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_B_classified_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_B_classified_tube_03_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_C_classified_tube_01_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_C_classified_tube_02_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_C_classified_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_D_classified_tube_01_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_D_classified_tube_02_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_D_classified_tube_03_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,enclosure_bottom_rear_rail,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_bottom_left_rail,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_bottom_right_rail,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_bottom_front_left_stub,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_bottom_front_center_stub,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_bottom_front_right_stub,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_corner_post_front_left,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_corner_post_front_right,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_corner_post_rear_left,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_corner_post_rear_right,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_top_rear_crossbeam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_top_left_crossbeam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_top_right_crossbeam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_front_upper_left_beam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_front_upper_center_beam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_front_upper_right_beam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_rear_transparent_panel,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_left_transparent_panel,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_right_transparent_panel,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_front_left_low_panel,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_front_center_low_panel,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_front_right_low_panel,yes,,,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_input_box_replace_opening_left_jamb,no,,16.000000,5.0,ok,
base_plate_1200x900x15,enclosure_input_box_replace_opening_right_jamb,no,,16.000000,5.0,ok,
base_plate_1200x900x15,enclosure_input_box_replace_opening_top_rail,no,,271.000000,5.0,ok,
base_plate_1200x900x15,enclosure_input_box_replace_opening_bottom_sill,no,,11.000000,5.0,ok,
base_plate_1200x900x15,enclosure_output_box_replace_opening_left_jamb,no,,16.000000,5.0,ok,
base_plate_1200x900x15,enclosure_output_box_replace_opening_right_jamb,no,,16.000000,5.0,ok,
base_plate_1200x900x15,enclosure_output_box_replace_opening_top_rail,no,,271.000000,5.0,ok,
base_plate_1200x900x15,enclosure_output_box_replace_opening_bottom_sill,no,,11.000000,5.0,ok,
base_plate_1200x900x15,enclosure_input_door_simple_pull_handle,no,,126.003968,5.0,ok,
base_plate_1200x900x15,enclosure_output_door_simple_pull_handle,no,,126.003968,5.0,ok,
base_plate_1200x900x15,enclosure_manual_review_access_opening_left_jamb,no,,8.000000,5.0,ok,
base_plate_1200x900x15,enclosure_manual_review_access_opening_right_jamb,no,,8.000000,5.0,ok,
base_plate_1200x900x15,enclosure_manual_review_access_opening_top_rail,no,,153.000000,5.0,ok,
base_plate_1200x900x15,enclosure_manual_review_access_opening_bottom_sill,no,,3.000000,5.0,allowed_mount_contact,whitelisted expected enclosure/body contact or internal frame/panel joint
base_plate_1200x900x15,enclosure_manual_review_access_simple_pull_handle,no,,60.133186,5.0,ok,
base_plate_1200x900x15,enclosure_top_open_front_rectangular_rail,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_top_open_rear_rectangular_rail,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_top_open_left_rectangular_rail,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_top_open_right_rectangular_rail,no,,412.000000,5.0,ok,
xz_adapter_plate_simplified,scan_tube_holder,no,,202.779616,5.0,ok,
xz_adapter_plate_simplified,barcode_scanner_mount_bracket,no,,166.228946,5.0,ok,
xz_adapter_plate_simplified,photoelectric_sensor_mount_bracket,no,,148.409274,5.0,ok,
xz_adapter_plate_simplified,left_y_axis_module,no,,440.550029,5.0,ok,
