pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,xz_adapter_plate_simplified,no,,197.500000,5.0,ok,
base_plate_1200x900x15,scan_tube_holder,no,,3.000000,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,barcode_scanner_mount_bracket,no,,19.000000,5.0,ok,
base_plate_1200x900x15,photoelectric_sensor_mount_bracket,no,,14.000000,5.0,ok,
base_plate_1200x900x15,left_y_axis_module,no,,2.059842,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,right_y_axis_module,no,,2.059842,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,x_axis_module_on_gantry,no,,194.820176,5.0,ok,
base_plate_1200x900x15,z_axis_module,no,,151.500000,5.0,ok,
base_plate_1200x900x15,electric_parallel_gripper,no,,69.000000,5.0,ok,
base_plate_1200x900x15,input_box_1,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,input_box_2,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,input_box_3,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,input_box_4,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,barcode_scanner,no,,72.400000,5.0,ok,
base_plate_1200x900x15,photoelectric_sensor,no,,55.000000,5.0,ok,
base_plate_1200x900x15,category_A_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,category_B_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,category_C_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,category_D_output_box_4x6,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,manual_review_bin_2x3,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,input_box_1_demo_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_1_demo_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_1_demo_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_1_demo_tube_04_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_1_demo_tube_05_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_04_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_2_demo_tube_05_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_04_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_3_demo_tube_05_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_04_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,input_box_4_demo_tube_05_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,scan_station_demo_tube_yellow100,no,,24.000000,5.0,ok,
base_plate_1200x900x15,category_A_classified_tube_01_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_A_classified_tube_02_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_A_classified_tube_03_purple75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_B_classified_tube_01_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_B_classified_tube_02_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_B_classified_tube_03_yellow100,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_C_classified_tube_01_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_C_classified_tube_02_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_C_classified_tube_03_blue75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_D_classified_tube_01_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_D_classified_tube_02_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,category_D_classified_tube_03_red75,no,,25.000000,5.0,ok,
base_plate_1200x900x15,enclosure_bottom_rear_rail,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_bottom_left_rail,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_bottom_right_rail,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_bottom_front_left_stub,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_bottom_front_center_stub,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_bottom_front_right_stub,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_corner_post_front_left,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_corner_post_front_right,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_corner_post_rear_left,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_corner_post_rear_right,yes,,,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
base_plate_1200x900x15,enclosure_top_rear_crossbeam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_top_left_crossbeam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_top_right_crossbeam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_front_upper_left_beam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_front_upper_center_beam,no,,412.000000,5.0,ok,
base_plate_1200x900x15,enclosure_front_upper_right_beam,no,,412.000000,5.0,ok,
