pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,control_box_housing,no,,15.033296,5.0,ok,
base_plate_1200x900x15,din_rail_and_mounting,no,,128.336472,5.0,ok,
base_plate_1200x900x15,controller_board_placeholder,no,,143.735869,5.0,ok,
base_plate_1200x900x15,motor_driver_placeholders,no,,141.468194,5.0,ok,
base_plate_1200x900x15,power_supply_placeholder,no,,122.601998,5.0,ok,
base_plate_1200x900x15,terminal_blocks,no,,126.024799,5.0,ok,
base_plate_1200x900x15,cable_glands_and_connectors,no,,121.701479,5.0,ok,
base_plate_1200x900x15,ventilation_slots,no,,75.580024,5.0,ok,
base_plate_1200x900x15,mounting_brackets,no,,4.000000,5.0,allowed_mount_contact,whitelisted expected mount/contact or internal electrical-box packaging
xz_adapter_plate_simplified,control_box_housing,no,,535.303944,5.0,ok,
xz_adapter_plate_simplified,din_rail_and_mounting,no,,648.569628,5.0,ok,
xz_adapter_plate_simplified,controller_board_placeholder,no,,640.498097,5.0,ok,
xz_adapter_plate_simplified,motor_driver_placeholders,no,,665.275178,5.0,ok,
xz_adapter_plate_simplified,power_supply_placeholder,no,,647.105140,5.0,ok,
xz_adapter_plate_simplified,terminal_blocks,no,,697.376378,5.0,ok,
xz_adapter_plate_simplified,cable_glands_and_connectors,no,,673.434527,5.0,ok,
xz_adapter_plate_simplified,ventilation_slots,no,,613.508812,5.0,ok,
xz_adapter_plate_simplified,mounting_brackets,no,,530.585585,5.0,ok,
scan_tube_holder,control_box_housing,no,,605.527671,5.0,ok,
scan_tube_holder,din_rail_and_mounting,no,,700.110998,5.0,ok,
scan_tube_holder,controller_board_placeholder,no,,693.789997,5.0,ok,
scan_tube_holder,motor_driver_placeholders,no,,728.230877,5.0,ok,
scan_tube_holder,power_supply_placeholder,no,,688.952546,5.0,ok,
scan_tube_holder,terminal_blocks,no,,753.037224,5.0,ok,
scan_tube_holder,cable_glands_and_connectors,no,,716.750591,5.0,ok,
scan_tube_holder,ventilation_slots,no,,681.763551,5.0,ok,
scan_tube_holder,mounting_brackets,no,,594.737757,5.0,ok,
barcode_scanner_mount_bracket,control_box_housing,no,,583.551197,5.0,ok,
barcode_scanner_mount_bracket,din_rail_and_mounting,no,,672.339944,5.0,ok,
barcode_scanner_mount_bracket,controller_board_placeholder,no,,663.256361,5.0,ok,
barcode_scanner_mount_bracket,motor_driver_placeholders,no,,699.869274,5.0,ok,
barcode_scanner_mount_bracket,power_supply_placeholder,no,,661.238232,5.0,ok,
barcode_scanner_mount_bracket,terminal_blocks,no,,728.270039,5.0,ok,
barcode_scanner_mount_bracket,cable_glands_and_connectors,no,,690.635215,5.0,ok,
barcode_scanner_mount_bracket,ventilation_slots,no,,657.798791,5.0,ok,
barcode_scanner_mount_bracket,mounting_brackets,no,,572.734668,5.0,ok,
photoelectric_sensor_mount_bracket,control_box_housing,no,,509.863707,5.0,ok,
photoelectric_sensor_mount_bracket,din_rail_and_mounting,no,,611.432744,5.0,ok,
photoelectric_sensor_mount_bracket,controller_board_placeholder,no,,604.479115,5.0,ok,
photoelectric_sensor_mount_bracket,motor_driver_placeholders,no,,634.823007,5.0,ok,
photoelectric_sensor_mount_bracket,power_supply_placeholder,no,,601.927737,5.0,ok,
photoelectric_sensor_mount_bracket,terminal_blocks,no,,659.493177,5.0,ok,
photoelectric_sensor_mount_bracket,cable_glands_and_connectors,no,,626.718438,5.0,ok,
photoelectric_sensor_mount_bracket,ventilation_slots,no,,586.546034,5.0,ok,
photoelectric_sensor_mount_bracket,mounting_brackets,no,,499.235415,5.0,ok,
left_y_axis_module,control_box_housing,no,,823.213216,5.0,ok,
left_y_axis_module,din_rail_and_mounting,no,,861.860836,5.0,ok,
left_y_axis_module,controller_board_placeholder,no,,848.683567,5.0,ok,
left_y_axis_module,motor_driver_placeholders,no,,897.737970,5.0,ok,
left_y_axis_module,power_supply_placeholder,no,,847.996937,5.0,ok,
left_y_axis_module,terminal_blocks,no,,932.649064,5.0,ok,
left_y_axis_module,cable_glands_and_connectors,no,,886.021320,5.0,ok,
left_y_axis_module,ventilation_slots,no,,879.118180,5.0,ok,
left_y_axis_module,mounting_brackets,no,,813.722468,5.0,ok,
right_y_axis_module,control_box_housing,no,,74.665104,5.0,ok,
right_y_axis_module,din_rail_and_mounting,no,,193.665104,5.0,ok,
right_y_axis_module,controller_board_placeholder,no,,210.918440,5.0,ok,
right_y_axis_module,motor_driver_placeholders,no,,192.665104,5.0,ok,
right_y_axis_module,power_supply_placeholder,no,,205.245166,5.0,ok,
right_y_axis_module,terminal_blocks,no,,193.665104,5.0,ok,
right_y_axis_module,cable_glands_and_connectors,no,,192.665104,5.0,ok,
right_y_axis_module,ventilation_slots,no,,134.165104,5.0,ok,
right_y_axis_module,mounting_brackets,no,,68.665104,5.0,ok,
x_axis_module_on_gantry,control_box_housing,no,,413.176100,5.0,ok,
x_axis_module_on_gantry,din_rail_and_mounting,no,,535.609945,5.0,ok,
x_axis_module_on_gantry,controller_board_placeholder,no,,534.465168,5.0,ok,
x_axis_module_on_gantry,motor_driver_placeholders,no,,533.052537,5.0,ok,
x_axis_module_on_gantry,power_supply_placeholder,no,,542.202864,5.0,ok,
x_axis_module_on_gantry,terminal_blocks,no,,551.076095,5.0,ok,
x_axis_module_on_gantry,cable_glands_and_connectors,no,,550.165351,5.0,ok,
x_axis_module_on_gantry,ventilation_slots,no,,475.046581,5.0,ok,
x_axis_module_on_gantry,mounting_brackets,no,,413.906963,5.0,ok,
z_axis_module,control_box_housing,no,,498.494594,5.0,ok,
z_axis_module,din_rail_and_mounting,no,,606.980733,5.0,ok,
z_axis_module,controller_board_placeholder,no,,599.468982,5.0,ok,
z_axis_module,motor_driver_placeholders,no,,626.665788,5.0,ok,
z_axis_module,power_supply_placeholder,no,,602.544446,5.0,ok,
z_axis_module,terminal_blocks,no,,656.451339,5.0,ok,
z_axis_module,cable_glands_and_connectors,no,,629.255600,5.0,ok,
z_axis_module,ventilation_slots,no,,576.226223,5.0,ok,
z_axis_module,mounting_brackets,no,,490.726818,5.0,ok,
electric_parallel_gripper,control_box_housing,no,,529.333817,5.0,ok,
electric_parallel_gripper,din_rail_and_mounting,no,,640.019757,5.0,ok,
electric_parallel_gripper,controller_board_placeholder,no,,634.713234,5.0,ok,
electric_parallel_gripper,motor_driver_placeholders,no,,658.874411,5.0,ok,
electric_parallel_gripper,power_supply_placeholder,no,,632.129844,5.0,ok,
electric_parallel_gripper,terminal_blocks,no,,680.207534,5.0,ok,
electric_parallel_gripper,cable_glands_and_connectors,no,,653.175734,5.0,ok,
electric_parallel_gripper,ventilation_slots,no,,606.250724,5.0,ok,
electric_parallel_gripper,mounting_brackets,no,,519.237797,5.0,ok,
input_box_1,control_box_housing,no,,604.368265,5.0,ok,
input_box_1,din_rail_and_mounting,no,,654.921560,5.0,ok,
input_box_1,controller_board_placeholder,no,,643.623337,5.0,ok,
input_box_1,motor_driver_placeholders,no,,690.536205,5.0,ok,
input_box_1,power_supply_placeholder,no,,641.386779,5.0,ok,
input_box_1,terminal_blocks,no,,723.383370,5.0,ok,
input_box_1,cable_glands_and_connectors,no,,678.067843,5.0,ok,
input_box_1,ventilation_slots,no,,664.977548,5.0,ok,
input_box_1,mounting_brackets,no,,594.471194,5.0,ok,
input_box_2,control_box_housing,no,,640.094524,5.0,ok,
input_box_2,din_rail_and_mounting,no,,710.156497,5.0,ok,
input_box_2,controller_board_placeholder,no,,700.122132,5.0,ok,
input_box_2,motor_driver_placeholders,no,,742.953733,5.0,ok,
input_box_2,power_supply_placeholder,no,,697.507706,5.0,ok,
input_box_2,terminal_blocks,no,,773.746405,5.0,ok,
input_box_2,cable_glands_and_connectors,no,,731.379518,5.0,ok,
input_box_2,ventilation_slots,no,,708.607889,5.0,ok,
input_box_2,mounting_brackets,no,,629.520452,5.0,ok,
input_box_3,control_box_housing,no,,698.556369,5.0,ok,
input_box_3,din_rail_and_mounting,no,,783.276611,5.0,ok,
input_box_3,controller_board_placeholder,no,,774.526307,5.0,ok,
input_box_3,motor_driver_placeholders,no,,812.970018,5.0,ok,
input_box_3,power_supply_placeholder,no,,771.658603,5.0,ok,
input_box_3,terminal_blocks,no,,841.358128,5.0,ok,
input_box_3,cable_glands_and_connectors,no,,802.406381,5.0,ok,
input_box_3,ventilation_slots,no,,771.916537,5.0,ok,
input_box_3,mounting_brackets,no,,687.747047,5.0,ok,
input_box_4,control_box_housing,no,,774.623134,5.0,ok,
input_box_4,din_rail_and_mounting,no,,869.782875,5.0,ok,
input_box_4,controller_board_placeholder,no,,862.212851,5.0,ok,
input_box_4,motor_driver_placeholders,no,,896.470998,5.0,ok,
input_box_4,power_supply_placeholder,no,,859.183915,5.0,ok,
input_box_4,terminal_blocks,no,,922.433466,5.0,ok,
input_box_4,cable_glands_and_connectors,no,,886.902475,5.0,ok,
input_box_4,ventilation_slots,no,,850.520511,5.0,ok,
input_box_4,mounting_brackets,no,,763.869099,5.0,ok,
barcode_scanner,control_box_housing,no,,570.995215,5.0,ok,
barcode_scanner,din_rail_and_mounting,no,,662.129469,5.0,ok,
barcode_scanner,controller_board_placeholder,no,,653.358440,5.0,ok,
barcode_scanner,motor_driver_placeholders,no,,688.972079,5.0,ok,
barcode_scanner,power_supply_placeholder,no,,651.337958,5.0,ok,
barcode_scanner,terminal_blocks,no,,717.148725,5.0,ok,
barcode_scanner,cable_glands_and_connectors,no,,680.947087,5.0,ok,
barcode_scanner,ventilation_slots,no,,645.803867,5.0,ok,
barcode_scanner,mounting_brackets,no,,560.185224,5.0,ok,
photoelectric_sensor,control_box_housing,no,,463.827996,5.0,ok,
photoelectric_sensor,din_rail_and_mounting,no,,571.425594,5.0,ok,
