pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,y_axis_base_mounting_blocks,yes,,,5.0,allowed_mount_contact,expected mechanical mount/contact for support or drive completion module
base_plate_1200x900x15,y_carriage_adapter_plates,no,,162.500000,5.0,ok,
base_plate_1200x900x15,gantry_cross_beam_support_plates,no,,207.000000,5.0,ok,
base_plate_1200x900x15,x_axis_mounting_saddle,no,,221.000000,5.0,ok,
base_plate_1200x900x15,xz_adapter_plate_engineered,no,,165.000000,5.0,ok,
base_plate_1200x900x15,z_gripper_adapter,no,,112.000000,5.0,ok,
base_plate_1200x900x15,motor_placeholders,no,,34.500000,5.0,ok,
base_plate_1200x900x15,drive_transmission_placeholders,no,,64.000000,5.0,ok,
base_plate_1200x900x15,cable_chain_mounting_tabs,no,,171.000000,5.0,ok,
xz_adapter_plate_simplified,y_axis_base_mounting_blocks,no,,177.500000,5.0,ok,
xz_adapter_plate_simplified,y_carriage_adapter_plates,yes,,,5.0,allowed_mount_contact,expected mechanical mount/contact for support or drive completion module
xz_adapter_plate_simplified,gantry_cross_beam_support_plates,yes,,,5.0,allowed_mount_contact,expected mechanical mount/contact for support or drive completion module
xz_adapter_plate_simplified,x_axis_mounting_saddle,yes,,,5.0,allowed_mount_contact,expected mechanical mount/contact for support or drive completion module
xz_adapter_plate_simplified,xz_adapter_plate_engineered,yes,,,5.0,allowed_mount_contact,expected mechanical mount/contact for support or drive completion module
xz_adapter_plate_simplified,z_gripper_adapter,no,,29.500000,5.0,ok,
xz_adapter_plate_simplified,motor_placeholders,no,,4.750000,5.0,allowed_mount_contact,expected mechanical mount/contact for support or drive completion module
xz_adapter_plate_simplified,drive_transmission_placeholders,no,,0.250000,5.0,allowed_mount_contact,expected mechanical mount/contact for support or drive completion module
xz_adapter_plate_simplified,cable_chain_mounting_tabs,no,,31.250000,5.0,ok,
scan_tube_holder,y_axis_base_mounting_blocks,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=40
scan_tube_holder,y_carriage_adapter_plates,no,,149.900000,5.0,ok,
scan_tube_holder,gantry_cross_beam_support_plates,no,,194.400000,5.0,ok,
scan_tube_holder,x_axis_mounting_saddle,no,,208.400000,5.0,ok,
scan_tube_holder,xz_adapter_plate_engineered,no,,165.510604,5.0,ok,
scan_tube_holder,z_gripper_adapter,no,,133.455461,5.0,ok,
scan_tube_holder,motor_placeholders,no,,21.900000,5.0,ok,
scan_tube_holder,drive_transmission_placeholders,no,,51.400000,5.0,ok,
scan_tube_holder,cable_chain_mounting_tabs,no,,225.145642,5.0,ok,
barcode_scanner_mount_bracket,y_axis_base_mounting_blocks,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=60
barcode_scanner_mount_bracket,y_carriage_adapter_plates,no,,99.904955,5.0,ok,
barcode_scanner_mount_bracket,gantry_cross_beam_support_plates,no,,129.927865,5.0,ok,
barcode_scanner_mount_bracket,x_axis_mounting_saddle,no,,145.956329,5.0,ok,
barcode_scanner_mount_bracket,xz_adapter_plate_engineered,no,,135.411410,5.0,ok,
barcode_scanner_mount_bracket,z_gripper_adapter,no,,131.073453,5.0,ok,
barcode_scanner_mount_bracket,motor_placeholders,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=84
barcode_scanner_mount_bracket,drive_transmission_placeholders,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=21
barcode_scanner_mount_bracket,cable_chain_mounting_tabs,no,,186.711676,5.0,ok,
photoelectric_sensor_mount_bracket,y_axis_base_mounting_blocks,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=60
photoelectric_sensor_mount_bracket,y_carriage_adapter_plates,no,,107.695172,5.0,ok,
photoelectric_sensor_mount_bracket,gantry_cross_beam_support_plates,no,,147.502542,5.0,ok,
photoelectric_sensor_mount_bracket,x_axis_mounting_saddle,no,,162.606888,5.0,ok,
photoelectric_sensor_mount_bracket,xz_adapter_plate_engineered,no,,118.595953,5.0,ok,
photoelectric_sensor_mount_bracket,z_gripper_adapter,no,,77.233412,5.0,ok,
photoelectric_sensor_mount_bracket,motor_placeholders,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=84
photoelectric_sensor_mount_bracket,drive_transmission_placeholders,no,,114.108430,5.0,ok,shape_distance
