pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,rear_fixed_cable_tray,no,,315.317301,5.0,ok,
base_plate_1200x900x15,control_box_cable_gland_stubs,no,,152.192313,5.0,ok,
base_plate_1200x900x15,main_cable_chain_links,no,,318.000000,5.0,ok,
base_plate_1200x900x15,cable_chain_fixed_anchor,no,,215.000000,5.0,ok,
base_plate_1200x900x15,cable_chain_moving_anchor,no,,252.000000,5.0,ok,
base_plate_1200x900x15,moving_cable_bundle,no,,207.500000,5.0,ok,
base_plate_1200x900x15,scanner_cable_stub,no,,110.000000,5.0,ok,
base_plate_1200x900x15,photoelectric_cable_stub,no,,88.000000,5.0,ok,
base_plate_1200x900x15,motor_cable_stubs,no,,23.000000,5.0,ok,
base_plate_1200x900x15,fixed_sensor_cable_stubs,no,,76.000000,5.0,ok,
base_plate_1200x900x15,cable_clamps,no,,273.000000,5.0,ok,
base_plate_1200x900x15,cable_chain_mounting_tabs_usage,no,,195.000000,5.0,ok,
xz_adapter_plate_simplified,rear_fixed_cable_tray,no,,479.250000,5.0,ok,
xz_adapter_plate_simplified,control_box_cable_gland_stubs,no,,597.317807,5.0,ok,
xz_adapter_plate_simplified,main_cable_chain_links,no,,353.250000,5.0,ok,
xz_adapter_plate_simplified,cable_chain_fixed_anchor,no,,430.319721,5.0,ok,
xz_adapter_plate_simplified,cable_chain_moving_anchor,no,,362.250000,5.0,ok,
xz_adapter_plate_simplified,moving_cable_bundle,no,,29.750000,5.0,ok,
xz_adapter_plate_simplified,scanner_cable_stub,no,,130.485871,5.0,ok,
xz_adapter_plate_simplified,photoelectric_cable_stub,no,,88.890733,5.0,ok,
xz_adapter_plate_simplified,motor_cable_stubs,no,,39.750000,5.0,ok,
xz_adapter_plate_simplified,fixed_sensor_cable_stubs,no,,375.338264,5.0,ok,
xz_adapter_plate_simplified,cable_clamps,no,,66.250000,5.0,ok,
xz_adapter_plate_simplified,cable_chain_mounting_tabs_usage,no,,29.250000,5.0,ok,
scan_tube_holder,rear_fixed_cable_tray,no,,518.477155,5.0,ok,
scan_tube_holder,control_box_cable_gland_stubs,no,,658.843730,5.0,ok,
scan_tube_holder,main_cable_chain_links,no,,434.532504,5.0,ok,
scan_tube_holder,cable_chain_fixed_anchor,no,,546.406223,5.0,ok,
scan_tube_holder,cable_chain_moving_anchor,no,,393.905268,5.0,ok,
scan_tube_holder,moving_cable_bundle,no,,212.231030,5.0,ok,
scan_tube_holder,scanner_cable_stub,no,,106.069600,5.0,ok,
scan_tube_holder,photoelectric_cable_stub,no,,101.534034,5.0,ok,
scan_tube_holder,motor_cable_stubs,no,,10.400000,5.0,ok,
scan_tube_holder,fixed_sensor_cable_stubs,no,,318.376444,5.0,ok,
scan_tube_holder,cable_clamps,no,,260.632231,5.0,ok,
scan_tube_holder,cable_chain_mounting_tabs_usage,no,,243.954422,5.0,ok,
barcode_scanner_mount_bracket,rear_fixed_cable_tray,no,,438.270750,5.0,ok,
barcode_scanner_mount_bracket,control_box_cable_gland_stubs,no,,623.267398,5.0,ok,
barcode_scanner_mount_bracket,main_cable_chain_links,no,,352.243392,5.0,ok,
barcode_scanner_mount_bracket,cable_chain_fixed_anchor,no,,504.143085,5.0,ok,
barcode_scanner_mount_bracket,cable_chain_moving_anchor,no,,314.879739,5.0,ok,
barcode_scanner_mount_bracket,moving_cable_bundle,no,,150.602125,5.0,ok,
barcode_scanner_mount_bracket,scanner_cable_stub,no,,22.500000,5.0,ok,
barcode_scanner_mount_bracket,photoelectric_cable_stub,no,,67.001866,5.0,ok,
barcode_scanner_mount_bracket,motor_cable_stubs,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=45
barcode_scanner_mount_bracket,fixed_sensor_cable_stubs,no,,265.000000,5.0,ok,
barcode_scanner_mount_bracket,cable_clamps,no,,185.500000,5.0,ok,
barcode_scanner_mount_bracket,cable_chain_mounting_tabs_usage,no,,200.292911,5.0,ok,
photoelectric_sensor_mount_bracket,rear_fixed_cable_tray,no,,477.649453,5.0,ok,
photoelectric_sensor_mount_bracket,control_box_cable_gland_stubs,no,,567.323982,5.0,ok,
photoelectric_sensor_mount_bracket,main_cable_chain_links,no,,380.801786,5.0,ok,
photoelectric_sensor_mount_bracket,cable_chain_fixed_anchor,no,,437.722515,5.0,ok,
photoelectric_sensor_mount_bracket,cable_chain_moving_anchor,no,,347.247750,5.0,ok,
photoelectric_sensor_mount_bracket,moving_cable_bundle,no,,146.500000,5.0,ok,
photoelectric_sensor_mount_bracket,scanner_cable_stub,no,,64.148266,5.0,ok,
photoelectric_sensor_mount_bracket,photoelectric_cable_stub,no,,30.886890,5.0,ok,
photoelectric_sensor_mount_bracket,motor_cable_stubs,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=45
photoelectric_sensor_mount_bracket,fixed_sensor_cable_stubs,no,,295.381110,5.0,ok,
photoelectric_sensor_mount_bracket,cable_clamps,no,,212.000000,5.0,ok,
photoelectric_sensor_mount_bracket,cable_chain_mounting_tabs_usage,no,,143.024473,5.0,ok,
left_y_axis_module,rear_fixed_cable_tray,no,,266.548737,5.0,ok,
left_y_axis_module,control_box_cable_gland_stubs,no,,813.669316,5.0,ok,
left_y_axis_module,main_cable_chain_links,no,,488.410344,5.0,ok,
left_y_axis_module,cable_chain_fixed_anchor,no,,768.270805,5.0,ok,
left_y_axis_module,cable_chain_moving_anchor,no,,439.178543,5.0,ok,
left_y_axis_module,moving_cable_bundle,no,,446.252517,5.0,ok,
left_y_axis_module,scanner_cable_stub,no,,334.427913,5.0,ok,
left_y_axis_module,photoelectric_cable_stub,no,,402.963673,5.0,ok,
left_y_axis_module,motor_cable_stubs,yes,,,5.0,allowed_mount_contact,expected cable route anchor/contact or local stub connection
left_y_axis_module,fixed_sensor_cable_stubs,no,,13.665104,5.0,ok,
left_y_axis_module,cable_clamps,no,,378.389676,5.0,ok,
left_y_axis_module,cable_chain_mounting_tabs_usage,no,,518.371664,5.0,ok,
