pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,rear_fixed_cable_tray,no,,315.317301,5.0,ok,
base_plate_1200x900x15,control_box_cable_gland_stubs,no,,154.090680,5.0,ok,
base_plate_1200x900x15,main_cable_chain_links,no,,318.000000,5.0,ok,
base_plate_1200x900x15,cable_chain_fixed_anchor,no,,215.000000,5.0,ok,
base_plate_1200x900x15,cable_chain_moving_anchor,no,,256.000000,5.0,ok,
base_plate_1200x900x15,moving_cable_bundle,no,,214.000000,5.0,ok,
base_plate_1200x900x15,scanner_cable_stub,no,,112.200000,5.0,ok,
base_plate_1200x900x15,photoelectric_cable_stub,no,,90.200000,5.0,ok,
base_plate_1200x900x15,motor_cable_stubs,no,,22.930000,5.0,ok,
base_plate_1200x900x15,fixed_sensor_cable_stubs,no,,78.160000,5.0,ok,
base_plate_1200x900x15,cable_clamps,no,,273.000000,5.0,ok,
base_plate_1200x900x15,cable_chain_mounting_tabs_usage,no,,195.000000,5.0,ok,
xz_adapter_plate_simplified,rear_fixed_cable_tray,no,,479.250000,5.0,ok,
xz_adapter_plate_simplified,control_box_cable_gland_stubs,no,,603.055986,5.0,ok,
xz_adapter_plate_simplified,main_cable_chain_links,no,,193.892392,5.0,ok,
xz_adapter_plate_simplified,cable_chain_fixed_anchor,no,,430.319721,5.0,ok,
xz_adapter_plate_simplified,cable_chain_moving_anchor,no,,188.196872,5.0,ok,
xz_adapter_plate_simplified,moving_cable_bundle,no,,32.250000,5.0,ok,
xz_adapter_plate_simplified,scanner_cable_stub,no,,140.325345,5.0,ok,
xz_adapter_plate_simplified,photoelectric_cable_stub,no,,93.016141,5.0,ok,
xz_adapter_plate_simplified,motor_cable_stubs,no,,46.550000,5.0,ok,
xz_adapter_plate_simplified,fixed_sensor_cable_stubs,no,,391.613831,5.0,ok,
xz_adapter_plate_simplified,cable_clamps,no,,66.250000,5.0,ok,
xz_adapter_plate_simplified,cable_chain_mounting_tabs_usage,no,,29.250000,5.0,ok,
scan_tube_holder,rear_fixed_cable_tray,no,,518.477155,5.0,ok,
scan_tube_holder,control_box_cable_gland_stubs,no,,665.955141,5.0,ok,
scan_tube_holder,main_cable_chain_links,no,,385.243367,5.0,ok,
