pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,z_gripper_adapter_plate_v1,no,,107.000000,5.0,ok,
base_plate_1200x900x15,electric_parallel_gripper_body_v1,no,,83.000000,5.0,ok,
base_plate_1200x900x15,two_finger_gripper_jaws_v1,no,,40.000000,5.0,ok,
base_plate_1200x900x15,soft_tube_contact_pads_v1,no,,47.000000,5.0,ok,
base_plate_1200x900x15,gripper_cable_strain_relief_v1,no,,127.000000,5.0,ok,
base_plate_1200x900x15,tcp_centerline_reference_v1,no,,15.000000,5.0,ok,
xz_adapter_plate_simplified,z_gripper_adapter_plate_v1,no,,12.500000,5.0,ok,
xz_adapter_plate_simplified,electric_parallel_gripper_body_v1,no,,67.500000,5.0,ok,
xz_adapter_plate_simplified,two_finger_gripper_jaws_v1,no,,103.500000,5.0,ok,
xz_adapter_plate_simplified,soft_tube_contact_pads_v1,no,,118.500000,5.0,ok,
xz_adapter_plate_simplified,gripper_cable_strain_relief_v1,no,,36.520646,5.0,ok,
xz_adapter_plate_simplified,tcp_centerline_reference_v1,no,,90.500000,5.0,ok,
scan_tube_holder,z_gripper_adapter_plate_v1,no,,127.280635,5.0,ok,
scan_tube_holder,electric_parallel_gripper_body_v1,no,,117.444285,5.0,ok,
scan_tube_holder,two_finger_gripper_jaws_v1,no,,101.630507,5.0,ok,
scan_tube_holder,soft_tube_contact_pads_v1,no,,116.510010,5.0,ok,
scan_tube_holder,gripper_cable_strain_relief_v1,no,,173.168588,5.0,ok,
scan_tube_holder,tcp_centerline_reference_v1,no,,123.063561,5.0,ok,
barcode_scanner_mount_bracket,z_gripper_adapter_plate_v1,no,,121.545259,5.0,ok,
barcode_scanner_mount_bracket,electric_parallel_gripper_body_v1,no,,122.886126,5.0,ok,
barcode_scanner_mount_bracket,two_finger_gripper_jaws_v1,no,,132.438665,5.0,ok,
barcode_scanner_mount_bracket,soft_tube_contact_pads_v1,no,,143.921237,5.0,ok,
barcode_scanner_mount_bracket,gripper_cable_strain_relief_v1,no,,157.965977,5.0,ok,
barcode_scanner_mount_bracket,tcp_centerline_reference_v1,no,,156.752289,5.0,ok,
photoelectric_sensor_mount_bracket,z_gripper_adapter_plate_v1,no,,65.764732,5.0,ok,
photoelectric_sensor_mount_bracket,electric_parallel_gripper_body_v1,no,,45.650849,5.0,ok,
photoelectric_sensor_mount_bracket,two_finger_gripper_jaws_v1,no,,52.000000,5.0,ok,
photoelectric_sensor_mount_bracket,soft_tube_contact_pads_v1,no,,53.250000,5.0,ok,
photoelectric_sensor_mount_bracket,gripper_cable_strain_relief_v1,no,,78.255990,5.0,ok,
photoelectric_sensor_mount_bracket,tcp_centerline_reference_v1,no,,60.898933,5.0,ok,
left_y_axis_module,z_gripper_adapter_plate_v1,no,,428.853524,5.0,ok,
left_y_axis_module,electric_parallel_gripper_body_v1,no,,436.858059,5.0,ok,
left_y_axis_module,two_finger_gripper_jaws_v1,no,,439.820176,5.0,ok,
left_y_axis_module,soft_tube_contact_pads_v1,no,,453.220176,5.0,ok,
left_y_axis_module,gripper_cable_strain_relief_v1,no,,475.430627,5.0,ok,
left_y_axis_module,tcp_centerline_reference_v1,no,,464.020176,5.0,ok,
right_y_axis_module,z_gripper_adapter_plate_v1,no,,457.719261,5.0,ok,
right_y_axis_module,electric_parallel_gripper_body_v1,no,,465.786753,5.0,ok,
right_y_axis_module,two_finger_gripper_jaws_v1,no,,468.751224,5.0,ok,
right_y_axis_module,soft_tube_contact_pads_v1,no,,482.151224,5.0,ok,
right_y_axis_module,gripper_cable_strain_relief_v1,no,,458.616254,5.0,ok,
right_y_axis_module,tcp_centerline_reference_v1,no,,492.951224,5.0,ok,
x_axis_module_on_gantry,z_gripper_adapter_plate_v1,no,,9.820176,5.0,ok,
x_axis_module_on_gantry,electric_parallel_gripper_body_v1,no,,64.820176,5.0,ok,
x_axis_module_on_gantry,two_finger_gripper_jaws_v1,no,,100.820176,5.0,ok,
x_axis_module_on_gantry,soft_tube_contact_pads_v1,no,,115.820176,5.0,ok,
x_axis_module_on_gantry,gripper_cable_strain_relief_v1,no,,32.896784,5.0,ok,
x_axis_module_on_gantry,tcp_centerline_reference_v1,no,,87.820176,5.0,ok,
z_axis_module,z_gripper_adapter_plate_v1,yes,,,5.0,allowed_mount_contact,"expected gripper mount/contact, soft-pad/jaw relation, or local hose strain relief"
z_axis_module,electric_parallel_gripper_body_v1,no,,21.500000,5.0,ok,
z_axis_module,two_finger_gripper_jaws_v1,no,,57.500000,5.0,ok,
z_axis_module,soft_tube_contact_pads_v1,no,,72.500000,5.0,ok,
z_axis_module,gripper_cable_strain_relief_v1,yes,,,5.0,allowed_mount_contact,"expected gripper mount/contact, soft-pad/jaw relation, or local hose strain relief"
z_axis_module,tcp_centerline_reference_v1,no,,44.500000,5.0,ok,
input_box_1,z_gripper_adapter_plate_v1,no,,287.384760,5.0,ok,
input_box_1,electric_parallel_gripper_body_v1,no,,284.457378,5.0,ok,
input_box_1,two_finger_gripper_jaws_v1,no,,290.946731,5.0,ok,
input_box_1,soft_tube_contact_pads_v1,no,,301.950530,5.0,ok,
input_box_1,gripper_cable_strain_relief_v1,no,,320.512090,5.0,ok,
input_box_1,tcp_centerline_reference_v1,no,,314.506407,5.0,ok,
input_box_2,z_gripper_adapter_plate_v1,no,,223.226343,5.0,ok,
input_box_2,electric_parallel_gripper_body_v1,no,,223.553126,5.0,ok,
input_box_2,two_finger_gripper_jaws_v1,no,,224.922209,5.0,ok,
input_box_2,soft_tube_contact_pads_v1,no,,238.304684,5.0,ok,
input_box_2,gripper_cable_strain_relief_v1,no,,268.901469,5.0,ok,
input_box_2,tcp_centerline_reference_v1,no,,250.444165,5.0,ok,
input_box_3,z_gripper_adapter_plate_v1,no,,214.730063,5.0,ok,
input_box_3,electric_parallel_gripper_body_v1,no,,216.933169,5.0,ok,
input_box_3,two_finger_gripper_jaws_v1,no,,215.020929,5.0,ok,
input_box_3,soft_tube_contact_pads_v1,no,,228.618809,5.0,ok,
input_box_3,gripper_cable_strain_relief_v1,no,,263.825700,5.0,ok,
input_box_3,tcp_centerline_reference_v1,no,,239.200000,5.0,ok,
input_box_4,z_gripper_adapter_plate_v1,no,,220.703421,5.0,ok,
input_box_4,electric_parallel_gripper_body_v1,no,,220.375679,5.0,ok,
input_box_4,two_finger_gripper_jaws_v1,no,,222.193609,5.0,ok,
input_box_4,soft_tube_contact_pads_v1,no,,235.437088,5.0,ok,
input_box_4,gripper_cable_strain_relief_v1,no,,274.554184,5.0,ok,
input_box_4,tcp_centerline_reference_v1,no,,247.665662,5.0,ok,
barcode_scanner,z_gripper_adapter_plate_v1,no,,93.505347,5.0,ok,
barcode_scanner,electric_parallel_gripper_body_v1,no,,96.576653,5.0,ok,
barcode_scanner,two_finger_gripper_jaws_v1,no,,105.992688,5.0,ok,
barcode_scanner,soft_tube_contact_pads_v1,no,,117.574072,5.0,ok,
barcode_scanner,gripper_cable_strain_relief_v1,no,,128.148829,5.0,ok,
barcode_scanner,tcp_centerline_reference_v1,no,,130.413228,5.0,ok,
photoelectric_sensor,z_gripper_adapter_plate_v1,no,,40.853396,5.0,ok,
photoelectric_sensor,electric_parallel_gripper_body_v1,no,,16.124515,5.0,ok,
photoelectric_sensor,two_finger_gripper_jaws_v1,no,,20.000000,5.0,ok,
photoelectric_sensor,soft_tube_contact_pads_v1,no,,21.250000,5.0,ok,
photoelectric_sensor,gripper_cable_strain_relief_v1,no,,58.309519,5.0,ok,
photoelectric_sensor,tcp_centerline_reference_v1,no,,28.200000,5.0,ok,
category_A_output_box_4x6,z_gripper_adapter_plate_v1,no,,108.466585,5.0,ok,
category_A_output_box_4x6,electric_parallel_gripper_body_v1,no,,92.956979,5.0,ok,
category_A_output_box_4x6,two_finger_gripper_jaws_v1,no,,92.709223,5.0,ok,
category_A_output_box_4x6,soft_tube_contact_pads_v1,no,,101.368745,5.0,ok,
category_A_output_box_4x6,gripper_cable_strain_relief_v1,no,,116.718281,5.0,ok,
category_A_output_box_4x6,tcp_centerline_reference_v1,no,,112.894995,5.0,ok,
category_B_output_box_4x6,z_gripper_adapter_plate_v1,no,,264.054919,5.0,ok,
category_B_output_box_4x6,electric_parallel_gripper_body_v1,no,,265.294176,5.0,ok,
category_B_output_box_4x6,two_finger_gripper_jaws_v1,no,,267.572420,5.0,ok,
category_B_output_box_4x6,soft_tube_contact_pads_v1,no,,280.897886,5.0,ok,
category_B_output_box_4x6,gripper_cable_strain_relief_v1,no,,266.888833,5.0,ok,
category_B_output_box_4x6,tcp_centerline_reference_v1,no,,293.102849,5.0,ok,
category_C_output_box_4x6,z_gripper_adapter_plate_v1,no,,77.388630,5.0,ok,
category_C_output_box_4x6,electric_parallel_gripper_body_v1,no,,62.289646,5.0,ok,
category_C_output_box_4x6,two_finger_gripper_jaws_v1,no,,45.099889,5.0,ok,
category_C_output_box_4x6,soft_tube_contact_pads_v1,no,,59.249979,5.0,ok,
category_C_output_box_4x6,gripper_cable_strain_relief_v1,no,,96.203727,5.0,ok,
category_C_output_box_4x6,tcp_centerline_reference_v1,no,,69.200000,5.0,ok,
category_D_output_box_4x6,z_gripper_adapter_plate_v1,no,,252.881395,5.0,ok,
category_D_output_box_4x6,electric_parallel_gripper_body_v1,no,,256.164010,5.0,ok,
category_D_output_box_4x6,two_finger_gripper_jaws_v1,no,,255.017646,5.0,ok,
category_D_output_box_4x6,soft_tube_contact_pads_v1,no,,268.586225,5.0,ok,
category_D_output_box_4x6,gripper_cable_strain_relief_v1,no,,258.576196,5.0,ok,
category_D_output_box_4x6,tcp_centerline_reference_v1,no,,279.200000,5.0,ok,
manual_review_bin_2x3,z_gripper_adapter_plate_v1,no,,292.645263,5.0,ok,
manual_review_bin_2x3,electric_parallel_gripper_body_v1,no,,279.659954,5.0,ok,
manual_review_bin_2x3,two_finger_gripper_jaws_v1,no,,292.978242,5.0,ok,
manual_review_bin_2x3,soft_tube_contact_pads_v1,no,,298.425238,5.0,ok,
manual_review_bin_2x3,gripper_cable_strain_relief_v1,no,,336.580228,5.0,ok,
manual_review_bin_2x3,tcp_centerline_reference_v1,no,,309.915359,5.0,ok,
input_box_1_demo_tube_01_purple75,z_gripper_adapter_plate_v1,no,,455.300999,5.0,ok,
input_box_1_demo_tube_01_purple75,electric_parallel_gripper_body_v1,no,,458.017467,5.0,ok,
input_box_1_demo_tube_01_purple75,two_finger_gripper_jaws_v1,no,,467.748864,5.0,ok,
input_box_1_demo_tube_01_purple75,soft_tube_contact_pads_v1,no,,479.093647,5.0,ok,
input_box_1_demo_tube_01_purple75,gripper_cable_strain_relief_v1,no,,486.728877,5.0,ok,
input_box_1_demo_tube_01_purple75,tcp_centerline_reference_v1,no,,491.894989,5.0,ok,
input_box_1_demo_tube_02_yellow100,z_gripper_adapter_plate_v1,no,,393.275985,5.0,ok,
input_box_1_demo_tube_02_yellow100,electric_parallel_gripper_body_v1,no,,394.568118,5.0,ok,
