pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,left_y_carriage_adapter_plate_v1,no,,87.000000,5.0,ok,
base_plate_1200x900x15,right_y_carriage_adapter_plate_v1,no,,87.000000,5.0,ok,
base_plate_1200x900x15,left_x_beam_end_mount_v1,no,,203.000000,5.0,ok,
base_plate_1200x900x15,right_x_beam_end_mount_v1,no,,203.000000,5.0,ok,
base_plate_1200x900x15,left_gantry_side_bracket_v1,no,,87.000000,5.0,ok,
base_plate_1200x900x15,right_gantry_side_bracket_v1,no,,87.000000,5.0,ok,
base_plate_1200x900x15,gantry_joint_mounting_fastener_patterns_v1,no,,102.000000,5.0,ok,
xz_adapter_plate_simplified,left_y_carriage_adapter_plate_v1,no,,419.556301,5.0,ok,
xz_adapter_plate_simplified,right_y_carriage_adapter_plate_v1,no,,385.334257,5.0,ok,
xz_adapter_plate_simplified,left_x_beam_end_mount_v1,no,,344.000000,5.0,ok,
xz_adapter_plate_simplified,right_x_beam_end_mount_v1,no,,344.000000,5.0,ok,
xz_adapter_plate_simplified,left_gantry_side_bracket_v1,no,,334.000000,5.0,ok,
xz_adapter_plate_simplified,right_gantry_side_bracket_v1,no,,334.000000,5.0,ok,
xz_adapter_plate_simplified,gantry_joint_mounting_fastener_patterns_v1,no,,384.823469,5.0,ok,shape_distance
scan_tube_holder,left_y_carriage_adapter_plate_v1,no,,303.267802,5.0,ok,
scan_tube_holder,right_y_carriage_adapter_plate_v1,no,,544.110614,5.0,ok,
scan_tube_holder,left_x_beam_end_mount_v1,no,,296.278855,5.0,ok,
scan_tube_holder,right_x_beam_end_mount_v1,no,,541.572858,5.0,ok,
scan_tube_holder,left_gantry_side_bracket_v1,no,,229.400000,5.0,ok,
scan_tube_holder,right_gantry_side_bracket_v1,no,,502.537919,5.0,ok,
scan_tube_holder,gantry_joint_mounting_fastener_patterns_v1,no,,93.985956,5.0,ok,
barcode_scanner_mount_bracket,left_y_carriage_adapter_plate_v1,no,,273.826587,5.0,ok,
barcode_scanner_mount_bracket,right_y_carriage_adapter_plate_v1,no,,549.855436,5.0,ok,
barcode_scanner_mount_bracket,left_x_beam_end_mount_v1,no,,236.114908,5.0,ok,
barcode_scanner_mount_bracket,right_x_beam_end_mount_v1,no,,529.476392,5.0,ok,
barcode_scanner_mount_bracket,left_gantry_side_bracket_v1,no,,195.501918,5.0,ok,
barcode_scanner_mount_bracket,right_gantry_side_bracket_v1,no,,506.474086,5.0,ok,
barcode_scanner_mount_bracket,gantry_joint_mounting_fastener_patterns_v1,no,,99.066897,5.0,ok,
photoelectric_sensor_mount_bracket,left_y_carriage_adapter_plate_v1,no,,359.652610,5.0,ok,
photoelectric_sensor_mount_bracket,right_y_carriage_adapter_plate_v1,no,,429.220223,5.0,ok,
photoelectric_sensor_mount_bracket,left_x_beam_end_mount_v1,no,,323.717469,5.0,ok,
photoelectric_sensor_mount_bracket,right_x_beam_end_mount_v1,no,,420.378401,5.0,ok,
photoelectric_sensor_mount_bracket,left_gantry_side_bracket_v1,no,,281.914881,5.0,ok,
photoelectric_sensor_mount_bracket,right_gantry_side_bracket_v1,no,,386.394876,5.0,ok,
photoelectric_sensor_mount_bracket,gantry_joint_mounting_fastener_patterns_v1,no,,79.404030,5.0,ok,
left_y_axis_module,left_y_carriage_adapter_plate_v1,no,,9.753010,5.0,ok,
left_y_axis_module,right_y_carriage_adapter_plate_v1,no,,881.874109,5.0,ok,
left_y_axis_module,left_x_beam_end_mount_v1,no,,127.632047,5.0,ok,
left_y_axis_module,right_x_beam_end_mount_v1,no,,859.074008,5.0,ok,
left_y_axis_module,left_gantry_side_bracket_v1,no,,9.753010,5.0,ok,
left_y_axis_module,right_gantry_side_bracket_v1,no,,839.876806,5.0,ok,
left_y_axis_module,gantry_joint_mounting_fastener_patterns_v1,no,,44.201231,5.0,ok,
right_y_axis_module,left_y_carriage_adapter_plate_v1,no,,945.801511,5.0,ok,
right_y_axis_module,right_y_carriage_adapter_plate_v1,no,,9.753010,5.0,ok,
right_y_axis_module,left_x_beam_end_mount_v1,no,,887.703516,5.0,ok,
right_y_axis_module,right_x_beam_end_mount_v1,no,,135.607913,5.0,ok,
right_y_axis_module,left_gantry_side_bracket_v1,no,,868.805968,5.0,ok,
right_y_axis_module,right_gantry_side_bracket_v1,no,,9.753010,5.0,ok,
right_y_axis_module,gantry_joint_mounting_fastener_patterns_v1,no,,70.069069,5.0,ok,
x_axis_module_on_gantry,left_y_carriage_adapter_plate_v1,no,,113.129170,5.0,ok,
x_axis_module_on_gantry,right_y_carriage_adapter_plate_v1,no,,91.189384,5.0,ok,
x_axis_module_on_gantry,left_x_beam_end_mount_v1,no,,11.334896,5.0,ok,
x_axis_module_on_gantry,right_x_beam_end_mount_v1,no,,8.665104,5.0,ok,
x_axis_module_on_gantry,left_gantry_side_bracket_v1,no,,1.334896,5.0,allowed_mount_contact,expected gantry joint mount/contact or reinforcement plate contact
x_axis_module_on_gantry,right_gantry_side_bracket_v1,yes,,,5.0,allowed_mount_contact,expected gantry joint mount/contact or reinforcement plate contact
x_axis_module_on_gantry,gantry_joint_mounting_fastener_patterns_v1,yes,,,5.0,allowed_mount_contact,expected gantry joint mount/contact or reinforcement plate contact
z_axis_module,left_y_carriage_adapter_plate_v1,no,,421.842269,5.0,ok,
z_axis_module,right_y_carriage_adapter_plate_v1,no,,386.999871,5.0,ok,
z_axis_module,left_x_beam_end_mount_v1,no,,353.100000,5.0,ok,
z_axis_module,right_x_beam_end_mount_v1,no,,353.100000,5.0,ok,
z_axis_module,left_gantry_side_bracket_v1,no,,343.100000,5.0,ok,
z_axis_module,right_gantry_side_bracket_v1,no,,343.100000,5.0,ok,
z_axis_module,gantry_joint_mounting_fastener_patterns_v1,no,,7.000000,5.0,ok,
input_box_1,left_y_carriage_adapter_plate_v1,no,,188.586850,5.0,ok,
input_box_1,right_y_carriage_adapter_plate_v1,no,,682.781078,5.0,ok,
input_box_1,left_x_beam_end_mount_v1,no,,235.467620,5.0,ok,
input_box_1,right_x_beam_end_mount_v1,no,,667.884721,5.0,ok,
input_box_1,left_gantry_side_bracket_v1,no,,171.452617,5.0,ok,
input_box_1,right_gantry_side_bracket_v1,no,,638.452034,5.0,ok,
input_box_1,gantry_joint_mounting_fastener_patterns_v1,no,,221.740840,5.0,ok,
input_box_2,left_y_carriage_adapter_plate_v1,no,,76.974022,5.0,ok,
input_box_2,right_y_carriage_adapter_plate_v1,no,,660.719305,5.0,ok,
input_box_2,left_x_beam_end_mount_v1,no,,170.073514,5.0,ok,
input_box_2,right_x_beam_end_mount_v1,no,,647.726794,5.0,ok,
input_box_2,left_gantry_side_bracket_v1,no,,60.464866,5.0,ok,
input_box_2,right_gantry_side_bracket_v1,no,,617.965209,5.0,ok,
input_box_2,gantry_joint_mounting_fastener_patterns_v1,no,,104.637469,5.0,ok,
input_box_3,left_y_carriage_adapter_plate_v1,no,,59.363288,5.0,ok,
input_box_3,right_y_carriage_adapter_plate_v1,no,,658.899841,5.0,ok,
input_box_3,left_x_beam_end_mount_v1,no,,166.000000,5.0,ok,
input_box_3,right_x_beam_end_mount_v1,no,,646.669158,5.0,ok,
input_box_3,left_gantry_side_bracket_v1,no,,50.000000,5.0,ok,
input_box_3,right_gantry_side_bracket_v1,no,,617.029173,5.0,ok,
input_box_3,gantry_joint_mounting_fastener_patterns_v1,no,,65.000000,5.0,ok,
input_box_4,left_y_carriage_adapter_plate_v1,no,,62.329768,5.0,ok,
input_box_4,right_y_carriage_adapter_plate_v1,no,,659.173725,5.0,ok,
input_box_4,left_x_beam_end_mount_v1,no,,166.147525,5.0,ok,
input_box_4,right_x_beam_end_mount_v1,no,,646.707043,5.0,ok,
input_box_4,left_gantry_side_bracket_v1,no,,50.159745,5.0,ok,
input_box_4,right_gantry_side_bracket_v1,no,,617.042138,5.0,ok,
input_box_4,gantry_joint_mounting_fastener_patterns_v1,no,,83.240615,5.0,ok,
barcode_scanner,left_y_carriage_adapter_plate_v1,no,,304.589970,5.0,ok,
barcode_scanner,right_y_carriage_adapter_plate_v1,no,,527.977319,5.0,ok,
barcode_scanner,left_x_beam_end_mount_v1,no,,252.994815,5.0,ok,
barcode_scanner,right_x_beam_end_mount_v1,no,,503.172313,5.0,ok,
barcode_scanner,left_gantry_side_bracket_v1,no,,226.205327,5.0,ok,
barcode_scanner,right_gantry_side_bracket_v1,no,,484.917364,5.0,ok,
barcode_scanner,gantry_joint_mounting_fastener_patterns_v1,no,,80.900000,5.0,ok,
photoelectric_sensor,left_y_carriage_adapter_plate_v1,no,,392.424515,5.0,ok,
photoelectric_sensor,right_y_carriage_adapter_plate_v1,no,,358.464782,5.0,ok,
photoelectric_sensor,left_x_beam_end_mount_v1,no,,351.540894,5.0,ok,
photoelectric_sensor,right_x_beam_end_mount_v1,no,,352.465601,5.0,ok,
photoelectric_sensor,left_gantry_side_bracket_v1,no,,315.513866,5.0,ok,
photoelectric_sensor,right_gantry_side_bracket_v1,no,,316.512243,5.0,ok,
photoelectric_sensor,gantry_joint_mounting_fastener_patterns_v1,no,,48.836462,5.0,ok,
category_A_output_box_4x6,left_y_carriage_adapter_plate_v1,no,,528.280229,5.0,ok,
category_A_output_box_4x6,right_y_carriage_adapter_plate_v1,no,,185.701373,5.0,ok,
category_A_output_box_4x6,left_x_beam_end_mount_v1,no,,487.119082,5.0,ok,
category_A_output_box_4x6,right_x_beam_end_mount_v1,no,,220.193097,5.0,ok,
category_A_output_box_4x6,left_gantry_side_bracket_v1,no,,450.473085,5.0,ok,
category_A_output_box_4x6,right_gantry_side_bracket_v1,no,,143.268978,5.0,ok,
category_A_output_box_4x6,gantry_joint_mounting_fastener_patterns_v1,no,,116.764721,5.0,ok,
category_B_output_box_4x6,left_y_carriage_adapter_plate_v1,no,,736.491684,5.0,ok,
category_B_output_box_4x6,right_y_carriage_adapter_plate_v1,no,,81.215762,5.0,ok,
category_B_output_box_4x6,left_x_beam_end_mount_v1,no,,687.375443,5.0,ok,
category_B_output_box_4x6,right_x_beam_end_mount_v1,no,,173.954017,5.0,ok,
category_B_output_box_4x6,left_gantry_side_bracket_v1,no,,658.730597,5.0,ok,
category_B_output_box_4x6,right_gantry_side_bracket_v1,no,,70.007142,5.0,ok,
category_B_output_box_4x6,gantry_joint_mounting_fastener_patterns_v1,no,,116.764721,5.0,ok,
category_C_output_box_4x6,left_y_carriage_adapter_plate_v1,no,,524.389168,5.0,ok,
category_C_output_box_4x6,right_y_carriage_adapter_plate_v1,no,,174.324410,5.0,ok,
category_C_output_box_4x6,left_x_beam_end_mount_v1,no,,484.335627,5.0,ok,
category_C_output_box_4x6,right_x_beam_end_mount_v1,no,,213.964950,5.0,ok,
category_C_output_box_4x6,left_gantry_side_bracket_v1,no,,447.800179,5.0,ok,
category_C_output_box_4x6,right_gantry_side_bracket_v1,no,,134.629120,5.0,ok,
category_C_output_box_4x6,gantry_joint_mounting_fastener_patterns_v1,no,,65.000000,5.0,ok,
category_D_output_box_4x6,left_y_carriage_adapter_plate_v1,no,,733.705663,5.0,ok,
category_D_output_box_4x6,right_y_carriage_adapter_plate_v1,no,,50.000000,5.0,ok,
category_D_output_box_4x6,left_x_beam_end_mount_v1,no,,685.405719,5.0,ok,
category_D_output_box_4x6,right_x_beam_end_mount_v1,no,,166.000000,5.0,ok,
category_D_output_box_4x6,left_gantry_side_bracket_v1,no,,656.905625,5.0,ok,
category_D_output_box_4x6,right_gantry_side_bracket_v1,no,,50.000000,5.0,ok,
category_D_output_box_4x6,gantry_joint_mounting_fastener_patterns_v1,no,,65.000000,5.0,ok,
manual_review_bin_2x3,left_y_carriage_adapter_plate_v1,no,,328.201539,5.0,ok,
manual_review_bin_2x3,right_y_carriage_adapter_plate_v1,no,,598.031145,5.0,ok,
manual_review_bin_2x3,left_x_beam_end_mount_v1,no,,319.345033,5.0,ok,
manual_review_bin_2x3,right_x_beam_end_mount_v1,no,,585.816738,5.0,ok,
manual_review_bin_2x3,left_gantry_side_bracket_v1,no,,269.420211,5.0,ok,
manual_review_bin_2x3,right_gantry_side_bracket_v1,no,,553.703215,5.0,ok,
manual_review_bin_2x3,gantry_joint_mounting_fastener_patterns_v1,no,,277.227794,5.0,ok,
input_box_1_demo_tube_01_purple75,left_y_carriage_adapter_plate_v1,no,,276.523055,5.0,ok,
input_box_1_demo_tube_01_purple75,right_y_carriage_adapter_plate_v1,no,,853.820824,5.0,ok,
input_box_1_demo_tube_01_purple75,left_x_beam_end_mount_v1,no,,280.588667,5.0,ok,
input_box_1_demo_tube_01_purple75,right_x_beam_end_mount_v1,no,,826.110767,5.0,ok,
input_box_1_demo_tube_01_purple75,left_gantry_side_bracket_v1,no,,258.000000,5.0,ok,
input_box_1_demo_tube_01_purple75,right_gantry_side_bracket_v1,no,,809.229881,5.0,ok,
input_box_1_demo_tube_01_purple75,gantry_joint_mounting_fastener_patterns_v1,no,,306.006536,5.0,ok,
input_box_1_demo_tube_02_yellow100,left_y_carriage_adapter_plate_v1,no,,301.517827,5.0,ok,
input_box_1_demo_tube_02_yellow100,right_y_carriage_adapter_plate_v1,no,,774.696069,5.0,ok,
input_box_1_demo_tube_02_yellow100,left_x_beam_end_mount_v1,no,,279.152288,5.0,ok,
input_box_1_demo_tube_02_yellow100,right_x_beam_end_mount_v1,no,,744.616680,5.0,ok,
input_box_1_demo_tube_02_yellow100,left_gantry_side_bracket_v1,no,,262.992395,5.0,ok,
input_box_1_demo_tube_02_yellow100,right_gantry_side_bracket_v1,no,,730.104787,5.0,ok,
input_box_1_demo_tube_02_yellow100,gantry_joint_mounting_fastener_patterns_v1,no,,306.000000,5.0,ok,
input_box_1_demo_tube_03_blue75,left_y_carriage_adapter_plate_v1,no,,306.400065,5.0,ok,
input_box_1_demo_tube_03_blue75,right_y_carriage_adapter_plate_v1,no,,712.450700,5.0,ok,
input_box_1_demo_tube_03_blue75,left_x_beam_end_mount_v1,no,,280.333730,5.0,ok,
input_box_1_demo_tube_03_blue75,right_x_beam_end_mount_v1,no,,686.051747,5.0,ok,
input_box_1_demo_tube_03_blue75,left_gantry_side_bracket_v1,no,,253.671047,5.0,ok,
input_box_1_demo_tube_03_blue75,right_gantry_side_bracket_v1,no,,667.854026,5.0,ok,
input_box_1_demo_tube_03_blue75,gantry_joint_mounting_fastener_patterns_v1,no,,278.007194,5.0,ok,
