pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,left_y_slider_top_adapter_plate_v1_3,no,,172.000000,5.0,ok,
base_plate_1200x900x15,right_y_slider_top_adapter_plate_v1_3,no,,172.000000,5.0,ok,
base_plate_1200x900x15,left_x_beam_end_saddle_v1_3,no,,196.000000,5.0,ok,
base_plate_1200x900x15,right_x_beam_end_saddle_v1_3,no,,196.000000,5.0,ok,
xz_adapter_plate_simplified,left_y_slider_top_adapter_plate_v1_3,no,,407.011056,5.0,ok,
xz_adapter_plate_simplified,right_y_slider_top_adapter_plate_v1_3,no,,372.012097,5.0,ok,
xz_adapter_plate_simplified,left_x_beam_end_saddle_v1_3,no,,336.200000,5.0,ok,
xz_adapter_plate_simplified,right_x_beam_end_saddle_v1_3,no,,336.200000,5.0,ok,
scan_tube_holder,left_y_slider_top_adapter_plate_v1_3,no,,330.920474,5.0,ok,
scan_tube_holder,right_y_slider_top_adapter_plate_v1_3,no,,558.241310,5.0,ok,
scan_tube_holder,left_x_beam_end_saddle_v1_3,no,,285.804479,5.0,ok,
scan_tube_holder,right_x_beam_end_saddle_v1_3,no,,531.823467,5.0,ok,
barcode_scanner_mount_bracket,left_y_slider_top_adapter_plate_v1_3,no,,283.804951,5.0,ok,
barcode_scanner_mount_bracket,right_y_slider_top_adapter_plate_v1_3,no,,552.870012,5.0,ok,
barcode_scanner_mount_bracket,left_x_beam_end_saddle_v1_3,no,,228.966570,5.0,ok,
barcode_scanner_mount_bracket,right_x_beam_end_saddle_v1_3,no,,521.638467,5.0,ok,
photoelectric_sensor_mount_bracket,left_y_slider_top_adapter_plate_v1_3,no,,372.090043,5.0,ok,
photoelectric_sensor_mount_bracket,right_y_slider_top_adapter_plate_v1_3,no,,439.056944,5.0,ok,
photoelectric_sensor_mount_bracket,left_x_beam_end_saddle_v1_3,no,,314.671003,5.0,ok,
photoelectric_sensor_mount_bracket,right_x_beam_end_saddle_v1_3,no,,411.466694,5.0,ok,
left_y_axis_module,left_y_slider_top_adapter_plate_v1_3,no,,94.753010,5.0,ok,
