component_name,expected_visible,export_visibility_state,alpha,display_color,visibility_risk,notes
base_plate_1200x900x15,yes,visible,1.000,"rgba(0.700,0.720,0.740,1.000)",low,visible compound STEP geometry
xz_adapter_plate_simplified,yes,visible,1.000,"rgba(0.500,0.540,0.560,1.000)",low,visible compound STEP geometry
xz_adapter_plate_simplified,yes,visible,1.000,"rgba(0.040,0.040,0.040,1.000)",low,visible compound STEP geometry
xz_adapter_plate_simplified,yes,visible,1.000,"rgba(0.040,0.040,0.040,1.000)",low,visible compound STEP geometry
xz_adapter_plate_simplified,yes,visible,1.000,"rgba(0.040,0.040,0.040,1.000)",low,visible compound STEP geometry
xz_adapter_plate_simplified,yes,visible,1.000,"rgba(0.040,0.040,0.040,1.000)",low,visible compound STEP geometry
scan_tube_holder,yes,visible,1.000,"rgba(0.320,0.340,0.350,1.000)",low,visible compound STEP geometry
scan_tube_holder,yes,visible,1.000,"rgba(0.040,0.040,0.040,1.000)",low,visible compound STEP geometry
barcode_scanner_mount_bracket,yes,visible,1.000,"rgba(0.320,0.340,0.350,1.000)",low,visible compound STEP geometry
barcode_scanner_mount_bracket,yes,visible,1.000,"rgba(0.320,0.340,0.350,1.000)",low,visible compound STEP geometry
barcode_scanner_mount_bracket,yes,visible,1.000,"rgba(0.320,0.340,0.350,1.000)",low,visible compound STEP geometry
photoelectric_sensor_mount_bracket,yes,visible,1.000,"rgba(0.320,0.340,0.350,1.000)",low,visible compound STEP geometry
photoelectric_sensor_mount_bracket,yes,visible,1.000,"rgba(0.320,0.340,0.350,1.000)",low,visible compound STEP geometry
photoelectric_sensor_mount_bracket,yes,visible,1.000,"rgba(0.320,0.340,0.350,1.000)",low,visible compound STEP geometry
left_y_axis_module,yes,visible,1.000,"rgba(0.220,0.230,0.240,1.000)",low,visible compound STEP geometry
right_y_axis_module,yes,visible,1.000,"rgba(0.220,0.230,0.240,1.000)",low,visible compound STEP geometry
x_axis_module_on_gantry,yes,visible,1.000,"rgba(0.220,0.230,0.240,1.000)",low,visible compound STEP geometry
z_axis_module,yes,visible,1.000,"rgba(0.220,0.230,0.240,1.000)",low,visible compound STEP geometry
input_box_1,yes,visible,1.000,"rgba(0.650,0.760,0.880,1.000)",low,visible compound STEP geometry
