pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,left_y_slider_binding_plate_v1,no,,137.000000,5.0,ok,
base_plate_1200x900x15,right_y_slider_binding_plate_v1,no,,137.000000,5.0,ok,
base_plate_1200x900x15,x_beam_end_adapter_left_v1,no,,201.000000,5.0,ok,
base_plate_1200x900x15,x_beam_end_adapter_right_v1,no,,201.000000,5.0,ok,
base_plate_1200x900x15,x_axis_to_x_beam_mounting_saddle_v1,no,,224.000000,5.0,ok,
base_plate_1200x900x15,x_slider_to_z_adapter_plate_v1,no,,146.000000,5.0,ok,
base_plate_1200x900x15,small_integrated_drive_end_caps_v1,no,,56.000000,5.0,ok,
base_plate_1200x900x15,collision_clearance_reference_markers_v1,no,,34.000000,5.0,ok,
xz_adapter_plate_simplified,left_y_slider_binding_plate_v1,no,,395.956121,5.0,ok,
xz_adapter_plate_simplified,right_y_slider_binding_plate_v1,no,,361.048819,5.0,ok,
xz_adapter_plate_simplified,x_beam_end_adapter_left_v1,no,,343.000000,5.0,ok,
xz_adapter_plate_simplified,x_beam_end_adapter_right_v1,no,,343.000000,5.0,ok,
xz_adapter_plate_simplified,x_axis_to_x_beam_mounting_saddle_v1,no,,46.250000,5.0,ok,
xz_adapter_plate_simplified,x_slider_to_z_adapter_plate_v1,no,,7.250000,5.0,ok,
xz_adapter_plate_simplified,small_integrated_drive_end_caps_v1,no,,22.250000,5.0,ok,
xz_adapter_plate_simplified,collision_clearance_reference_markers_v1,no,,425.482420,5.0,ok,
scan_tube_holder,left_y_slider_binding_plate_v1,no,,304.564213,5.0,ok,
scan_tube_holder,right_y_slider_binding_plate_v1,no,,537.591257,5.0,ok,
scan_tube_holder,x_beam_end_adapter_left_v1,no,,294.228755,5.0,ok,
scan_tube_holder,x_beam_end_adapter_right_v1,no,,539.935700,5.0,ok,
scan_tube_holder,x_axis_to_x_beam_mounting_saddle_v1,no,,211.400000,5.0,ok,
scan_tube_holder,x_slider_to_z_adapter_plate_v1,no,,145.864869,5.0,ok,
scan_tube_holder,small_integrated_drive_end_caps_v1,no,,43.400000,5.0,ok,
scan_tube_holder,collision_clearance_reference_markers_v1,no,,407.109273,5.0,ok,
barcode_scanner_mount_bracket,left_y_slider_binding_plate_v1,no,,261.821027,5.0,ok,
barcode_scanner_mount_bracket,right_y_slider_binding_plate_v1,no,,535.677375,5.0,ok,
barcode_scanner_mount_bracket,x_beam_end_adapter_left_v1,no,,233.425042,5.0,ok,
barcode_scanner_mount_bracket,x_beam_end_adapter_right_v1,no,,527.685749,5.0,ok,
barcode_scanner_mount_bracket,x_axis_to_x_beam_mounting_saddle_v1,no,,137.554535,5.0,ok,
barcode_scanner_mount_bracket,x_slider_to_z_adapter_plate_v1,no,,97.258676,5.0,ok,
barcode_scanner_mount_bracket,small_integrated_drive_end_caps_v1,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=9
barcode_scanner_mount_bracket,collision_clearance_reference_markers_v1,no,,469.383638,5.0,ok,
photoelectric_sensor_mount_bracket,left_y_slider_binding_plate_v1,no,,350.652249,5.0,ok,
photoelectric_sensor_mount_bracket,right_y_slider_binding_plate_v1,no,,419.042957,5.0,ok,
photoelectric_sensor_mount_bracket,x_beam_end_adapter_left_v1,no,,321.686182,5.0,ok,
photoelectric_sensor_mount_bracket,x_beam_end_adapter_right_v1,no,,418.565407,5.0,ok,
photoelectric_sensor_mount_bracket,x_axis_to_x_beam_mounting_saddle_v1,no,,163.000000,5.0,ok,
photoelectric_sensor_mount_bracket,x_slider_to_z_adapter_plate_v1,no,,85.708809,5.0,ok,
photoelectric_sensor_mount_bracket,small_integrated_drive_end_caps_v1,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=9
photoelectric_sensor_mount_bracket,collision_clearance_reference_markers_v1,no,,461.789996,5.0,ok,
left_y_axis_module,left_y_slider_binding_plate_v1,no,,59.753010,5.0,ok,
left_y_axis_module,right_y_slider_binding_plate_v1,no,,867.879600,5.0,ok,
left_y_axis_module,x_beam_end_adapter_left_v1,no,,124.142029,5.0,ok,
left_y_axis_module,x_beam_end_adapter_right_v1,no,,857.793972,5.0,ok,
left_y_axis_module,x_axis_to_x_beam_mounting_saddle_v1,no,,153.444759,5.0,ok,
left_y_axis_module,x_slider_to_z_adapter_plate_v1,no,,407.659699,5.0,ok,
left_y_axis_module,small_integrated_drive_end_caps_v1,yes,,,5.0,allowed_mount_contact,"expected slider binding, saddle, riser/shim, or adapter mount contact"
left_y_axis_module,collision_clearance_reference_markers_v1,yes,,,5.0,allowed_mount_contact,"expected slider binding, saddle, riser/shim, or adapter mount contact"
right_y_axis_module,left_y_slider_binding_plate_v1,no,,931.669341,5.0,ok,
right_y_axis_module,right_y_slider_binding_plate_v1,no,,59.753010,5.0,ok,
right_y_axis_module,x_beam_end_adapter_left_v1,no,,886.432185,5.0,ok,
right_y_axis_module,x_beam_end_adapter_right_v1,no,,129.678313,5.0,ok,
right_y_axis_module,x_axis_to_x_beam_mounting_saddle_v1,no,,164.242774,5.0,ok,
right_y_axis_module,x_slider_to_z_adapter_plate_v1,no,,436.203614,5.0,ok,
right_y_axis_module,small_integrated_drive_end_caps_v1,yes,,,5.0,allowed_mount_contact,"expected slider binding, saddle, riser/shim, or adapter mount contact"
right_y_axis_module,collision_clearance_reference_markers_v1,no,,743.751224,5.0,ok,
x_axis_module_on_gantry,left_y_slider_binding_plate_v1,no,,67.094563,5.0,ok,
x_axis_module_on_gantry,right_y_slider_binding_plate_v1,no,,34.991549,5.0,ok,
x_axis_module_on_gantry,x_beam_end_adapter_left_v1,no,,10.334896,5.0,ok,
x_axis_module_on_gantry,x_beam_end_adapter_right_v1,no,,7.665104,5.0,ok,
x_axis_module_on_gantry,x_axis_to_x_beam_mounting_saddle_v1,no,,26.059842,5.0,ok,
