pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,left_y_slider_top_adapter_plate_v1_2,no,,124.000000,5.0,ok,
base_plate_1200x900x15,right_y_slider_top_adapter_plate_v1_2,no,,124.000000,5.0,ok,
base_plate_1200x900x15,left_x_beam_end_mount_v1_2,no,,146.000000,5.0,ok,
base_plate_1200x900x15,right_x_beam_end_mount_v1_2,no,,146.000000,5.0,ok,
base_plate_1200x900x15,x_axis_module_mounting_saddle_v1_2,no,,224.000000,5.0,ok,
base_plate_1200x900x15,x_slider_to_z_adapter_check_v1_2,no,,165.000000,5.0,ok,
xz_adapter_plate_simplified,left_y_slider_top_adapter_plate_v1_2,no,,406.960686,5.0,ok,
xz_adapter_plate_simplified,right_y_slider_top_adapter_plate_v1_2,no,,372.239170,5.0,ok,
xz_adapter_plate_simplified,left_x_beam_end_mount_v1_2,no,,327.000000,5.0,ok,
xz_adapter_plate_simplified,right_x_beam_end_mount_v1_2,no,,327.000000,5.0,ok,
xz_adapter_plate_simplified,x_axis_module_mounting_saddle_v1_2,no,,45.250000,5.0,ok,
xz_adapter_plate_simplified,x_slider_to_z_adapter_check_v1_2,no,,11.250000,5.0,ok,
scan_tube_holder,left_y_slider_top_adapter_plate_v1_2,no,,307.861917,5.0,ok,
scan_tube_holder,right_y_slider_top_adapter_plate_v1_2,no,,543.538370,5.0,ok,
scan_tube_holder,left_x_beam_end_mount_v1_2,no,,248.788183,5.0,ok,
scan_tube_holder,right_x_beam_end_mount_v1_2,no,,507.834186,5.0,ok,
scan_tube_holder,x_axis_module_mounting_saddle_v1_2,no,,211.400000,5.0,ok,
scan_tube_holder,x_slider_to_z_adapter_check_v1_2,no,,167.707364,5.0,ok,
barcode_scanner_mount_bracket,left_y_slider_top_adapter_plate_v1_2,no,,269.757762,5.0,ok,
barcode_scanner_mount_bracket,right_y_slider_top_adapter_plate_v1_2,no,,544.251091,5.0,ok,
barcode_scanner_mount_bracket,left_x_beam_end_mount_v1_2,no,,200.068113,5.0,ok,
barcode_scanner_mount_bracket,right_x_beam_end_mount_v1_2,no,,503.897063,5.0,ok,
barcode_scanner_mount_bracket,x_axis_module_mounting_saddle_v1_2,no,,137.816001,5.0,ok,
barcode_scanner_mount_bracket,x_slider_to_z_adapter_check_v1_2,no,,118.537969,5.0,ok,
photoelectric_sensor_mount_bracket,left_y_slider_top_adapter_plate_v1_2,no,,357.442303,5.0,ok,
photoelectric_sensor_mount_bracket,right_y_slider_top_adapter_plate_v1_2,no,,426.221773,5.0,ok,
photoelectric_sensor_mount_bracket,left_x_beam_end_mount_v1_2,no,,287.393459,5.0,ok,
photoelectric_sensor_mount_bracket,right_x_beam_end_mount_v1_2,no,,388.522844,5.0,ok,
photoelectric_sensor_mount_bracket,x_axis_module_mounting_saddle_v1_2,no,,163.000000,5.0,ok,
photoelectric_sensor_mount_bracket,x_slider_to_z_adapter_check_v1_2,no,,105.223572,5.0,ok,
left_y_axis_module,left_y_slider_top_adapter_plate_v1_2,no,,46.753010,5.0,ok,
left_y_axis_module,right_y_slider_top_adapter_plate_v1_2,no,,876.068596,5.0,ok,
