pair_a,pair_b,bbox_overlap_candidate,exact_overlap_volume_mm3,minimum_distance_mm,clearance_threshold_mm,audit_status,notes
base_plate_1200x900x15,left_y_compact_motor_v1,no,,105.000000,5.0,ok,
base_plate_1200x900x15,right_y_compact_motor_v1,no,,105.000000,5.0,ok,
base_plate_1200x900x15,x_axis_compact_motor_v1,no,,289.000000,5.0,ok,
base_plate_1200x900x15,y_axis_pulley_belt_paths_v1,no,,123.000000,5.0,ok,
base_plate_1200x900x15,x_axis_pulley_belt_path_v1,no,,328.000000,5.0,ok,
base_plate_1200x900x15,xy_belt_clamp_fastener_markers_v1,no,,145.000000,5.0,ok,
xz_adapter_plate_simplified,left_y_compact_motor_v1,no,,531.906300,5.0,ok,
xz_adapter_plate_simplified,right_y_compact_motor_v1,no,,495.509145,5.0,ok,
xz_adapter_plate_simplified,x_axis_compact_motor_v1,no,,358.274423,5.0,ok,
xz_adapter_plate_simplified,y_axis_pulley_belt_paths_v1,no,,48.500000,5.0,ok,
xz_adapter_plate_simplified,x_axis_pulley_belt_path_v1,no,,84.429334,5.0,ok,
xz_adapter_plate_simplified,xy_belt_clamp_fastener_markers_v1,yes,0.000000,,5.0,ok,solid_pair_overlap_fallback_errors=30
scan_tube_holder,left_y_compact_motor_v1,no,,414.250842,5.0,ok,
scan_tube_holder,right_y_compact_motor_v1,no,,614.572014,5.0,ok,
scan_tube_holder,x_axis_compact_motor_v1,no,,363.495475,5.0,ok,
scan_tube_holder,y_axis_pulley_belt_paths_v1,no,,110.400000,5.0,ok,
scan_tube_holder,x_axis_pulley_belt_path_v1,no,,316.730422,5.0,ok,
scan_tube_holder,xy_belt_clamp_fastener_markers_v1,no,,132.400000,5.0,ok,
barcode_scanner_mount_bracket,left_y_compact_motor_v1,no,,354.061082,5.0,ok,
barcode_scanner_mount_bracket,right_y_compact_motor_v1,no,,597.058833,5.0,ok,
barcode_scanner_mount_bracket,x_axis_compact_motor_v1,no,,289.596702,5.0,ok,
barcode_scanner_mount_bracket,y_axis_pulley_belt_paths_v1,no,,35.500000,5.0,ok,
barcode_scanner_mount_bracket,x_axis_pulley_belt_path_v1,no,,240.500000,5.0,ok,
barcode_scanner_mount_bracket,xy_belt_clamp_fastener_markers_v1,no,,57.500000,5.0,ok,
photoelectric_sensor_mount_bracket,left_y_compact_motor_v1,no,,448.749373,5.0,ok,
photoelectric_sensor_mount_bracket,right_y_compact_motor_v1,no,,501.054887,5.0,ok,
photoelectric_sensor_mount_bracket,x_axis_compact_motor_v1,no,,376.011968,5.0,ok,
photoelectric_sensor_mount_bracket,y_axis_pulley_belt_paths_v1,no,,62.000000,5.0,ok,
photoelectric_sensor_mount_bracket,x_axis_pulley_belt_path_v1,no,,267.269527,5.0,ok,
photoelectric_sensor_mount_bracket,xy_belt_clamp_fastener_markers_v1,no,,84.000000,5.0,ok,
left_y_axis_module,left_y_compact_motor_v1,no,,27.753010,5.0,ok,
left_y_axis_module,right_y_compact_motor_v1,no,,899.248541,5.0,ok,
left_y_axis_module,x_axis_compact_motor_v1,no,,211.753010,5.0,ok,
left_y_axis_module,y_axis_pulley_belt_paths_v1,no,,45.753010,5.0,ok,
left_y_axis_module,x_axis_pulley_belt_path_v1,no,,259.762677,5.0,ok,
left_y_axis_module,xy_belt_clamp_fastener_markers_v1,no,,67.753010,5.0,ok,
right_y_axis_module,left_y_compact_motor_v1,no,,973.147046,5.0,ok,
right_y_axis_module,right_y_compact_motor_v1,no,,27.753010,5.0,ok,
right_y_axis_module,x_axis_compact_motor_v1,no,,912.656328,5.0,ok,
right_y_axis_module,y_axis_pulley_belt_paths_v1,no,,46.113062,5.0,ok,
right_y_axis_module,x_axis_pulley_belt_path_v1,no,,269.132632,5.0,ok,
right_y_axis_module,xy_belt_clamp_fastener_markers_v1,no,,68.664548,5.0,ok,
x_axis_module_on_gantry,left_y_compact_motor_v1,no,,300.504439,5.0,ok,
x_axis_module_on_gantry,right_y_compact_motor_v1,no,,287.285122,5.0,ok,
x_axis_module_on_gantry,x_axis_compact_motor_v1,no,,49.137812,5.0,ok,
x_axis_module_on_gantry,y_axis_pulley_belt_paths_v1,no,,45.820176,5.0,ok,
x_axis_module_on_gantry,x_axis_pulley_belt_path_v1,no,,85.582503,5.0,ok,
x_axis_module_on_gantry,xy_belt_clamp_fastener_markers_v1,yes,,,5.0,allowed_mount_contact,"expected motor mount, pulley/belt, axis-end, or carriage drive interface contact"
z_axis_module,left_y_compact_motor_v1,no,,512.737174,5.0,ok,
z_axis_module,right_y_compact_motor_v1,no,,474.009926,5.0,ok,
z_axis_module,x_axis_compact_motor_v1,no,,362.298786,5.0,ok,
z_axis_module,y_axis_pulley_belt_paths_v1,no,,2.500000,5.0,allowed_mount_contact,"expected motor mount, pulley/belt, axis-end, or carriage drive interface contact"
z_axis_module,x_axis_pulley_belt_path_v1,no,,35.000000,5.0,ok,
z_axis_module,xy_belt_clamp_fastener_markers_v1,yes,,,5.0,allowed_mount_contact,"expected motor mount, pulley/belt, axis-end, or carriage drive interface contact"
input_box_1,left_y_compact_motor_v1,no,,90.027773,5.0,ok,
input_box_1,right_y_compact_motor_v1,no,,677.421582,5.0,ok,
input_box_1,x_axis_compact_motor_v1,no,,261.275716,5.0,ok,
input_box_1,y_axis_pulley_belt_paths_v1,no,,86.000000,5.0,ok,
input_box_1,x_axis_pulley_belt_path_v1,no,,305.196658,5.0,ok,
input_box_1,xy_belt_clamp_fastener_markers_v1,no,,148.827954,5.0,ok,
input_box_2,left_y_compact_motor_v1,no,,140.602276,5.0,ok,
input_box_2,right_y_compact_motor_v1,no,,685.976676,5.0,ok,
input_box_2,x_axis_compact_motor_v1,no,,252.000000,5.0,ok,
input_box_2,y_axis_pulley_belt_paths_v1,no,,86.000000,5.0,ok,
input_box_2,x_axis_pulley_belt_path_v1,no,,291.000000,5.0,ok,
input_box_2,xy_belt_clamp_fastener_markers_v1,no,,108.000000,5.0,ok,
input_box_3,left_y_compact_motor_v1,no,,254.458248,5.0,ok,
input_box_3,right_y_compact_motor_v1,no,,718.013927,5.0,ok,
input_box_3,x_axis_compact_motor_v1,no,,252.000000,5.0,ok,
input_box_3,y_axis_pulley_belt_paths_v1,no,,86.000000,5.0,ok,
input_box_3,x_axis_pulley_belt_path_v1,no,,291.830430,5.0,ok,
input_box_3,xy_belt_clamp_fastener_markers_v1,no,,108.000000,5.0,ok,
input_box_4,left_y_compact_motor_v1,no,,378.852214,5.0,ok,
input_box_4,right_y_compact_motor_v1,no,,770.924121,5.0,ok,
input_box_4,x_axis_compact_motor_v1,no,,283.098923,5.0,ok,
input_box_4,y_axis_pulley_belt_paths_v1,no,,86.000000,5.0,ok,
input_box_4,x_axis_pulley_belt_path_v1,no,,328.306259,5.0,ok,
input_box_4,xy_belt_clamp_fastener_markers_v1,no,,121.839895,5.0,ok,
barcode_scanner,left_y_compact_motor_v1,no,,386.652379,5.0,ok,
barcode_scanner,right_y_compact_motor_v1,no,,580.240521,5.0,ok,
barcode_scanner,x_axis_compact_motor_v1,no,,299.733262,5.0,ok,
barcode_scanner,y_axis_pulley_belt_paths_v1,no,,9.750358,5.0,ok,
barcode_scanner,x_axis_pulley_belt_path_v1,no,,214.750358,5.0,ok,
barcode_scanner,xy_belt_clamp_fastener_markers_v1,no,,31.750358,5.0,ok,
photoelectric_sensor,left_y_compact_motor_v1,no,,478.898538,5.0,ok,
photoelectric_sensor,right_y_compact_motor_v1,no,,440.917010,5.0,ok,
photoelectric_sensor,x_axis_compact_motor_v1,no,,399.944996,5.0,ok,
photoelectric_sensor,y_axis_pulley_belt_paths_v1,no,,54.000000,5.0,ok,
photoelectric_sensor,x_axis_pulley_belt_path_v1,no,,259.331082,5.0,ok,
photoelectric_sensor,xy_belt_clamp_fastener_markers_v1,no,,76.000000,5.0,ok,
category_A_output_box_4x6,left_y_compact_motor_v1,no,,560.958109,5.0,ok,
category_A_output_box_4x6,right_y_compact_motor_v1,no,,217.092146,5.0,ok,
category_A_output_box_4x6,x_axis_compact_motor_v1,no,,528.015151,5.0,ok,
category_A_output_box_4x6,y_axis_pulley_belt_paths_v1,no,,86.000000,5.0,ok,
category_A_output_box_4x6,x_axis_pulley_belt_path_v1,no,,291.000000,5.0,ok,
category_A_output_box_4x6,xy_belt_clamp_fastener_markers_v1,no,,108.000000,5.0,ok,
category_B_output_box_4x6,left_y_compact_motor_v1,no,,767.693949,5.0,ok,
category_B_output_box_4x6,right_y_compact_motor_v1,no,,115.208507,5.0,ok,
category_B_output_box_4x6,x_axis_compact_motor_v1,no,,719.569316,5.0,ok,
category_B_output_box_4x6,y_axis_pulley_belt_paths_v1,no,,86.000000,5.0,ok,
category_B_output_box_4x6,x_axis_pulley_belt_path_v1,no,,291.000000,5.0,ok,
category_B_output_box_4x6,xy_belt_clamp_fastener_markers_v1,no,,108.000000,5.0,ok,
category_C_output_box_4x6,left_y_compact_motor_v1,no,,630.740834,5.0,ok,
category_C_output_box_4x6,right_y_compact_motor_v1,no,,360.955676,5.0,ok,
category_C_output_box_4x6,x_axis_compact_motor_v1,no,,531.879686,5.0,ok,
category_C_output_box_4x6,y_axis_pulley_belt_paths_v1,no,,86.000000,5.0,ok,
category_C_output_box_4x6,x_axis_pulley_belt_path_v1,no,,303.726851,5.0,ok,
category_C_output_box_4x6,xy_belt_clamp_fastener_markers_v1,no,,108.000000,5.0,ok,
