component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
left_y_slider_top_adapter_plate,left_y_slider_top_adapter_plate_v1_2,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
left_y_slider_low_profile_locating_spacer_0mm,left_y_slider_top_adapter_plate_v1_2,dark_compact_end_mount_or_spacer,slider_dark,0.16,0.16,0.17,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
left_y_slider_top_clamp_cap,left_y_slider_top_adapter_plate_v1_2,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_fastener_-28_-22,left_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_fastener_-28_22,left_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_fastener_28_-22,left_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_fastener_28_22,left_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_dowel_marker_-16,left_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
left_y_slider_adapter_dowel_marker_16,left_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:left_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original left Y slider/carriage interface
right_y_slider_top_adapter_plate,right_y_slider_top_adapter_plate_v1_2,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:right_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original right Y slider/carriage interface
right_y_slider_low_profile_locating_spacer_0mm,right_y_slider_top_adapter_plate_v1_2,dark_compact_end_mount_or_spacer,slider_dark,0.16,0.16,0.17,1.0,generated:right_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original right Y slider/carriage interface
right_y_slider_top_clamp_cap,right_y_slider_top_adapter_plate_v1_2,low_profile_slider_adapter_plate,slider_plate,0.6,0.61,0.62,1.0,generated:right_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_fastener_-28_-22,right_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_fastener_-28_22,right_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original right Y slider/carriage interface
right_y_slider_adapter_fastener_28_-22,right_y_slider_top_adapter_plate_v1_2,dark_fastener_or_dowel_marker,slider_fastener,0.03,0.03,0.032,1.0,generated:right_y_slider_top_adapter_plate_v1_2,slider_binding; low-profile plate sitting on original right Y slider/carriage interface
