priority,component_name,part_id,original_cad_path,recommended_native_output_path,recommended_save_as_type,conversion_needed_for_rough_assembly,notes
Priority A,base_plate,CP-BASE,03_cad/custom_parts/base_plate/base_plate_1100x900x15.step,03_cad/solidworks/converted_native/parts/base_plate_1100x900x15.SLDPRT,already_converted,converted,Manual native base plate used as rough assembly datum.
Priority A,left_y_axis_module,SP-002,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,already_converted,converted,Same MSA-628 native file reused as left Y axis instance.
Priority A,right_y_axis_module,SP-025,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,already_converted,converted,Same MSA-628 native file reused as right Y axis instance.
Priority A,x_axis_module_on_gantry,SP-001,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,already_converted,converted,Same MSA-628 native file reused for gantry-mounted X axis; orientation must be checked manually.
Priority A,z_axis_module,SP-003,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,03_cad/solidworks/converted_native/parts/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.SLDASM,already_converted,converted,MISUMI LS10 native file mapped to Z axis module.
Priority A,electric_parallel_gripper,SP-013,03_cad/standard_parts/downloaded/gripper/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,03_cad/solidworks/converted_native/assemblies/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.SLDASM,already_converted,converted,SMC LEHF20 native assembly mapped to gripper.
Priority B,x_axis_motor,SP-004,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,already_converted,converted,Same AZM46AK motor native file reused for X/Y/Z motor envelopes.
Priority B,y_axis_motor_left_or_common,SP-005,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,already_converted,converted,Same AZM46AK motor native file reused as common Y drive motor envelope.
Priority B,y_axis_motor_right_placeholder_or_sync_note,SP-005,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,already_converted,converted,Same AZM46AK motor native file reused only as right-side reference; main route remains mechanical sync.
Priority B,z_axis_motor,SP-006,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,already_converted,converted,Same AZM46AK motor native file reused for Z motor envelope.
Priority A,input_mixed_tube_rack_4x6,CP-BIN-INPUT,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,03_cad/solidworks/converted_native/parts/input_mixed_tube_rack_4x6.SLDASM,already_converted,converted,Input mixed tube rack native assembly mapped.
Priority A,category_A_output_bin_2x3,CP-BIN-A,03_cad/custom_parts/tube_bins/category_A_output_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,already_converted,converted,Category A output bin native assembly mapped.
Priority A,category_B_output_bin_2x3,CP-BIN-B,03_cad/custom_parts/tube_bins/category_B_output_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,already_converted,converted,2x3 output bin geometry reused from Category A for rough layout; instance name preserves Category B semantics.
Priority A,category_C_output_bin_2x3,CP-BIN-C,03_cad/custom_parts/tube_bins/category_C_output_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,already_converted,converted,2x3 output bin geometry reused from Category A for rough layout; instance name preserves Category C semantics.
Priority A,category_D_output_bin_2x3,CP-BIN-D,03_cad/custom_parts/tube_bins/category_D_output_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,already_converted,converted,2x3 output bin geometry reused from Category A for rough layout; instance name preserves Category D semantics.
Priority A,manual_review_bin_2x3,CP-BIN-MR,03_cad/custom_parts/tube_bins/manual_review_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,already_converted,converted,2x3 bin geometry reused from Category A for rough layout; instance name preserves manual review bin semantics.
Priority B,scan_station_reference,CP-SCAN-REF,03_cad/custom_parts/scan_station/scan_station_reference_block.step,03_cad/solidworks/converted_native/parts/scan_station_reference_block.SLDPRT,already_converted,converted,Scan station reference native placeholder mapped.
Priority A,barcode_scanner,SP-018,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,03_cad/solidworks/converted_native/parts/Cognex_DataMan80_USB_fixed_barcode_reader_v1.SLDPRT,already_converted,converted,Cognex DataMan 80 native part mapped to fixed barcode reader.
Priority A,photoelectric_sensor,SP-017,03_cad/standard_parts/downloaded/sensors/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,03_cad/solidworks/converted_native/parts/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.SLDPRT,already_converted,converted,Panasonic CX-421-J native part mapped to tube presence sensor.
Priority B,limit_switch_x_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,03_cad/solidworks/converted_native/parts/limit_switch_x_home.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_manual_conversion_required,Open original CAD in SolidWorks and Save As native CAD; do not delete original STEP/STP.
