filename,full_path,file_size_bytes,modified_time,guessed_component_mapping
SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.SLDASM,03_cad/solidworks/converted_native/assemblies/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.SLDASM,278176,2026-04-30T14:09:48,electric_parallel_gripper
base_plate_1100x900x15.SLDPRT,03_cad/solidworks/converted_native/parts/base_plate_1100x900x15.SLDPRT,50076,2026-04-30T14:08:24,base_plate
blue_cap_tube_13x75.SLDASM,03_cad/solidworks/converted_native/parts/blue_cap_tube_13x75.SLDASM,455857,2026-04-30T15:23:57,available_tube_variant_blue
category_A_output_bin_2x3.SLDASM,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,179967,2026-04-30T15:27:00,category_A_output_bin_2x3; category_B_output_bin_2x3; category_C_output_bin_2x3; category_D_output_bin_2x3; manual_review_bin_2x3
Cognex_DataMan80_USB_fixed_barcode_reader_v1.SLDPRT,03_cad/solidworks/converted_native/parts/Cognex_DataMan80_USB_fixed_barcode_reader_v1.SLDPRT,3071805,2026-04-30T14:58:40,barcode_scanner
input_mixed_tube_rack_4x6.SLDASM,03_cad/solidworks/converted_native/parts/input_mixed_tube_rack_4x6.SLDASM,215408,2026-04-30T14:42:48,input_mixed_tube_rack_4x6
MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.SLDASM,03_cad/solidworks/converted_native/parts/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.SLDASM,831488,2026-04-30T15:20:01,z_axis_module
MISUMI_MHPKS204_cable_carrier_R38_18links_v1.SLDASM,03_cad/solidworks/converted_native/parts/MISUMI_MHPKS204_cable_carrier_R38_18links_v1.SLDASM,466372,2026-04-30T14:59:55,cable_chain_xz
MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,3024985,2026-04-30T14:39:37,left_y_axis_module; right_y_axis_module; x_axis_module_on_gantry
OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,719858,2026-04-30T15:01:34,x_axis_motor; y_axis_motor_left_or_common; y_axis_motor_right_placeholder_or_sync_note; z_axis_motor
Panasonic_CX421J_diffuse_photoelectric_sensor_v1.SLDPRT,03_cad/solidworks/converted_native/parts/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.SLDPRT,170829,2026-04-30T15:18:45,photoelectric_sensor
purple_cap_tube_13x75.SLDASM,03_cad/solidworks/converted_native/parts/purple_cap_tube_13x75.SLDASM,454686,2026-04-30T15:24:42,sample_tube_instances_input_demo; sample_tube_instances_output_demo
red_cap_tube_13x75.SLDASM,03_cad/solidworks/converted_native/parts/red_cap_tube_13x75.SLDASM,455138,2026-04-30T15:25:19,available_tube_variant_red
scan_station_reference_block.SLDPRT,03_cad/solidworks/converted_native/parts/scan_station_reference_block.SLDPRT,72231,2026-04-30T15:26:20,scan_station_reference
SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.SLDASM,03_cad/solidworks/converted_native/parts/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.SLDASM,278569,2026-04-30T15:00:37,electric_parallel_gripper_alternate_native
y_axis_sync_shaft_placeholder.SLDPRT,03_cad/solidworks/converted_native/parts/y_axis_sync_shaft_placeholder.SLDPRT,61281,2026-04-30T15:27:35,y_axis_sync_mechanism
yellow_cap_tube_13x100.SLDASM,03_cad/solidworks/converted_native/parts/yellow_cap_tube_13x100.SLDASM,456122,2026-04-30T15:25:50,available_tube_variant_yellow
