component_name,part_id,original_cad_path,native_cad_path,native_file_exists,conversion_method,conversion_status,notes
base_plate,CP-BASE,03_cad/custom_parts/base_plate/base_plate_1100x900x15.step,03_cad/solidworks/converted_native/parts/base_plate_1100x900x15.SLDPRT,true,manual_converted,manual_converted,Native cache file found and registered.
left_y_axis_module,SP-002,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,true,manual_converted,native_available,Native cache file found and registered.
right_y_axis_module,SP-025,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,true,manual_converted,native_available,Native cache file found and registered.
x_axis_module_on_gantry,SP-001,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
z_axis_module,SP-003,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
electric_parallel_gripper,SP-013,03_cad/standard_parts/downloaded/gripper/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,03_cad/solidworks/converted_native/assemblies/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.SLDASM,true,manual_converted,manual_converted,Native cache file found and registered.
x_axis_motor,SP-004,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
y_axis_motor_left_or_common,SP-005,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
y_axis_motor_right_placeholder_or_sync_note,SP-005,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
z_axis_motor,SP-006,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
input_mixed_tube_rack_4x6,CP-BIN-INPUT,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,03_cad/solidworks/converted_native/parts/input_mixed_tube_rack_4x6.SLDASM,true,manual_converted,native_available,Native cache file found and registered.
category_A_output_bin_2x3,CP-BIN-A,03_cad/custom_parts/tube_bins/category_A_output_bin_2x3.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
