part_id,component_name,supplier_or_source,model_or_description,cad_file_path,file_format,is_standard_part,is_custom_part,is_placeholder,lfs_tracked,assembly_usage,notes
SP-018,barcode_scanner,Cognex,DataMan 80 USB fixed-mount image-based barcode reader,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,step,true,false,false,lfs,Scan-station barcode/QR reader,assembly primary; line-of-sight check required
reference_archive,DM80_USB_HPIL_Red_Light_vendor_candidate,vendor_original_or_extracted,Original or extracted supplier CAD reference,03_cad/standard_parts/downloaded/barcode_scanner/extracted/DM80_CAD_USB/DM80_USB_HPIL_Red_Light_vendor_candidate.step,step,true,false,false,lfs,"Reference/archive CAD, not preferred for rough assembly primary placement",reference/archive; use normalized CAD where available
reference_archive,DM80_USB_Standard_Red_Light_vendor_candidate,vendor_original_or_extracted,Original or extracted supplier CAD reference,03_cad/standard_parts/downloaded/barcode_scanner/extracted/DM80_CAD_USB/DM80_USB_Standard_Red_Light_vendor_candidate.step,step,true,false,false,lfs,"Reference/archive CAD, not preferred for rough assembly primary placement",reference/archive; use normalized CAD where available
reference_archive,MHPKS204-38-18-A,vendor_original_or_extracted,Original or extracted supplier CAD reference,03_cad/standard_parts/downloaded/cable_chain/extracted/MHPKS204-38-18-A_STEP_AP214_20260429/MHPKS204-38-18-A.stp,stp,true,false,false,lfs,"Reference/archive CAD, not preferred for rough assembly primary placement",reference/archive; use normalized CAD where available
SP-015,cable_chain,MISUMI,MHPKS204-38-18-A compact cable carrier,03_cad/standard_parts/downloaded/cable_chain/MISUMI_MHPKS204_cable_carrier_R38_18links_v1.step,step,true,false,false,lfs,X/Z cable management rough layout,assembly primary for cable-chain envelope; can copy later for Y
reference_archive,LEHF20K2-24(0_0),vendor_original_or_extracted,Original or extracted supplier CAD reference,03_cad/standard_parts/downloaded/gripper/extracted/PARTserver22026042914085532807997d0b6156e/LEHF20K2-24(0_0).stp,stp,true,false,false,lfs,"Reference/archive CAD, not preferred for rough assembly primary placement",reference/archive; use normalized CAD where available
SP-013,electric_parallel_gripper,SMC,"LEHF20 2-finger parallel electric gripper, 24 mm stroke",03_cad/standard_parts/downloaded/gripper/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,step,true,false,false,lfs,End effector gripper rough layout primary CAD,assembly primary; gripper downward check required
reference_archive,azm46ak,vendor_original_or_extracted,Original or extracted supplier CAD reference,03_cad/standard_parts/downloaded/motors/extracted/182509157-19-azm46ak/azm46ak.stp,stp,true,false,false,lfs,"Reference/archive CAD, not preferred for rough assembly primary placement",reference/archive; use normalized CAD where available
SP-004/SP-005/SP-006,xyz_axis_motor,Oriental Motor,AZM46AK 42 mm stepper motor with mechanical absolute encoder,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,step,true,false,false,lfs,X/Y/Z motor envelope checks,assembly primary; instantiate for X/Y/Z motor interfaces
reference_archive,User_Library-K16-811-N,vendor_original_or_extracted,Original or extracted supplier CAD reference,03_cad/standard_parts/downloaded/safety/extracted/User Library-K16-811-N/User_Library-K16-811-N.sldprt,sldprt,true,false,false,lfs,"Reference/archive CAD, not preferred for rough assembly primary placement",reference/archive; use normalized CAD where available
