"Symbol";"Value";"Unit";
"Gear_Ratio_Xto1_1";"";"";
"shaft_runout";"0.05 mm (0.002 in.) T.I.R.";"";
"brake_type";"";"";
"HoldTorqStandstiElectromagBrakNxm";"";"";
"shaft";"Single";"";
"degree_of_protection";"IP66 (excluding the mounting surface and connector)";"";
"HoldTorStandstElectromagBrakoz_in";"";"";
"Permissible_Thrust_Load_N";"15";"";
"Permissible_Overhung_Load_N";"0 mm from Shaft End = 35|5 mm from Shaft End = 44|10 mm from Shaft End = 58|15 mm from Shaft End = 85";"";
"insulation_class";"Class B [130ºC (266ºF)]";"";
"safety_standards";"CE";"";
"Permissible_Overhung_Load_lb";"0 in. from Shaft End = 7.8|0.2 in. from Shaft End = 9.9|0.39 in. from Shaft End = 13|0.59 in. from Shaft End = 19.1";"";
"perpendicularity";"0.075 mm (0.003 in.) T.I.R.";"";
"connection_type";"Cable";"";
"SUPPLIER";"Oriental Motor";"";
"Frame_Size_mm";"42";"";
"REFERENCE";"AZM46AK";"";
"Rotor_Inertia_oz_in2";"0.30";"";
"TraceParts.PartTitle";"DC Input AZ Series 1.65 in. (42 mm) NEMA 17 Stepper Motors with Mechanical Absolute Encoders";"";
"insulation_resistance";"100 MΩ or more when 500 VDC megger is applied between the following places:  Case - Motor and sensor windings";"";
"TraceParts.PartLanguage";"en";"";
"Motor_Length_in";"2.76";"";
"Part_Number_ProductPage_URL";"https://catalog.orientalmotor.com/item/az-series-42mm-absolute-stepper-motors/az-series-42mm-absolute-encoder-stepper-motors-dc/azm46ak";"";
"TraceParts.PartNumber";"90-18012022-053716";"";
"DESIGN";"1.65 in. (42 mm) AZ Series Stepper Motor with Mechanical Absolute Encoder (DC Input)";"";
"Holding_Torque_Nxm";"0.30";"";
"TraceParts.PartVersion";"1.0.9";"";
"TRACEPARTS";"TRACEPARTS";"";
"ambient_humidity";"85% or less (Non-condensing)";"";
"Part_Number_EShop_URL";"https://catalog.orientalmotor.com/item/az-series-42mm-absolute-stepper-motors/az-series-42mm-absolute-encoder-stepper-motors-dc/azm46ak";"";
"concentricity";"0.075 mm (0.003 in.) T.I.R.";"";
"ambient_temperature";"0 ~ 40ºC (32 ~ 104ºF) (non-freezing)";"";
"Backlash";"";"";
"power_consumption";"";"";
"Permissible_Thrust_Load_lb";"3.3";"";
"Rotor_Inertia_kgxm2";"55x10-7";"";
"lost_motion";"";"";
"Frame_Size_in";"1.65";"";
"ResolutSetting1000PR_degreesPulse";"0.36";"";
"dielectric_strength";"Sufficient to withstand the following for 1 minute:  Case - Motor and sensor windings 1.5 kVAC 50 Hz or 60 Hz";"";
"HoldingTorqatMotor_Standstill_Nxm";"0.15";"";
"permissible_speed_range_r_min";"";"";
"excitation_current";"";"";
"TraceParts.InstanceId";"90-18012022-05371636FDR7KA1GQNQOJK3QTZMLD2H";"";
"shaft_gear_type";"Round Shaft with Flat (No Gearhead)";"";
"Holding_Torque_oz_in";"42";"";
"HoldingTorqatMotorStandstilloz_in";"21";"";
"rohs_compliant";"These products do not contain substances that exceed the regulation values in the RoHS Directive.";"";
"ce_marking";"EMC Directives";"";
"electromagnetic_brake";"Not Equipped";"";
"Controller_Power_Supply";"";"";
"Operating_Atmosphere";"Use in an area without corrosive gases and dust. The product should not be exposed to water, oil or other liquids.";"";
"stop_position_accuracy";"±4 arc minutes (±0.067º)";"";
"Cable_Direction";"";"";
"type";"Mechanical Absolute Encoder";"";
"Motor_Length_mm";"70";"";
"Driver_Voltage_Input_Power";"DC";"";
