zone,box_id,rack_name,slot_id,row,col,x_mm,y_mm,z_insert_mm,z_pick_75mm,z_pick_100mm,z_place_75mm,z_place_100mm,slot_role,notes
input,input_box_1,input_box_1_4x6,A1,A,1,-400.000,327.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,A2,A,2,-372.000,327.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,A3,A,3,-344.000,327.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,A4,A,4,-316.000,327.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,A5,A,5,-288.000,327.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,A6,A,6,-260.000,327.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,B1,B,1,-400.000,299.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,B2,B,2,-372.000,299.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,B3,B,3,-344.000,299.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_1,input_box_1_4x6,B4,B,4,-316.000,299.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
