animation_id,frame_id,run_id,sample_id,state,category,x_mm,y_mm,target_zone,event_type,event_label,notes
baseline_multi_box_sorting,1,baseline_multi_box_run,MBOX-001,MOVE_SAFE_ABOVE_INPUT,Category A,-400.000,327.000,output_A,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,2,baseline_multi_box_run,MBOX-001,PICK_TUBE,Category A,-400.000,327.000,output_A,pick,pick tube,pick tube
baseline_multi_box_sorting,3,baseline_multi_box_run,MBOX-001,MOVE_SAFE_ABOVE_SCAN,Category A,-140.000,60.000,output_A,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,4,baseline_multi_box_run,MBOX-001,SCAN_BARCODE,Category A,-140.000,60.000,output_A,scan,scan barcode,scan and classify
baseline_multi_box_sorting,5,baseline_multi_box_run,MBOX-001,CLASSIFY_SAMPLE,Category A,-140.000,60.000,output_A,classify,classify sample,scan and classify
baseline_multi_box_sorting,6,baseline_multi_box_run,MBOX-001,LIFT_TO_SAFE_Z_AFTER_SCAN,Category A,-140.000,60.000,output_A,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,7,baseline_multi_box_run,MBOX-001,MOVE_SAFE_ABOVE_TARGET,Category A,90.000,212.000,output_A,move_to_output,move to target,move above target
baseline_multi_box_sorting,8,baseline_multi_box_run,MBOX-001,PLACE_TUBE,Category A,90.000,212.000,output_A,place_to_output,place to Category A,place tube
baseline_multi_box_sorting,9,baseline_multi_box_run,MBOX-002,LIFT_TO_SAFE_Z,Category B,-372.000,327.000,output_B,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,10,baseline_multi_box_run,MBOX-002,PLACE_TUBE,Category B,300.000,212.000,output_B,place_to_output,place to Category B,place tube
baseline_multi_box_sorting,11,baseline_multi_box_run,MBOX-003,SCAN_BARCODE,Category C,-140.000,60.000,output_C,scan,scan barcode,scan and classify
