trajectory_id,sample_id,step_order,state,zone,slot_id,x_mm,y_mm,z_mm,gripper_action,scanner_action,expected_result,notes
traj_001,TUBE-001,1,MOVE_SAFE_ABOVE_INPUT,input,A1,-230.000,342.000,180.000,open,idle,,above input slot
traj_001,TUBE-001,2,APPROACH_INPUT_SLOT,input,A1,-230.000,342.000,120.000,open,idle,,approach input slot
traj_001,TUBE-001,3,PICK_TUBE,input,A1,-230.000,342.000,55.000,close,idle,,grip 75 mm tube
traj_001,TUBE-001,4,LIFT_TO_SAFE_Z,input,A1,-230.000,342.000,180.000,hold,idle,,lift picked tube
traj_001,TUBE-001,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_001,TUBE-001,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_001,TUBE-001,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category C,scan and classify sample
traj_001,TUBE-001,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_001,TUBE-001,9,MOVE_SAFE_ABOVE_TARGET,category_c_bin,A1,62.000,-316.000,180.000,hold,idle,,move above selected target
traj_001,TUBE-001,10,APPROACH_TARGET_SLOT,category_c_bin,A1,62.000,-316.000,120.000,hold,idle,,approach target slot
traj_001,TUBE-001,11,PLACE_TUBE,category_c_bin,A1,62.000,-316.000,45.000,open,idle,,place 75 mm tube
traj_001,TUBE-001,12,RETREAT_TO_SAFE_Z,category_c_bin,A1,62.000,-316.000,180.000,open,idle,,retreat after place
traj_002,TUBE-002,1,MOVE_SAFE_ABOVE_INPUT,input,A2,-202.000,342.000,180.000,open,idle,,above input slot
traj_002,TUBE-002,2,APPROACH_INPUT_SLOT,input,A2,-202.000,342.000,120.000,open,idle,,approach input slot
traj_002,TUBE-002,3,PICK_TUBE,input,A2,-202.000,342.000,55.000,close,idle,,grip 75 mm tube
traj_002,TUBE-002,4,LIFT_TO_SAFE_Z,input,A2,-202.000,342.000,180.000,hold,idle,,lift picked tube
traj_002,TUBE-002,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_002,TUBE-002,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_002,TUBE-002,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category A,scan and classify sample
traj_002,TUBE-002,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_002,TUBE-002,9,MOVE_SAFE_ABOVE_TARGET,category_a_bin,A1,62.000,-146.000,180.000,hold,idle,,move above selected target
traj_002,TUBE-002,10,APPROACH_TARGET_SLOT,category_a_bin,A1,62.000,-146.000,120.000,hold,idle,,approach target slot
traj_002,TUBE-002,11,PLACE_TUBE,category_a_bin,A1,62.000,-146.000,45.000,open,idle,,place 75 mm tube
traj_002,TUBE-002,12,RETREAT_TO_SAFE_Z,category_a_bin,A1,62.000,-146.000,180.000,open,idle,,retreat after place
traj_003,TUBE-003,1,MOVE_SAFE_ABOVE_INPUT,input,A3,-174.000,342.000,180.000,open,idle,,above input slot
traj_003,TUBE-003,2,APPROACH_INPUT_SLOT,input,A3,-174.000,342.000,120.000,open,idle,,approach input slot
traj_003,TUBE-003,3,PICK_TUBE,input,A3,-174.000,342.000,80.000,close,idle,,grip 100 mm tube
traj_003,TUBE-003,4,LIFT_TO_SAFE_Z,input,A3,-174.000,342.000,180.000,hold,idle,,lift picked tube
traj_003,TUBE-003,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_003,TUBE-003,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_003,TUBE-003,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,fail / unknown,scan and classify sample
