zone,rack_name,slot_id,row,col,x_mm,y_mm,z_insert_mm,z_pick_75mm,z_pick_100mm,notes
input,input_mixed_tube_rack_4x6,A1,A,1,-230.000,342.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,A2,A,2,-202.000,342.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,A3,A,3,-174.000,342.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,A4,A,4,-146.000,342.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,A5,A,5,-118.000,342.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,A6,A,6,-90.000,342.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,B1,B,1,-230.000,314.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,B2,B,2,-202.000,314.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,B3,B,3,-174.000,314.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,B4,B,4,-146.000,314.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,B5,B,5,-118.000,314.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,B6,B,6,-90.000,314.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,C1,C,1,-230.000,286.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,C2,C,2,-202.000,286.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,C3,C,3,-174.000,286.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,C4,C,4,-146.000,286.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,C5,C,5,-118.000,286.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,C6,C,6,-90.000,286.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,D1,D,1,-230.000,258.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,D2,D,2,-202.000,258.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,D3,D,3,-174.000,258.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,D4,D,4,-146.000,258.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,D5,D,5,-118.000,258.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
input,input_mixed_tube_rack_4x6,D6,D,6,-90.000,258.000,25.000,55.000,80.000,v6 input rack origin; 28 mm pitch from custom rack geometry
output_A,category_A_output_bin_2x3,A1,A,1,62.000,-146.000,25.000,45.000,70.000,v6 output/review bin origin; 28 mm pitch from custom bin geometry
output_A,category_A_output_bin_2x3,A2,A,2,90.000,-146.000,25.000,45.000,70.000,v6 output/review bin origin; 28 mm pitch from custom bin geometry
