zone,rack_name,slot_id,x_mm,y_mm,z_insert_mm,safe_z_mm,approach_z_mm,reachable_xy,reachable_z,overall_status,notes
input,input_mixed_tube_rack_4x6,A1,-230.000,342.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,A2,-202.000,342.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,A3,-174.000,342.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,A4,-146.000,342.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,A5,-118.000,342.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,A6,-90.000,342.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,B1,-230.000,314.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,B2,-202.000,314.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,B3,-174.000,314.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,B4,-146.000,314.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,B5,-118.000,314.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,B6,-90.000,314.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,C1,-230.000,286.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,C2,-202.000,286.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,C3,-174.000,286.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,C4,-146.000,286.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,C5,-118.000,286.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,C6,-90.000,286.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,D1,-230.000,258.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,D2,-202.000,258.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,D3,-174.000,258.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,D4,-146.000,258.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,D5,-118.000,258.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
input,input_mixed_tube_rack_4x6,D6,-90.000,258.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
output_A,category_A_output_bin_2x3,A1,62.000,-146.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
output_A,category_A_output_bin_2x3,A2,90.000,-146.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
output_A,category_A_output_bin_2x3,A3,118.000,-146.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
output_A,category_A_output_bin_2x3,B1,62.000,-174.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
output_A,category_A_output_bin_2x3,B2,90.000,-174.000,25.000,180.000,120.000,yes,yes,reachable,within initial Stage 6A envelope
