frame_id,sample_id,state,x_mm,y_mm,target_zone,event_label,notes
1,TUBE-001,MOVE_SAFE_ABOVE_INPUT,-230.000,342.000,category_c_bin,Category C,above input slot
2,TUBE-001,APPROACH_INPUT_SLOT,-230.000,342.000,category_c_bin,Category C,approach input slot
3,TUBE-001,PICK_TUBE,-230.000,342.000,category_c_bin,Category C,grip 75 mm tube
4,TUBE-001,LIFT_TO_SAFE_Z,-230.000,342.000,category_c_bin,Category C,lift picked tube
5,TUBE-001,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_c_bin,Category C,move above scan station
6,TUBE-001,APPROACH_SCAN_STATION,-92.000,170.000,category_c_bin,Category C,present tube to scanner
7,TUBE-001,SCAN_BARCODE,-92.000,170.000,category_c_bin,Category C,scan and classify sample
8,TUBE-001,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_c_bin,Category C,lift after scan
9,TUBE-001,MOVE_SAFE_ABOVE_TARGET,62.000,-316.000,category_c_bin,Category C,move above selected target
10,TUBE-001,APPROACH_TARGET_SLOT,62.000,-316.000,category_c_bin,Category C,approach target slot
11,TUBE-001,PLACE_TUBE,62.000,-316.000,category_c_bin,Category C,place 75 mm tube
12,TUBE-001,RETREAT_TO_SAFE_Z,62.000,-316.000,category_c_bin,Category C,retreat after place
13,TUBE-002,MOVE_SAFE_ABOVE_INPUT,-202.000,342.000,category_a_bin,Category A,above input slot
14,TUBE-002,APPROACH_INPUT_SLOT,-202.000,342.000,category_a_bin,Category A,approach input slot
15,TUBE-002,PICK_TUBE,-202.000,342.000,category_a_bin,Category A,grip 75 mm tube
16,TUBE-002,LIFT_TO_SAFE_Z,-202.000,342.000,category_a_bin,Category A,lift picked tube
17,TUBE-002,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_a_bin,Category A,move above scan station
18,TUBE-002,APPROACH_SCAN_STATION,-92.000,170.000,category_a_bin,Category A,present tube to scanner
19,TUBE-002,SCAN_BARCODE,-92.000,170.000,category_a_bin,Category A,scan and classify sample
20,TUBE-002,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_a_bin,Category A,lift after scan
21,TUBE-002,MOVE_SAFE_ABOVE_TARGET,62.000,-146.000,category_a_bin,Category A,move above selected target
22,TUBE-002,APPROACH_TARGET_SLOT,62.000,-146.000,category_a_bin,Category A,approach target slot
23,TUBE-002,PLACE_TUBE,62.000,-146.000,category_a_bin,Category A,place 75 mm tube
24,TUBE-002,RETREAT_TO_SAFE_Z,62.000,-146.000,category_a_bin,Category A,retreat after place
25,TUBE-003,MOVE_SAFE_ABOVE_INPUT,-174.000,342.000,manual_review_bin,scan_failed / manual_review,above input slot
26,TUBE-003,APPROACH_INPUT_SLOT,-174.000,342.000,manual_review_bin,scan_failed / manual_review,approach input slot
27,TUBE-003,PICK_TUBE,-174.000,342.000,manual_review_bin,scan_failed / manual_review,grip 100 mm tube
28,TUBE-003,LIFT_TO_SAFE_Z,-174.000,342.000,manual_review_bin,scan_failed / manual_review,lift picked tube
