step_id,sample_id,input_slot,tube_height_mm,barcode_status,category,target_zone,target_slot,action_sequence,failure_handling,notes
1,TUBE-001,A1,75,success,Category C,category_c_bin,A1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_c_bin A1
2,TUBE-002,A2,75,success,Category A,category_a_bin,A1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_a_bin A1
3,TUBE-003,A3,100,fail,unknown,manual_review_bin,A1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > MOVE_TO_MANUAL_REVIEW > PLACE_TUBE,scan fail routes to manual review,scan fail routes to manual review; manifest target=manual_review_bin A1
4,TUBE-004,A4,100,success,Category B,category_b_bin,A1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_b_bin A1
5,TUBE-005,A5,75,success,Category D,category_d_bin,A1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_d_bin A1
6,TUBE-006,A6,75,success,Category A,category_a_bin,A2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_a_bin A2
7,TUBE-007,B1,100,success,Category B,category_b_bin,A2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_b_bin A2
8,TUBE-008,B2,75,success,Category C,category_c_bin,A2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_c_bin A2
9,TUBE-009,B3,75,success,Category D,category_d_bin,A2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_d_bin A2
10,TUBE-010,B4,75,success,Category A,category_a_bin,A3,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_a_bin A3
11,TUBE-011,B5,100,success,Category B,category_b_bin,A3,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_b_bin A3
12,TUBE-012,B6,75,success,Category C,category_c_bin,A3,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_c_bin A3
13,TUBE-013,C1,75,success,Category D,category_d_bin,A3,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_d_bin A3
14,TUBE-014,C2,75,success,Category A,category_a_bin,B1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_a_bin B1
15,TUBE-015,C3,100,success,Category B,category_b_bin,B1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_b_bin B1
16,TUBE-016,C4,75,fail,unknown,manual_review_bin,A2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > MOVE_TO_MANUAL_REVIEW > PLACE_TUBE,scan fail routes to manual review,scan fail routes to manual review; manifest target=manual_review_bin A2
17,TUBE-017,C5,75,success,Category C,category_c_bin,B1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_c_bin B1
18,TUBE-018,C6,75,success,Category D,category_d_bin,B1,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_d_bin B1
19,TUBE-019,D1,75,success,Category A,category_a_bin,B2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_a_bin B2
20,TUBE-020,D2,100,success,Category B,category_b_bin,B2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_b_bin B2
21,TUBE-021,D3,75,success,Category C,category_c_bin,B2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_c_bin B2
22,TUBE-022,D4,75,success,Category D,category_d_bin,B2,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_d_bin B2
23,TUBE-023,D5,75,success,Category A,category_a_bin,B3,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_a_bin B3
24,TUBE-024,D6,100,success,Category B,category_b_bin,B3,MOVE_TO_INPUT_SLOT > PICK_TUBE > LIFT_TO_SAFE_Z > MOVE_TO_SCAN_STATION > SCAN_BARCODE > CLASSIFY_SAMPLE > MOVE_TO_OUTPUT_SLOT > PLACE_TUBE,,normal category route; manifest target=category_b_bin B3
