trajectory_id,sample_id,step_order,state,x_mm,y_mm,z_mm,within_x_range,within_y_range,within_z_range,check_status,notes
traj_001,TUBE-001,1,MOVE_SAFE_ABOVE_INPUT,-230.000,342.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,2,APPROACH_INPUT_SLOT,-230.000,342.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,3,PICK_TUBE,-230.000,342.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,4,LIFT_TO_SAFE_Z,-230.000,342.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,9,MOVE_SAFE_ABOVE_TARGET,62.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,10,APPROACH_TARGET_SLOT,62.000,-316.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,11,PLACE_TUBE,62.000,-316.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_001,TUBE-001,12,RETREAT_TO_SAFE_Z,62.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_002,TUBE-002,1,MOVE_SAFE_ABOVE_INPUT,-202.000,342.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_002,TUBE-002,2,APPROACH_INPUT_SLOT,-202.000,342.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_002,TUBE-002,3,PICK_TUBE,-202.000,342.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_002,TUBE-002,4,LIFT_TO_SAFE_Z,-202.000,342.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_002,TUBE-002,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_002,TUBE-002,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
