scenario_id,task_id,tube_id,parameter_set_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,task_tracking_status,notes
baseline,TASK-7B1-001,TUBE-7B1-001,aggressive_pid,0.021,0.022,0.027,0.304,0.321,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-001,TUBE-7B1-001,balanced_pid,0.069,0.068,0.047,0.844,0.891,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-001,TUBE-7B1-001,conservative_pid,5.091,4.247,2.516,9.231,8.337,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-002,TUBE-7B1-002,aggressive_pid,0.041,0.029,0.026,0.459,0.363,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-002,TUBE-7B1-002,balanced_pid,0.085,0.053,0.046,1.139,0.656,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-002,TUBE-7B1-002,conservative_pid,5.601,4.052,2.482,10.658,7.451,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-003,TUBE-7B1-003,aggressive_pid,0.032,0.03,0.028,0.328,0.314,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-003,TUBE-7B1-003,balanced_pid,0.098,0.083,0.048,0.91,0.872,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-003,TUBE-7B1-003,conservative_pid,4.82,3.631,2.583,10.384,8.165,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-004,TUBE-7B1-004,aggressive_pid,0.043,0.028,0.026,0.628,0.382,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-004,TUBE-7B1-004,balanced_pid,0.082,0.083,0.046,0.814,0.923,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-004,TUBE-7B1-004,conservative_pid,5.266,4.544,2.48,10.753,9.0,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
