scenario_id,task_id,tube_id,time_s,vx_mm_s,vy_mm_s,vz_mm_s,speed_xy_mm_s,motion_type,notes
baseline,TASK-7B1-001,TUBE-7B1-001,0.0,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.02,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.04,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.06,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.08,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.1,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.12,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.14,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.16,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.18,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.2,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.22,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.24,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.26,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.28,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.3,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.32,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.34,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.36,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.38,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.4,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.42,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.44,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.46,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.48,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.5,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.52,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.54,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.56,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.58,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
baseline,TASK-7B1-001,TUBE-7B1-001,0.6,-230.769,-163.462,0.0,282.797,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
