scenario_id,stage_name,total_time_s,percentage_of_robot_active_time,percentage_of_total_elapsed_time,notes
baseline,xy_motion,171.211,29.783,29.783,Concept-level stage timing estimate.
baseline,z_motion,217.35,37.809,37.809,Concept-level stage timing estimate.
baseline,scan_wait,69.0,12.003,12.003,Concept-level stage timing estimate.
baseline,gripper_action,75.9,13.203,13.203,Concept-level stage timing estimate.
baseline,settle_time,41.4,7.202,7.202,Concept-level stage timing estimate.
baseline,operator_wait,0.0,0.0,0.0,Concept-level stage timing estimate.
baseline,retry_time,0.0,0.0,0.0,Concept-level stage timing estimate.
forced_category_A_full,xy_motion,171.211,29.783,28.782,Concept-level stage timing estimate.
forced_category_A_full,z_motion,217.35,37.809,36.538,Concept-level stage timing estimate.
forced_category_A_full,scan_wait,69.0,12.003,11.599,Concept-level stage timing estimate.
forced_category_A_full,gripper_action,75.9,13.203,12.759,Concept-level stage timing estimate.
forced_category_A_full,settle_time,41.4,7.202,6.96,Concept-level stage timing estimate.
forced_category_A_full,operator_wait,20.0,0.0,3.362,Concept-level stage timing estimate.
forced_category_A_full,retry_time,0.0,0.0,0.0,Concept-level stage timing estimate.
manual_review_limited_capacity,xy_motion,165.697,29.714,28.685,Concept-level stage timing estimate.
manual_review_limited_capacity,z_motion,211.05,37.847,36.536,Concept-level stage timing estimate.
manual_review_limited_capacity,scan_wait,67.0,12.015,11.599,Concept-level stage timing estimate.
manual_review_limited_capacity,gripper_action,73.7,13.216,12.759,Concept-level stage timing estimate.
manual_review_limited_capacity,settle_time,40.2,7.209,6.959,Concept-level stage timing estimate.
manual_review_limited_capacity,operator_wait,20.0,0.0,3.462,Concept-level stage timing estimate.
manual_review_limited_capacity,retry_time,0.0,0.0,0.0,Concept-level stage timing estimate.
pick_failure_test,xy_motion,168.454,29.271,29.271,Concept-level stage timing estimate.
pick_failure_test,z_motion,217.35,37.767,37.767,Concept-level stage timing estimate.
pick_failure_test,scan_wait,68.0,11.816,11.816,Concept-level stage timing estimate.
pick_failure_test,gripper_action,76.6,13.31,13.31,Concept-level stage timing estimate.
pick_failure_test,settle_time,41.1,7.142,7.142,Concept-level stage timing estimate.
pick_failure_test,operator_wait,0.0,0.0,0.0,Concept-level stage timing estimate.
pick_failure_test,retry_time,4.0,0.695,0.695,Concept-level stage timing estimate.
