input_box_id,rack_type,slot_row,slot_col,slot_id,tube_present,tube_id,x_mm,y_mm,z_pick_mm,slot_status,notes
input_box_01,input_4x6,1,1,R1C1,true,TUBE-7B1-001,-240,-170,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,1,2,R1C2,true,TUBE-7B1-002,-215,-170,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,1,3,R1C3,true,TUBE-7B1-003,-190,-170,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,1,4,R1C4,false,,-165,-170,145,empty,internal occupancy table source; no camera
input_box_01,input_4x6,1,5,R1C5,true,TUBE-7B1-004,-140,-170,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,1,6,R1C6,true,TUBE-7B1-005,-115,-170,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,2,1,R2C1,true,TUBE-7B1-006,-240,-145,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,2,2,R2C2,false,,-215,-145,145,empty,internal occupancy table source; no camera
input_box_01,input_4x6,2,3,R2C3,true,TUBE-7B1-007,-190,-145,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,2,4,R2C4,true,TUBE-7B1-008,-165,-145,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,2,5,R2C5,true,TUBE-7B1-009,-140,-145,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,2,6,R2C6,false,,-115,-145,145,empty,internal occupancy table source; no camera
input_box_01,input_4x6,3,1,R3C1,true,TUBE-7B1-010,-240,-120,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,3,2,R3C2,true,TUBE-7B1-011,-215,-120,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,3,3,R3C3,true,TUBE-7B1-012,-190,-120,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,3,4,R3C4,false,,-165,-120,145,empty,internal occupancy table source; no camera
input_box_01,input_4x6,3,5,R3C5,true,TUBE-7B1-013,-140,-120,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,3,6,R3C6,true,TUBE-7B1-014,-115,-120,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,4,1,R4C1,true,TUBE-7B1-015,-240,-95,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,4,2,R4C2,false,,-215,-95,145,empty,internal occupancy table source; no camera
input_box_01,input_4x6,4,3,R4C3,true,TUBE-7B1-016,-190,-95,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,4,4,R4C4,true,TUBE-7B1-017,-165,-95,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,4,5,R4C5,true,TUBE-7B1-018,-140,-95,145,occupied,internal occupancy table source; no camera
input_box_01,input_4x6,4,6,R4C6,false,,-115,-95,145,empty,internal occupancy table source; no camera
input_box_02,input_4x6,1,1,R1C1,true,TUBE-7B1-019,-60,-170,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,1,2,R1C2,true,TUBE-7B1-020,-35,-170,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,1,3,R1C3,true,TUBE-7B1-021,-10,-170,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,1,4,R1C4,false,,15,-170,145,empty,internal occupancy table source; no camera
input_box_02,input_4x6,1,5,R1C5,true,TUBE-7B1-022,40,-170,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,1,6,R1C6,true,TUBE-7B1-023,65,-170,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,2,1,R2C1,false,,-60,-145,145,empty,internal occupancy table source; no camera
input_box_02,input_4x6,2,2,R2C2,false,,-35,-145,145,empty,internal occupancy table source; no camera
input_box_02,input_4x6,2,3,R2C3,true,TUBE-7B1-024,-10,-145,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,2,4,R2C4,true,TUBE-7B1-025,15,-145,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,2,5,R2C5,true,TUBE-7B1-026,40,-145,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,2,6,R2C6,false,,65,-145,145,empty,internal occupancy table source; no camera
input_box_02,input_4x6,3,1,R3C1,true,TUBE-7B1-027,-60,-120,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,3,2,R3C2,true,TUBE-7B1-028,-35,-120,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,3,3,R3C3,true,TUBE-7B1-029,-10,-120,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,3,4,R3C4,false,,15,-120,145,empty,internal occupancy table source; no camera
input_box_02,input_4x6,3,5,R3C5,true,TUBE-7B1-030,40,-120,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,3,6,R3C6,true,TUBE-7B1-031,65,-120,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,4,1,R4C1,true,TUBE-7B1-032,-60,-95,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,4,2,R4C2,false,,-35,-95,145,empty,internal occupancy table source; no camera
input_box_02,input_4x6,4,3,R4C3,true,TUBE-7B1-033,-10,-95,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,4,4,R4C4,true,TUBE-7B1-034,15,-95,145,occupied,internal occupancy table source; no camera
input_box_02,input_4x6,4,5,R4C5,false,,40,-95,145,empty,internal occupancy table source; no camera
input_box_02,input_4x6,4,6,R4C6,false,,65,-95,145,empty,internal occupancy table source; no camera
input_box_03,input_4x6,1,1,R1C1,true,TUBE-7B1-035,-240,-10,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,1,2,R1C2,true,TUBE-7B1-036,-215,-10,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,1,3,R1C3,true,TUBE-7B1-037,-190,-10,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,1,4,R1C4,false,,-165,-10,145,empty,internal occupancy table source; no camera
input_box_03,input_4x6,1,5,R1C5,true,TUBE-7B1-038,-140,-10,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,1,6,R1C6,true,TUBE-7B1-039,-115,-10,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,2,1,R2C1,true,TUBE-7B1-040,-240,15,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,2,2,R2C2,false,,-215,15,145,empty,internal occupancy table source; no camera
input_box_03,input_4x6,2,3,R2C3,true,TUBE-7B1-041,-190,15,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,2,4,R2C4,true,TUBE-7B1-042,-165,15,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,2,5,R2C5,true,TUBE-7B1-043,-140,15,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,2,6,R2C6,false,,-115,15,145,empty,internal occupancy table source; no camera
input_box_03,input_4x6,3,1,R3C1,true,TUBE-7B1-044,-240,40,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,3,2,R3C2,true,TUBE-7B1-045,-215,40,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,3,3,R3C3,true,TUBE-7B1-046,-190,40,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,3,4,R3C4,false,,-165,40,145,empty,internal occupancy table source; no camera
input_box_03,input_4x6,3,5,R3C5,true,TUBE-7B1-047,-140,40,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,3,6,R3C6,true,TUBE-7B1-048,-115,40,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,4,1,R4C1,true,TUBE-7B1-049,-240,65,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,4,2,R4C2,false,,-215,65,145,empty,internal occupancy table source; no camera
input_box_03,input_4x6,4,3,R4C3,true,TUBE-7B1-050,-190,65,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,4,4,R4C4,true,TUBE-7B1-051,-165,65,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,4,5,R4C5,true,TUBE-7B1-052,-140,65,145,occupied,internal occupancy table source; no camera
input_box_03,input_4x6,4,6,R4C6,false,,-115,65,145,empty,internal occupancy table source; no camera
input_box_04,input_4x6,1,1,R1C1,false,,-60,-10,145,empty,internal occupancy table source; no camera
input_box_04,input_4x6,1,2,R1C2,true,TUBE-7B1-053,-35,-10,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,1,3,R1C3,true,TUBE-7B1-054,-10,-10,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,1,4,R1C4,false,,15,-10,145,empty,internal occupancy table source; no camera
input_box_04,input_4x6,1,5,R1C5,true,TUBE-7B1-055,40,-10,145,occupied,internal occupancy table source; no camera
