scenario_id,timestamp_step,manual_review_box_id,occupied_slots,available_slots,capacity_slots,state,event,notes
baseline,0,manual_review_01,0,6,6,available,scenario_start,manual review is reserved for true abnormal samples
baseline,8,manual_review_01,1,5,6,available,place_manual_review,manual review is reserved for true abnormal samples
baseline,26,manual_review_01,2,4,6,available,place_manual_review,manual review is reserved for true abnormal samples
baseline,56,manual_review_01,3,3,6,available,place_manual_review,manual review is reserved for true abnormal samples
baseline,88,manual_review_01,4,2,6,available,place_manual_review,manual review is reserved for true abnormal samples
baseline,118,manual_review_01,5,1,6,near_full,place_manual_review,manual review is reserved for true abnormal samples
forced_category_A_full,0,manual_review_01,0,6,6,available,scenario_start,manual review is reserved for true abnormal samples
forced_category_A_full,8,manual_review_01,1,5,6,available,place_manual_review,manual review is reserved for true abnormal samples
forced_category_A_full,24,manual_review_01,2,4,6,available,place_manual_review,manual review is reserved for true abnormal samples
forced_category_A_full,50,manual_review_01,3,3,6,available,place_manual_review,manual review is reserved for true abnormal samples
forced_category_A_full,79,manual_review_01,4,2,6,available,place_manual_review,manual review is reserved for true abnormal samples
forced_category_A_full,105,manual_review_01,5,1,6,near_full,place_manual_review,manual review is reserved for true abnormal samples
manual_review_limited_capacity,0,manual_review_01,0,3,3,available,scenario_start,manual review is reserved for true abnormal samples
manual_review_limited_capacity,8,manual_review_01,1,2,3,available,place_manual_review,manual review is reserved for true abnormal samples
manual_review_limited_capacity,26,manual_review_01,2,1,3,near_full,place_manual_review,manual review is reserved for true abnormal samples
manual_review_limited_capacity,56,manual_review_01,3,0,3,full,place_manual_review,manual review is reserved for true abnormal samples
pick_failure_test,0,manual_review_01,0,6,6,available,scenario_start,manual review is reserved for true abnormal samples
pick_failure_test,10,manual_review_01,1,5,6,available,place_manual_review,manual review is reserved for true abnormal samples
pick_failure_test,29,manual_review_01,2,4,6,available,place_manual_review,manual review is reserved for true abnormal samples
pick_failure_test,59,manual_review_01,3,3,6,available,place_manual_review,manual review is reserved for true abnormal samples
pick_failure_test,91,manual_review_01,4,2,6,available,place_manual_review,manual review is reserved for true abnormal samples
pick_failure_test,121,manual_review_01,5,1,6,near_full,place_manual_review,manual review is reserved for true abnormal samples
