scenario_id,task_id,check_item,axis,measured_value,limit_value,status,notes
baseline,TASK-7B1-001,x_position_limit,x,240.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-001,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-001,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-001,x_velocity_limit,x,230.769,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-001,y_velocity_limit,y,200.422,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-001,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-001,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-001,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-001,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,x_position_limit,x,330.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,x_velocity_limit,x,256.211,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,y_velocity_limit,y,186.275,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-002,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-003,x_position_limit,x,190.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-003,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
