scenario_id,timestamp_step,output_box_id,occupied_slots,available_slots,state,event,notes
baseline,0,output_box_A,0,24,available,scenario_start,output capacity is capped at 24
baseline,0,output_box_B,0,24,available,scenario_start,output capacity is capped at 24
baseline,0,output_box_C,0,24,available,scenario_start,output capacity is capped at 24
baseline,0,output_box_D,0,24,available,scenario_start,output capacity is capped at 24
baseline,2,output_box_A,1,23,available,place_output_box,output capacity is capped at 24
baseline,4,output_box_B,1,23,available,place_output_box,output capacity is capped at 24
baseline,6,output_box_C,1,23,available,place_output_box,output capacity is capped at 24
baseline,10,output_box_D,1,23,available,place_output_box,output capacity is capped at 24
baseline,12,output_box_A,2,22,available,place_output_box,output capacity is capped at 24
baseline,14,output_box_B,2,22,available,place_output_box,output capacity is capped at 24
baseline,16,output_box_C,2,22,available,place_output_box,output capacity is capped at 24
baseline,18,output_box_D,2,22,available,place_output_box,output capacity is capped at 24
baseline,20,output_box_A,3,21,available,place_output_box,output capacity is capped at 24
baseline,22,output_box_B,3,21,available,place_output_box,output capacity is capped at 24
baseline,24,output_box_C,3,21,available,place_output_box,output capacity is capped at 24
baseline,28,output_box_D,3,21,available,place_output_box,output capacity is capped at 24
baseline,30,output_box_A,4,20,available,place_output_box,output capacity is capped at 24
baseline,32,output_box_B,4,20,available,place_output_box,output capacity is capped at 24
baseline,34,output_box_C,4,20,available,place_output_box,output capacity is capped at 24
baseline,36,output_box_D,4,20,available,place_output_box,output capacity is capped at 24
baseline,38,output_box_A,5,19,available,place_output_box,output capacity is capped at 24
baseline,40,output_box_B,5,19,available,place_output_box,output capacity is capped at 24
baseline,42,output_box_C,5,19,available,place_output_box,output capacity is capped at 24
baseline,44,output_box_D,5,19,available,place_output_box,output capacity is capped at 24
baseline,46,output_box_A,6,18,available,place_output_box,output capacity is capped at 24
baseline,48,output_box_B,6,18,available,place_output_box,output capacity is capped at 24
baseline,50,output_box_C,6,18,available,place_output_box,output capacity is capped at 24
baseline,52,output_box_D,6,18,available,place_output_box,output capacity is capped at 24
baseline,54,output_box_A,7,17,available,place_output_box,output capacity is capped at 24
baseline,58,output_box_B,7,17,available,place_output_box,output capacity is capped at 24
baseline,60,output_box_C,7,17,available,place_output_box,output capacity is capped at 24
baseline,62,output_box_D,7,17,available,place_output_box,output capacity is capped at 24
baseline,64,output_box_A,8,16,available,place_output_box,output capacity is capped at 24
baseline,66,output_box_B,8,16,available,place_output_box,output capacity is capped at 24
baseline,68,output_box_C,8,16,available,place_output_box,output capacity is capped at 24
baseline,70,output_box_D,8,16,available,place_output_box,output capacity is capped at 24
baseline,72,output_box_A,9,15,available,place_output_box,output capacity is capped at 24
baseline,74,output_box_B,9,15,available,place_output_box,output capacity is capped at 24
baseline,76,output_box_C,9,15,available,place_output_box,output capacity is capped at 24
baseline,78,output_box_D,9,15,available,place_output_box,output capacity is capped at 24
baseline,80,output_box_A,10,14,available,place_output_box,output capacity is capped at 24
baseline,82,output_box_B,10,14,available,place_output_box,output capacity is capped at 24
baseline,84,output_box_C,10,14,available,place_output_box,output capacity is capped at 24
baseline,86,output_box_D,10,14,available,place_output_box,output capacity is capped at 24
baseline,90,output_box_A,11,13,available,place_output_box,output capacity is capped at 24
baseline,92,output_box_B,11,13,available,place_output_box,output capacity is capped at 24
baseline,94,output_box_C,11,13,available,place_output_box,output capacity is capped at 24
baseline,96,output_box_D,11,13,available,place_output_box,output capacity is capped at 24
baseline,98,output_box_A,12,12,available,place_output_box,output capacity is capped at 24
baseline,100,output_box_B,12,12,available,place_output_box,output capacity is capped at 24
baseline,102,output_box_C,12,12,available,place_output_box,output capacity is capped at 24
baseline,104,output_box_D,12,12,available,place_output_box,output capacity is capped at 24
baseline,106,output_box_A,13,11,available,place_output_box,output capacity is capped at 24
baseline,108,output_box_B,13,11,available,place_output_box,output capacity is capped at 24
baseline,110,output_box_C,13,11,available,place_output_box,output capacity is capped at 24
baseline,112,output_box_D,13,11,available,place_output_box,output capacity is capped at 24
baseline,114,output_box_A,14,10,available,place_output_box,output capacity is capped at 24
baseline,116,output_box_B,14,10,available,place_output_box,output capacity is capped at 24
baseline,120,output_box_C,14,10,available,place_output_box,output capacity is capped at 24
baseline,122,output_box_D,14,10,available,place_output_box,output capacity is capped at 24
baseline,124,output_box_A,15,9,available,place_output_box,output capacity is capped at 24
baseline,126,output_box_B,15,9,available,place_output_box,output capacity is capped at 24
baseline,128,output_box_C,15,9,available,place_output_box,output capacity is capped at 24
baseline,130,output_box_D,15,9,available,place_output_box,output capacity is capped at 24
baseline,132,output_box_A,16,8,available,place_output_box,output capacity is capped at 24
baseline,134,output_box_B,16,8,available,place_output_box,output capacity is capped at 24
baseline,136,output_box_C,16,8,available,place_output_box,output capacity is capped at 24
baseline,138,output_box_D,16,8,available,place_output_box,output capacity is capped at 24
forced_category_A_full,0,output_box_A,24,0,full,scenario_start,output capacity is capped at 24
forced_category_A_full,0,output_box_B,0,24,available,scenario_start,output capacity is capped at 24
forced_category_A_full,0,output_box_C,0,24,available,scenario_start,output capacity is capped at 24
forced_category_A_full,0,output_box_D,0,24,available,scenario_start,output capacity is capped at 24
forced_category_A_full,4,output_box_B,1,23,available,place_output_box,output capacity is capped at 24
forced_category_A_full,6,output_box_C,1,23,available,place_output_box,output capacity is capped at 24
forced_category_A_full,10,output_box_D,1,23,available,place_output_box,output capacity is capped at 24
forced_category_A_full,13,output_box_B,2,22,available,place_output_box,output capacity is capped at 24
forced_category_A_full,15,output_box_C,2,22,available,place_output_box,output capacity is capped at 24
forced_category_A_full,17,output_box_D,2,22,available,place_output_box,output capacity is capped at 24
forced_category_A_full,20,output_box_B,3,21,available,place_output_box,output capacity is capped at 24
forced_category_A_full,22,output_box_C,3,21,available,place_output_box,output capacity is capped at 24
forced_category_A_full,26,output_box_D,3,21,available,place_output_box,output capacity is capped at 24
forced_category_A_full,29,output_box_B,4,20,available,place_output_box,output capacity is capped at 24
forced_category_A_full,31,output_box_C,4,20,available,place_output_box,output capacity is capped at 24
forced_category_A_full,33,output_box_D,4,20,available,place_output_box,output capacity is capped at 24
forced_category_A_full,36,output_box_B,5,19,available,place_output_box,output capacity is capped at 24
forced_category_A_full,38,output_box_C,5,19,available,place_output_box,output capacity is capped at 24
forced_category_A_full,40,output_box_D,5,19,available,place_output_box,output capacity is capped at 24
forced_category_A_full,43,output_box_B,6,18,available,place_output_box,output capacity is capped at 24
forced_category_A_full,45,output_box_C,6,18,available,place_output_box,output capacity is capped at 24
forced_category_A_full,47,output_box_D,6,18,available,place_output_box,output capacity is capped at 24
forced_category_A_full,52,output_box_B,7,17,available,place_output_box,output capacity is capped at 24
forced_category_A_full,54,output_box_C,7,17,available,place_output_box,output capacity is capped at 24
forced_category_A_full,56,output_box_D,7,17,available,place_output_box,output capacity is capped at 24
forced_category_A_full,59,output_box_B,8,16,available,place_output_box,output capacity is capped at 24
forced_category_A_full,61,output_box_C,8,16,available,place_output_box,output capacity is capped at 24
forced_category_A_full,63,output_box_D,8,16,available,place_output_box,output capacity is capped at 24
forced_category_A_full,66,output_box_B,9,15,available,place_output_box,output capacity is capped at 24
forced_category_A_full,68,output_box_C,9,15,available,place_output_box,output capacity is capped at 24
forced_category_A_full,70,output_box_D,9,15,available,place_output_box,output capacity is capped at 24
forced_category_A_full,73,output_box_B,10,14,available,place_output_box,output capacity is capped at 24
forced_category_A_full,75,output_box_C,10,14,available,place_output_box,output capacity is capped at 24
forced_category_A_full,77,output_box_D,10,14,available,place_output_box,output capacity is capped at 24
forced_category_A_full,82,output_box_B,11,13,available,place_output_box,output capacity is capped at 24
forced_category_A_full,84,output_box_C,11,13,available,place_output_box,output capacity is capped at 24
forced_category_A_full,86,output_box_D,11,13,available,place_output_box,output capacity is capped at 24
forced_category_A_full,89,output_box_B,12,12,available,place_output_box,output capacity is capped at 24
