scenario_id,task_id,tube_id,trial_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,worst_axis,task_status,notes
baseline,TASK-7B1-001,TUBE-7B1-001,1,0.215,0.178,0.322,0.828,0.735,0.619,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-001,TUBE-7B1-001,2,0.213,0.183,0.321,0.698,0.65,0.6,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-001,TUBE-7B1-001,3,0.212,0.179,0.319,0.737,0.698,0.63,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-001,TUBE-7B1-001,4,0.214,0.183,0.324,0.791,0.759,0.637,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-001,TUBE-7B1-001,5,0.216,0.184,0.322,0.712,0.701,0.646,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-002,TUBE-7B1-002,1,0.241,0.182,0.318,1.208,0.928,0.612,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-002,TUBE-7B1-002,2,0.241,0.181,0.317,1.227,0.893,0.615,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-002,TUBE-7B1-002,3,0.244,0.178,0.32,1.143,0.866,0.63,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-002,TUBE-7B1-002,4,0.242,0.179,0.318,1.127,0.836,0.618,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-002,TUBE-7B1-002,5,0.241,0.18,0.315,1.186,0.937,0.607,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-003,TUBE-7B1-003,1,0.207,0.163,0.329,0.653,0.677,0.612,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-003,TUBE-7B1-003,2,0.208,0.165,0.333,0.733,0.732,0.617,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-003,TUBE-7B1-003,3,0.207,0.161,0.33,0.8,0.63,0.616,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-003,TUBE-7B1-003,4,0.211,0.167,0.333,0.75,0.681,0.629,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-003,TUBE-7B1-003,5,0.209,0.162,0.329,0.757,0.697,0.617,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-004,TUBE-7B1-004,1,0.223,0.196,0.317,1.152,0.731,0.62,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-004,TUBE-7B1-004,2,0.223,0.197,0.313,1.188,0.715,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-004,TUBE-7B1-004,3,0.226,0.199,0.315,1.197,0.708,0.635,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-004,TUBE-7B1-004,4,0.23,0.195,0.316,1.09,0.692,0.611,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-004,TUBE-7B1-004,5,0.225,0.197,0.313,1.174,0.7,0.617,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-005,TUBE-7B1-005,1,0.223,0.174,0.327,1.516,0.852,0.632,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-005,TUBE-7B1-005,2,0.222,0.177,0.324,1.472,0.852,0.625,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-005,TUBE-7B1-005,3,0.218,0.173,0.327,1.445,0.714,0.61,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-005,TUBE-7B1-005,4,0.22,0.176,0.328,1.518,0.767,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-005,TUBE-7B1-005,5,0.22,0.176,0.328,1.493,0.847,0.608,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-006,TUBE-7B1-006,1,0.257,0.184,0.321,2.494,1.639,0.626,x,PASS,Task-level robustness summary for balanced_pid.
