scenario_id,event_index,timestamp_step,task_id,tube_id,state_before,event,state_after,source_input_box_id,source_slot_id,barcode_status,sample_category,abnormal_flag,target_type,target_box_id,target_slot_id,output_box_state_before,output_box_state_after,manual_review_state_before,manual_review_state_after,pending_queue_size,notes
baseline,1,1,TASK-7B1-001,TUBE-7B1-001,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R1C1,valid,category_A,false,output_box,output_box_A,S01,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,2,2,TASK-7B1-001,TUBE-7B1-001,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R1C1,valid,category_A,false,output_box,output_box_A,S01,available,available,,,0,normal sample placed in mapped output box
baseline,3,3,TASK-7B1-002,TUBE-7B1-002,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R1C2,valid,category_B,false,output_box,output_box_B,S01,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,4,4,TASK-7B1-002,TUBE-7B1-002,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R1C2,valid,category_B,false,output_box,output_box_B,S01,available,available,,,0,normal sample placed in mapped output box
baseline,5,5,TASK-7B1-003,TUBE-7B1-003,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R1C3,valid,category_C,false,output_box,output_box_C,S01,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,6,6,TASK-7B1-003,TUBE-7B1-003,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R1C3,valid,category_C,false,output_box,output_box_C,S01,available,available,,,0,normal sample placed in mapped output box
baseline,7,7,TASK-7B1-004,TUBE-7B1-004,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R1C5,missing_label,unknown,true,manual_review,manual_review_01,MR04,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,8,8,TASK-7B1-004,TUBE-7B1-004,HANDLE_EXCEPTION,place_manual_review,UPDATE_TABLE,input_box_01,R1C5,missing_label,unknown,true,manual_review,manual_review_01,MR04,,,available,available,0,true abnormal sample placed in manual_review
baseline,9,9,TASK-7B1-005,TUBE-7B1-005,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R1C6,valid,category_D,false,output_box,output_box_D,,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,10,10,TASK-7B1-005,TUBE-7B1-005,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R1C6,valid,category_D,false,output_box,output_box_D,,available,available,,,0,normal sample placed in mapped output box
baseline,11,11,TASK-7B1-006,TUBE-7B1-006,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R2C1,valid,category_A,false,output_box,output_box_A,S02,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,12,12,TASK-7B1-006,TUBE-7B1-006,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R2C1,valid,category_A,false,output_box,output_box_A,S02,available,available,,,0,normal sample placed in mapped output box
baseline,13,13,TASK-7B1-007,TUBE-7B1-007,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R2C3,valid,category_B,false,output_box,output_box_B,S02,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,14,14,TASK-7B1-007,TUBE-7B1-007,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R2C3,valid,category_B,false,output_box,output_box_B,S02,available,available,,,0,normal sample placed in mapped output box
baseline,15,15,TASK-7B1-008,TUBE-7B1-008,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R2C4,valid,category_C,false,output_box,output_box_C,S02,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,16,16,TASK-7B1-008,TUBE-7B1-008,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R2C4,valid,category_C,false,output_box,output_box_C,S02,available,available,,,0,normal sample placed in mapped output box
baseline,17,17,TASK-7B1-009,TUBE-7B1-009,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R2C5,valid,category_D,false,output_box,output_box_D,,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,18,18,TASK-7B1-009,TUBE-7B1-009,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R2C5,valid,category_D,false,output_box,output_box_D,,available,available,,,0,normal sample placed in mapped output box
baseline,19,19,TASK-7B1-010,TUBE-7B1-010,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R3C1,valid,category_A,false,output_box,output_box_A,S03,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,20,20,TASK-7B1-010,TUBE-7B1-010,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R3C1,valid,category_A,false,output_box,output_box_A,S03,available,available,,,0,normal sample placed in mapped output box
baseline,21,21,TASK-7B1-011,TUBE-7B1-011,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R3C2,valid,category_B,false,output_box,output_box_B,S03,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,22,22,TASK-7B1-011,TUBE-7B1-011,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R3C2,valid,category_B,false,output_box,output_box_B,S03,available,available,,,0,normal sample placed in mapped output box
baseline,23,23,TASK-7B1-012,TUBE-7B1-012,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R3C3,valid,category_C,false,output_box,output_box_C,S03,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,24,24,TASK-7B1-012,TUBE-7B1-012,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R3C3,valid,category_C,false,output_box,output_box_C,S03,available,available,,,0,normal sample placed in mapped output box
baseline,25,25,TASK-7B1-013,TUBE-7B1-013,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R3C5,invalid_barcode,unknown,true,manual_review,manual_review_01,MR13,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,26,26,TASK-7B1-013,TUBE-7B1-013,HANDLE_EXCEPTION,place_manual_review,UPDATE_TABLE,input_box_01,R3C5,invalid_barcode,unknown,true,manual_review,manual_review_01,MR13,,,available,available,0,true abnormal sample placed in manual_review
baseline,27,27,TASK-7B1-014,TUBE-7B1-014,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R3C6,valid,category_D,false,output_box,output_box_D,,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,28,28,TASK-7B1-014,TUBE-7B1-014,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R3C6,valid,category_D,false,output_box,output_box_D,,available,available,,,0,normal sample placed in mapped output box
baseline,29,29,TASK-7B1-015,TUBE-7B1-015,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R4C1,valid,category_A,false,output_box,output_box_A,S04,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,30,30,TASK-7B1-015,TUBE-7B1-015,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R4C1,valid,category_A,false,output_box,output_box_A,S04,available,available,,,0,normal sample placed in mapped output box
baseline,31,31,TASK-7B1-016,TUBE-7B1-016,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R4C3,valid,category_B,false,output_box,output_box_B,S04,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,32,32,TASK-7B1-016,TUBE-7B1-016,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R4C3,valid,category_B,false,output_box,output_box_B,S04,available,available,,,0,normal sample placed in mapped output box
baseline,33,33,TASK-7B1-017,TUBE-7B1-017,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R4C4,valid,category_C,false,output_box,output_box_C,S04,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,34,34,TASK-7B1-017,TUBE-7B1-017,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R4C4,valid,category_C,false,output_box,output_box_C,S04,available,available,,,0,normal sample placed in mapped output box
baseline,35,35,TASK-7B1-018,TUBE-7B1-018,IDLE,load_task,SELECT_NEXT_TUBE,input_box_01,R4C5,valid,category_D,false,output_box,output_box_D,,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,36,36,TASK-7B1-018,TUBE-7B1-018,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_01,R4C5,valid,category_D,false,output_box,output_box_D,,available,available,,,0,normal sample placed in mapped output box
baseline,37,37,TASK-7B1-019,TUBE-7B1-019,IDLE,load_task,SELECT_NEXT_TUBE,input_box_02,R1C1,valid,category_A,false,output_box,output_box_A,S05,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,38,38,TASK-7B1-019,TUBE-7B1-019,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_02,R1C1,valid,category_A,false,output_box,output_box_A,S05,available,available,,,0,normal sample placed in mapped output box
baseline,39,39,TASK-7B1-020,TUBE-7B1-020,IDLE,load_task,SELECT_NEXT_TUBE,input_box_02,R1C2,valid,category_B,false,output_box,output_box_B,S05,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,40,40,TASK-7B1-020,TUBE-7B1-020,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_02,R1C2,valid,category_B,false,output_box,output_box_B,S05,available,available,,,0,normal sample placed in mapped output box
baseline,41,41,TASK-7B1-021,TUBE-7B1-021,IDLE,load_task,SELECT_NEXT_TUBE,input_box_02,R1C3,valid,category_C,false,output_box,output_box_C,S05,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,42,42,TASK-7B1-021,TUBE-7B1-021,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_02,R1C3,valid,category_C,false,output_box,output_box_C,S05,available,available,,,0,normal sample placed in mapped output box
baseline,43,43,TASK-7B1-022,TUBE-7B1-022,IDLE,load_task,SELECT_NEXT_TUBE,input_box_02,R1C5,valid,category_D,false,output_box,output_box_D,,,,,,0,tube_present=true task from Stage 7B-1 manifest
baseline,44,44,TASK-7B1-022,TUBE-7B1-022,MOVE_TO_PLACE,place_output_box,UPDATE_TABLE,input_box_02,R1C5,valid,category_D,false,output_box,output_box_D,,available,available,,,0,normal sample placed in mapped output box
