scenario_id,task_id,tube_id,source_input_box_id,source_slot_id,barcode_status,sample_category,abnormal_flag,target_type,target_box_id,target_slot_id,final_status,placed_successfully,went_to_manual_review,entered_pending_queue,resumed_from_pending,pick_failed,retry_count,notes
baseline,TASK-7B1-001,TUBE-7B1-001,input_box_01,R1C1,valid,category_A,false,output_box,output_box_A,S01,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-002,TUBE-7B1-002,input_box_01,R1C2,valid,category_B,false,output_box,output_box_B,S01,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-003,TUBE-7B1-003,input_box_01,R1C3,valid,category_C,false,output_box,output_box_C,S01,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-004,TUBE-7B1-004,input_box_01,R1C5,missing_label,unknown,true,manual_review,manual_review_01,MR04,completed_manual_review,true,true,false,false,false,0,true abnormal sample completed to manual_review
baseline,TASK-7B1-005,TUBE-7B1-005,input_box_01,R1C6,valid,category_D,false,output_box,output_box_D,,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-006,TUBE-7B1-006,input_box_01,R2C1,valid,category_A,false,output_box,output_box_A,S02,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-007,TUBE-7B1-007,input_box_01,R2C3,valid,category_B,false,output_box,output_box_B,S02,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-008,TUBE-7B1-008,input_box_01,R2C4,valid,category_C,false,output_box,output_box_C,S02,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-009,TUBE-7B1-009,input_box_01,R2C5,valid,category_D,false,output_box,output_box_D,,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-010,TUBE-7B1-010,input_box_01,R3C1,valid,category_A,false,output_box,output_box_A,S03,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-011,TUBE-7B1-011,input_box_01,R3C2,valid,category_B,false,output_box,output_box_B,S03,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-012,TUBE-7B1-012,input_box_01,R3C3,valid,category_C,false,output_box,output_box_C,S03,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-013,TUBE-7B1-013,input_box_01,R3C5,invalid_barcode,unknown,true,manual_review,manual_review_01,MR13,completed_manual_review,true,true,false,false,false,0,true abnormal sample completed to manual_review
baseline,TASK-7B1-014,TUBE-7B1-014,input_box_01,R3C6,valid,category_D,false,output_box,output_box_D,,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-015,TUBE-7B1-015,input_box_01,R4C1,valid,category_A,false,output_box,output_box_A,S04,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-016,TUBE-7B1-016,input_box_01,R4C3,valid,category_B,false,output_box,output_box_B,S04,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-017,TUBE-7B1-017,input_box_01,R4C4,valid,category_C,false,output_box,output_box_C,S04,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-018,TUBE-7B1-018,input_box_01,R4C5,valid,category_D,false,output_box,output_box_D,,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-019,TUBE-7B1-019,input_box_02,R1C1,valid,category_A,false,output_box,output_box_A,S05,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-020,TUBE-7B1-020,input_box_02,R1C2,valid,category_B,false,output_box,output_box_B,S05,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-021,TUBE-7B1-021,input_box_02,R1C3,valid,category_C,false,output_box,output_box_C,S05,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-022,TUBE-7B1-022,input_box_02,R1C5,valid,category_D,false,output_box,output_box_D,,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-023,TUBE-7B1-023,input_box_02,R1C6,valid,category_A,false,output_box,output_box_A,S06,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-024,TUBE-7B1-024,input_box_02,R2C3,valid,category_B,false,output_box,output_box_B,S06,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-025,TUBE-7B1-025,input_box_02,R2C4,valid,category_C,false,output_box,output_box_C,S06,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-026,TUBE-7B1-026,input_box_02,R2C5,valid,category_D,false,output_box,output_box_D,,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-027,TUBE-7B1-027,input_box_02,R3C1,valid,category_A,false,output_box,output_box_A,S07,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-028,TUBE-7B1-028,input_box_02,R3C2,abnormal_sample_info,category_B,true,manual_review,manual_review_01,MR28,completed_manual_review,true,true,false,false,false,0,true abnormal sample completed to manual_review
baseline,TASK-7B1-029,TUBE-7B1-029,input_box_02,R3C3,valid,category_B,false,output_box,output_box_B,S07,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-030,TUBE-7B1-030,input_box_02,R3C5,valid,category_C,false,output_box,output_box_C,S07,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-031,TUBE-7B1-031,input_box_02,R3C6,valid,category_D,false,output_box,output_box_D,,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-032,TUBE-7B1-032,input_box_02,R4C1,valid,category_A,false,output_box,output_box_A,S08,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-033,TUBE-7B1-033,input_box_02,R4C3,valid,category_B,false,output_box,output_box_B,S08,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-034,TUBE-7B1-034,input_box_02,R4C4,valid,category_C,false,output_box,output_box_C,S08,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-035,TUBE-7B1-035,input_box_03,R1C1,valid,category_D,false,output_box,output_box_D,,completed_output,true,false,false,false,false,0,normal sample completed to output box
baseline,TASK-7B1-036,TUBE-7B1-036,input_box_03,R1C2,valid,category_A,false,output_box,output_box_A,S09,completed_output,true,false,false,false,false,0,normal sample completed to output box
