scenario_id,task_id,tube_id,segment_index,motion_type,axis_mode,segment_distance_mm,delta_z_mm,time_model,segment_time_s,time_category,notes
baseline,TASK-7B1-001,TUBE-7B1-001,1,xy_move_at_safe_z,xy_axes,294.109,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.04,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,5,xy_move_at_safe_z,xy_axes,306.105,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.075,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,9,xy_move_at_safe_z,xy_axes,261.725,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.948,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-001,TUBE-7B1-001,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,1,xy_move_at_safe_z,xy_axes,274.089,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.983,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,5,xy_move_at_safe_z,xy_axes,286.923,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.02,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,9,xy_move_at_safe_z,xy_axes,380.789,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.288,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-002,TUBE-7B1-002,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,1,xy_move_at_safe_z,xy_axes,254.951,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.928,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,5,xy_move_at_safe_z,xy_axes,268.701,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.968,xy_motion,Concept-level timing assumption.
