scenario_id,task_id,tube_id,state_machine_final_status,trajectory_generated,waypoint_count,segment_count,total_path_length_mm,workspace_status,collision_status,trajectory_status,notes
baseline,TASK-7B1-001,TUBE-7B1-001,completed_output,true,13,12,1131.939,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-002,TUBE-7B1-002,completed_output,true,13,12,1211.801,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-003,TUBE-7B1-003,completed_output,true,13,12,973.93,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-004,TUBE-7B1-004,completed_manual_review,true,13,12,1217.585,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-005,TUBE-7B1-005,completed_output,true,13,12,1027.487,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-006,TUBE-7B1-006,completed_output,true,13,12,1121.156,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-007,TUBE-7B1-007,completed_output,true,13,12,1163.3,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-008,TUBE-7B1-008,completed_output,true,13,12,928.248,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-009,TUBE-7B1-009,completed_output,true,13,12,1043.088,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-010,TUBE-7B1-010,completed_output,true,13,12,1114.506,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-011,TUBE-7B1-011,completed_output,true,13,12,1197.638,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-012,TUBE-7B1-012,completed_output,true,13,12,960.947,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-013,TUBE-7B1-013,completed_manual_review,true,13,12,1122.541,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-014,TUBE-7B1-014,completed_output,true,13,12,997.517,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-015,TUBE-7B1-015,completed_output,true,13,12,1112.25,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-016,TUBE-7B1-016,completed_output,true,13,12,1151.871,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-017,TUBE-7B1-017,completed_output,true,13,12,916.712,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-018,TUBE-7B1-018,completed_output,true,13,12,1025.489,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-019,TUBE-7B1-019,completed_output,true,13,12,987.905,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-020,TUBE-7B1-020,completed_output,true,13,12,1106.869,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-021,TUBE-7B1-021,completed_output,true,13,12,910.736,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-022,TUBE-7B1-022,completed_output,true,13,12,1068.923,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-023,TUBE-7B1-023,completed_output,true,13,12,1012.154,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-024,TUBE-7B1-024,completed_output,true,13,12,1073.724,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-025,TUBE-7B1-025,completed_output,true,13,12,886.618,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-026,TUBE-7B1-026,completed_output,true,13,12,1045.305,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-027,TUBE-7B1-027,completed_output,true,13,12,800.661,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-028,TUBE-7B1-028,completed_manual_review,true,13,12,988.67,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-029,TUBE-7B1-029,completed_output,true,13,12,899.724,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
baseline,TASK-7B1-030,TUBE-7B1-030,completed_output,true,13,12,722.717,WARNING,WARNING,generated_with_warning,simplified Cartesian trajectory; final CAD/Isaac Sim collision verification still required
