time_s,joint_y_gantry_m,joint_x_slider_m,joint_z_axis_m,gripper_left_m,gripper_right_m,active_task_id,active_tube_id,notes
0.0,0.0,0.0,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.02,-0.003269,-0.004615,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.04,-0.006538,-0.009231,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.06,-0.009808,-0.013846,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.08,-0.013077,-0.018462,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.1,-0.016346,-0.023077,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.12,-0.019615,-0.027692,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.14,-0.022885,-0.032308,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.16,-0.026154,-0.036923,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.18,-0.029423,-0.041538,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.2,-0.032692,-0.046154,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.22,-0.035962,-0.050769,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.24,-0.039231,-0.055385,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.26,-0.0425,-0.06,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.28,-0.045769,-0.064615,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.3,-0.049038,-0.069231,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.32,-0.052308,-0.073846,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.34,-0.055577,-0.078462,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.36,-0.058846,-0.083077,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.38,-0.062115,-0.087692,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.4,-0.065385,-0.092308,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.42,-0.068654,-0.096923,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.44,-0.071923,-0.101538,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.46,-0.075192,-0.106154,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.48,-0.078462,-0.110769,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.5,-0.081731,-0.115385,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.52,-0.085,-0.12,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.54,-0.088269,-0.124615,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.56,-0.091538,-0.129231,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.58,-0.094808,-0.133846,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.6,-0.098077,-0.138462,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.62,-0.101346,-0.143077,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.64,-0.104615,-0.147692,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.66,-0.107885,-0.152308,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.68,-0.111154,-0.156923,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.7,-0.114423,-0.161538,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.72,-0.117692,-0.166154,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.74,-0.120962,-0.170769,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.76,-0.124231,-0.175385,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.78,-0.1275,-0.18,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.8,-0.130769,-0.184615,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.82,-0.134038,-0.189231,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.84,-0.137308,-0.193846,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.86,-0.140577,-0.198462,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.88,-0.143846,-0.203077,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.9,-0.147115,-0.207692,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.92,-0.150385,-0.212308,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.94,-0.153654,-0.216923,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.96,-0.156923,-0.221538,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
0.98,-0.160192,-0.226154,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.0,-0.163462,-0.230769,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.02,-0.166731,-0.235385,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.04,-0.17,-0.24,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.04,-0.17,-0.24,0.19,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.06,-0.17,-0.24,0.188286,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.08,-0.17,-0.24,0.186571,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.1,-0.17,-0.24,0.184857,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.12,-0.17,-0.24,0.183143,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.14,-0.17,-0.24,0.181429,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.16,-0.17,-0.24,0.179714,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.18,-0.17,-0.24,0.178,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.2,-0.17,-0.24,0.176286,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.22,-0.17,-0.24,0.174571,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.24,-0.17,-0.24,0.172857,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.26,-0.17,-0.24,0.171143,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.28,-0.17,-0.24,0.169429,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.3,-0.17,-0.24,0.167714,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.32,-0.17,-0.24,0.166,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.34,-0.17,-0.24,0.164286,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.36,-0.17,-0.24,0.162571,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.38,-0.17,-0.24,0.160857,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.4,-0.17,-0.24,0.159143,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.42,-0.17,-0.24,0.157429,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.44,-0.17,-0.24,0.155714,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.46,-0.17,-0.24,0.154,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.48,-0.17,-0.24,0.152286,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.5,-0.17,-0.24,0.150571,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.52,-0.17,-0.24,0.148857,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.54,-0.17,-0.24,0.147143,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.56,-0.17,-0.24,0.145429,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.565,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.565,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.585,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.605,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.625,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.645,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.665,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.685,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.705,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.725,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.745,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.765,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.785,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.805,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.825,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.845,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.865,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.885,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.905,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.925,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.945,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.965,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
1.985,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.005,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.025,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.045,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.065,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.085,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.105,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.125,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.145,-0.17,-0.24,0.145,0.012,-0.012,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.165,-0.17,-0.24,0.145,0.0,0.0,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.165,-0.17,-0.24,0.145,0.0,0.0,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
2.185,-0.17,-0.24,0.146714,0.0,0.0,TASK-7B1-001,TUBE-7B1-001,scenario=baseline; source mm converted to meters for Isaac playback
