time_s,event,x_mm,y_mm,z_mm
0.0,1->5:input_above,88.0,98.0,95.0
0.65,1->5:pick,88.0,98.0,22.0
2.02,1->5:input_above,88.0,98.0,95.0
3.39,1->5:output_above,338.0,133.0,95.0
7.0,1->5:place,338.0,133.0,22.0
8.37,1->5:output_above,338.0,133.0,95.0
9.74,2->3:input_above,123.0,98.0,95.0
12.92,2->3:pick,123.0,98.0,22.0
14.29,2->3:input_above,123.0,98.0,95.0
15.66,2->3:output_above,408.0,98.0,95.0
19.68,2->3:place,408.0,98.0,22.0
21.05,2->3:output_above,408.0,98.0,95.0
22.42,3->8:input_above,158.0,98.0,95.0
26.0,3->8:pick,158.0,98.0,22.0
27.37,3->8:input_above,158.0,98.0,95.0
28.74,3->8:output_above,443.0,133.0,95.0
32.78,3->8:place,443.0,133.0,22.0
34.15,3->8:output_above,443.0,133.0,95.0
35.52,4->2:input_above,193.0,98.0,95.0
39.13,4->2:pick,193.0,98.0,22.0
40.5,4->2:input_above,193.0,98.0,95.0
41.87,4->2:output_above,373.0,98.0,95.0
44.57,4->2:place,373.0,98.0,22.0
45.94,4->2:output_above,373.0,98.0,95.0
47.31,5->10:input_above,88.0,133.0,95.0
51.35,5->10:pick,88.0,133.0,22.0
52.72,5->10:input_above,88.0,133.0,95.0
54.09,5->10:output_above,373.0,168.0,95.0
58.13,5->10:place,373.0,168.0,22.0
59.5,5->10:output_above,373.0,168.0,95.0
60.87,6->7:input_above,123.0,133.0,95.0
64.48,6->7:pick,123.0,133.0,22.0
65.85,6->7:input_above,123.0,133.0,95.0
67.22,6->7:output_above,408.0,133.0,95.0
71.24,6->7:place,408.0,133.0,22.0
72.61,6->7:output_above,408.0,133.0,95.0
